mass_feature,core_metab,sample_fraction,enrich_hNH4_fc,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h,ttest_p_hNH4,p_value_mannwhitney_hNH4
"AMP, 15N5",Adenine,Dissolved,1.2285189290025877,0.0584820604918571,0.42196508861788506,0.7,0.8870227188602697,1
"AMP, 15N5",Adenine,Particulate,0.8783945492278279,0.8871397853842448,0.5391595975060719,0.4,0.4346508822447555,0.7
"AMP, 15N5",Adenosine,Dissolved,2.8141587716472296,0.03171177958123489,0.3736301136328164,0.1,0.5727882691825174,1
"AMP, 15N5",Adenosine,Particulate,1.1359320647198738,0.2342115590655701,0.23379832152179375,0.1,0.8256379893937792,1
"AMP, 15N5",Adenosine monophosphate,Dissolved,0.8233704215016214,0.16995733278425468,0.4753905752125542,0.7,0.8937258051833188,0.7
"AMP, 15N5",Adenosine monophosphate,Particulate,0.6468964161979609,3.0778592297170806,0.14877423988848776,0.1,0.17790983153271192,0.4
"AMP, 15N5",Citrulline,Dissolved,1.6807149794978153,0.09913683529952882,0.307160717312731,0.1,0.7160824543351241,0.7
"AMP, 15N5",Citrulline,Particulate,0.422748038331288,0.3550862276082771,0.2843931799489716,0.7,0.3243134191898276,0.7
"AMP, 15N5",Cytosine,Dissolved,0.7700258934379539,0.12245458598534352,0.45264097916689155,0.7,0.8574147155896066,1
"AMP, 15N5",Cytosine,Particulate,0.7316886803673646,2.097506495435456,0.03992291660591359,0.1,0.1222468038936588,0.1
"AMP, 15N5",Deoxyadenosine,Dissolved,1.9338710269598396,0.05026228473569062,0.38827188491769504,0.1,0.6743856845238639,1
"AMP, 15N5",Deoxyadenosine,Particulate,0.9848611012313793,0.4152606459207917,0.28149856531849826,0.2,0.9775995516001099,1
"AMP, 15N5",Guanosine,Dissolved,5.17585227954167,0.03705966076290918,0.38827154268343866,0.1,0.48619270036981427,0.7
"AMP, 15N5",Guanosine,Particulate,2.4031226571664233,0.32938542472030286,0.24445931719281278,0.2,0.26331101844838234,0.2
"AMP, 15N5",L-Cysteic acid,Dissolved,1.4945162947637298,0.010803485562157643,0.4059688846200462,0.1,0.7823706591365561,0.4
"AMP, 15N5",L-Cysteic acid,Particulate,1.9174164527246744,0.18328244568719862,7.064444719026764e-4,0.1,0.22282234274805454,0.1
"AMP, 15N5",L-Glutamic acid,Dissolved,0.9547042569085397,0.1064941995536137,0.44906406113083214,0.7,0.9742338033720965,1
"AMP, 15N5",L-Glutamic acid,Particulate,0.9561024584273466,2.0370898719400583,0.07286365135864484,0.1,0.5465065488009938,0.7
"AMP, 15N5",L-Homoserine,Dissolved,0.007269924282082963,4.812900686354044e-4,0.4113264113564305,0.4,0.4139487892456236,0.2
"AMP, 15N5",L-Homoserine,Particulate,0.007710345195323974,0.011651398394823619,0.18550542343199725,0.2,0.1844176621790077,0.1
"AMP, 15N5",L-Proline,Dissolved,0.501048537531239,0.17803183995232094,0.47894429509676917,0.7,0.671365280686584,0.4
"AMP, 15N5",L-Proline,Particulate,0.49968833600811896,3.2082959161064517,0.24322416018264112,0.1,2.964868541692265e-4,0.1
"AMP, 15N5",L-Serine,Dissolved,2.098808346517897,0.04301866340300522,0.40808411400645644,0.1,0.6585731104220658,1
"AMP, 15N5",L-Serine,Particulate,1.046888910567105,0.5439809996339492,0.14495139948621236,0.1,0.8822314631982991,1
"AMP, 15N5",L-Tyrosine,Dissolved,0.8709645643919888,0.3126030491431788,0.5339973015410284,0.7,0.9219849818673747,1
