mass_feature,sample_fraction,med_pvalue_h,med_pvalue_hNH4,med_fc_h,med_fc_hNH4,med_pvalue_cmb,med_qvalue_h,med_qvalue_hNH4,med_qvalue_cmb,core_metabolite
Adenine,Particulate,0.18784832677824326,0.33752457160892724,0.5340131519528821,0.8708540091763657,0.06340342602328033,0.3821749517851622,0.4530802427785653,0.11068236396308545,core
Adenosine,Particulate,0.1591003276650852,0.3915584042818774,2.770275060393409,0.36245880232993766,0.06229707042126459,0.3821749517851622,0.4530802427785653,0.11068236396308545,core
Adenosine monophosphate,Particulate,0.22782579018059484,0.39638585464373555,0.16612382793496455,1.5883418204778266,0.09030692055061947,0.3821749517851622,0.4530802427785653,0.12171802335083493,core
Citrulline,Dissolved,0.5371827818447212,0.4229614108439717,0.7249052393625158,0.06610662015173133,0.22720758729013277,0.5550888745728787,0.4530802427785653,0.2428770760687626,core
Citrulline,Particulate,0.26659082230984077,0.4112681964876687,2.9337369314607984,2.3661204154632096,0.10964032669153277,0.3821749517851622,0.4530802427785653,0.13595400509750064,core
Cytosine,Particulate,0.2835491577760881,0.38294345242483036,0.13641520355439868,1.2479814956921,0.1085832934109281,0.3821749517851622,0.4530802427785653,0.13595400509750064,core
Deoxyadenosine,Particulate,0.20215488487677807,0.37089569036928827,1.494270257494643,0.5623690154252416,0.07497837558789659,0.3821749517851622,0.4530802427785653,0.11068236396308545,core
Glutathione disulfide,Particulate,0.2797449484158181,0.17909480970045893,0.18484862078467731,0.2501081076844684,0.050100868301195645,0.3821749517851622,0.4530802427785653,0.11068236396308545,non-core
Guanosine,Particulate,0.20674914840223332,0.33558477749626214,2.3687305994226264,0.3039128434428412,0.06938186696410516,0.3821749517851622,0.4530802427785653,0.11068236396308545,core
Homarine,Dissolved,0.47420514337143804,0.42288264737936315,1.3289382424199445,0.052297128154085444,0.20053312642982418,0.522847956052279,0.4530802427785653,0.22595209871766886,non-core
Homarine,Particulate,0.4891158298553578,0.41725447046776937,0.8191421849829479,0.046691503543783076,0.2040857665837009,0.522847956052279,0.4530802427785653,0.22595209871766886,non-core
L-Arginine,Particulate,0.0345897807613863,0.18289550295094195,0.0596327263316825,0.5949276127714709,0.006326315349316563,0.2545644326940445,0.4530802427785653,0.03268596263813558,non-core
L-Cysteic acid,Dissolved,0.3476533993802211,0.14254710133142662,4.230364274350334,17.329628161668246,0.04955698434966731,0.43109021523147417,0.4530802427785653,0.11068236396308545,core
L-Cysteic acid,Particulate,0.13023353065925164,0.18128804396431425,4.775676699256933,0.4805634860293463,0.023609782031782277,0.3821749517851622,0.4530802427785653,0.09148790537315632,core
L-Glutamic acid,Particulate,0.24162956945171704,0.3062200051779942,0.22649719229110288,0.8624395169649655,0.0739918080086613,0.3821749517851622,0.4530802427785653,0.11068236396308545,core
L-Homoserine,Dissolved,0.5665551022259763,0.6405439341153706,0.8259322967325928,0.9545704523829508,0.36290343407296277,0.5665551022259763,0.6405439341153706,0.36290343407296277,core
L-Homoserine,Particulate,0.40996666708891416,0.36529025852012936,1.967093854458767,3.3915844649512463,0.14975682980554528,0.4888064107598592,0.4530802427785653,0.1785562201527655,core
L-Lysine,Particulate,0.04010213811339874,0.2012044011291081,0.053650722691654766,0.6106201514225312,0.008068726683103173,0.2545644326940445,0.4530802427785653,0.03573293245374263,non-core
L-Phenylalanine,Particulate,0.1898058676521584,0.23743551977262126,0.5387147441153818,2.3371805521805524,0.04506665484188359,0.3821749517851622,0.4530802427785653,0.11068236396308545,non-core
L-Proline,Dissolved,0.3244361464544901,0.20920300609016235,0.33949662302879025,0.4434265719907001,0.06787301712258749,0.41906335583704973,0.4530802427785653,0.11068236396308545,core
L-Proline,Particulate,0.27847493184026395,0.24778484015152952,0.176577533977729,1.8937615633481315,0.06900186647224787,0.3821749517851622,0.4530802427785653,0.11068236396308545,core
L-Serine,Particulate,0.16445893748642818,0.3877903848347759,1.1130166316460353,0.6289786619399834,0.06377559465738034,0.3821749517851622,0.4530802427785653,0.11068236396308545,core
L-Tryptophan,Particulate,0.22069320037402826,0.3970588706641221,0.2876308836825499,1.1065746408929884,0.08762819290376248,0.3821749517851622,0.4530802427785653,0.12171802335083493,non-core
L-Tyrosine,Particulate,0.23755913834962097,0.304114318328612,0.12115290739289686,1.2800423923370452,0.07224513542192741,0.3821749517851622,0.4530802427785653,0.11068236396308545,core
