mass_feature,FinalBMIS,Orig_RSD,FinalRSD,replicate_name,runDate,type,samp_id,replicate,area,date,QC_area,fraction,adjusted_area
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Poo_EpicFate_Full1,240304,Poo,EpicFate,Full1,98448776,240304,98448776,HILICNeg,107386089.46739669
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Poo_EpicFate_Full2,240304,Poo,EpicFate,Full2,109988224,240304,109988224,HILICNeg,111026659.59442386
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Poo_EpicFate_Full3,240304,Poo,EpicFate,Full3,119264552,240304,119264552,HILICNeg,98715840.86870454
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Poo_EpicFate_Half1,240304,Poo,EpicFate,Half1,49584684,240304,49584684,HILICNeg,98247213.42161399
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Poo_EpicFate_Half2,240304,Poo,EpicFate,Half2,55414656,240304,55414656,HILICNeg,109153777.03482713
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Poo_EpicFate_Half3,240304,Poo,EpicFate,Half3,57004260,240304,57004260,HILICNeg,95494668.76020129
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_ASW_A,240304,Smp,ASW,A,107736448,240304,107736448,HILICNeg,105143677.16380313
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_ASW_B,240304,Smp,ASW,B,121756616,240304,121756616,HILICNeg,102268467.20520017
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_ASW_C,240304,Smp,ASW,C,78767064,240304,78767064,HILICNeg,96023681.41227517
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_Ctrl_A1,240304,Smp,Ctrl,A1,116620448,240304,116620448,HILICNeg,96484671.56438544
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_Ctrl_B3,240304,Smp,Ctrl,B3,109502264,240304,109502264,HILICNeg,100779840.0185466
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_Ctrl_C2,240304,Smp,Ctrl,C2,113625792,240304,113625792,HILICNeg,104037651.06097052
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_Gluc_16_A,240304,Smp,Gluc,16,106120480,240304,106120480,HILICNeg,104563152.39569676
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_Gluc_16_B,240304,Smp,Gluc,16,116912440,240304,116912440,HILICNeg,110618699.1974527
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_Gluc_16_C,240304,Smp,Gluc,16,114459272,240304,114459272,HILICNeg,104451440.19368829
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_Hom_16_A,240304,Smp,Hom,16,120590344,240304,120590344,HILICNeg,113713462.12123127
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_Hom_16_B,240304,Smp,Hom,16,106336296,240304,106336296,HILICNeg,111776814.17609286
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_Hom_16_C,240304,Smp,Hom,16,101260176,240304,101260176,HILICNeg,99762617.57951276
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_WT_BLK_Gluc_C,240304,Smp,WT,BLK,111457776,240304,111457776,HILICNeg,115865565.20731753
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_WT_BLK_Hom_A,240304,Smp,WT,BLK,119567880,240304,119567880,HILICNeg,122116766.078861
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_WT_BLK_Hom_B,240304,Smp,WT,BLK,115881168,240304,115881168,HILICNeg,102363205.29834647
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_WT_BLK_Mix_A,240304,Smp,WT,BLK,104155032,240304,104155032,HILICNeg,113699378.841618
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_WT_Gluc_A,240304,Smp,WT,Gluc,115650208,240304,115650208,HILICNeg,127991661.95449856
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_WT_Gluc_B,240304,Smp,WT,Gluc,118549072,240304,118549072,HILICNeg,101862894.13493189
"AMP, 15N5","Thymine, 2H4",0.2989207225986821,0.0649418403906618,240304_Smp_WT_Gluc_C,240304,Smp,WT,Gluc,120491808,240304,120491808,HILICNeg,117466713.1366022
