mass_feature,replicate_name,adjusted_area,sample_fraction,z,treatment,retention_time,mz
Adenine,240304_Smp_WT_Gluc_A,268398144,Particulate,1,Glucose,5.21125,136.06232
Adenine,240304_Smp_WT_Gluc_B,331428288,Particulate,1,Glucose,5.21125,136.06232
Adenine,240304_Smp_WT_Gluc_C,348708256,Particulate,1,Glucose,5.21125,136.06232
Adenine,240304_Smp_WT_Hom_A,252513392,Particulate,1,Homarine,5.21125,136.06232
Adenine,240304_Smp_WT_Hom_B,316708608,Particulate,1,Homarine,5.21125,136.06232
Adenine,240304_Smp_WT_Hom_C,399876192,Particulate,1,Homarine,5.21125,136.06232
Adenine,240304_Smp_WT_Mix_A,371462944,Particulate,1,Glucose and homarine,5.21125,136.06232
Adenine,240304_Smp_WT_Mix_B,264919872,Particulate,1,Glucose and homarine,5.21125,136.06232
Adenine,240304_Smp_WT_Mix_C,274700544,Particulate,1,Glucose and homarine,5.21125,136.06232
Adenosine,240304_Smp_WT_Gluc_A,405240288,Particulate,1,Glucose,5.018817204301075,268.10458
Adenosine,240304_Smp_WT_Gluc_B,1726118016,Particulate,1,Glucose,5.018817204301075,268.10458
Adenosine,240304_Smp_WT_Gluc_C,1082590464,Particulate,1,Glucose,5.018817204301075,268.10458
Adenosine,240304_Smp_WT_Hom_A,2047241856,Particulate,1,Homarine,5.018817204301075,268.10458
Adenosine,240304_Smp_WT_Hom_B,3062314752,Particulate,1,Homarine,5.018817204301075,268.10458
Adenosine,240304_Smp_WT_Hom_C,3952735488,Particulate,1,Homarine,5.018817204301075,268.10458
Adenosine,240304_Smp_WT_Mix_A,1123663360,Particulate,1,Glucose and homarine,5.018817204301075,268.10458
Adenosine,240304_Smp_WT_Mix_B,335708096,Particulate,1,Glucose and homarine,5.018817204301075,268.10458
Adenosine,240304_Smp_WT_Mix_C,590821312,Particulate,1,Glucose and homarine,5.018817204301075,268.10458
Adenosine monophosphate,240304_Smp_WT_Gluc_A,20090742,Particulate,-1,Glucose,NA,NA
Adenosine monophosphate,240304_Smp_WT_Gluc_B,14239261,Particulate,-1,Glucose,NA,NA
Adenosine monophosphate,240304_Smp_WT_Gluc_C,11471041,Particulate,-1,Glucose,NA,NA
Adenosine monophosphate,240304_Smp_WT_Hom_A,2801874,Particulate,-1,Homarine,NA,NA
Adenosine monophosphate,240304_Smp_WT_Hom_B,5700532,Particulate,-1,Homarine,NA,NA
Adenosine monophosphate,240304_Smp_WT_Hom_C,7214492,Particulate,-1,Homarine,NA,NA
Adenosine monophosphate,240304_Smp_WT_Mix_A,36323468,Particulate,-1,Glucose and homarine,NA,NA
Adenosine monophosphate,240304_Smp_WT_Mix_B,18507058,Particulate,-1,Glucose and homarine,NA,NA
Adenosine monophosphate,240304_Smp_WT_Mix_C,17599358,Particulate,-1,Glucose and homarine,NA,NA
Citrulline,240304_Smp_WT_Gluc_A,NA,Particulate,1,Glucose,12.180340909090908,176.103517
Citrulline,240304_Smp_WT_Gluc_B,16878774.157675993,Particulate,1,Glucose,12.180340909090908,176.103517
Citrulline,240304_Smp_WT_Gluc_C,NA,Particulate,1,Glucose,12.180340909090908,176.103517
Citrulline,240304_Smp_WT_Hom_A,14752308.52265526,Particulate,1,Homarine,12.180340909090908,176.103517
Citrulline,240304_Smp_WT_Hom_B,18474021.72058666,Particulate,1,Homarine,12.180340909090908,176.103517
Citrulline,240304_Smp_WT_Hom_C,19061836.60496808,Particulate,1,Homarine,12.180340909090908,176.103517
Citrulline,240304_Smp_WT_Mix_A,8217069.858717619,Particulate,1,Glucose and homarine,12.180340909090908,176.103517
Citrulline,240304_Smp_WT_Mix_B,16448019.098145172,Particulate,1,Glucose and homarine,12.180340909090908,176.103517
Citrulline,240304_Smp_WT_Mix_C,14817970.02331401,Particulate,1,Glucose and homarine,12.180340909090908,176.103517
Cytosine,240304_Smp_WT_Gluc_A,42035326.24940832,Particulate,1,Glucose,7.556818181818182,112.051087
Cytosine,240304_Smp_WT_Gluc_B,27161777.661089875,Particulate,1,Glucose,7.556818181818182,112.051087
Cytosine,240304_Smp_WT_Gluc_C,27988876.987314068,Particulate,1,Glucose,7.556818181818182,112.051087
Cytosine,240304_Smp_WT_Hom_A,11973058.558555055,Particulate,1,Homarine,7.556818181818182,112.051087
Cytosine,240304_Smp_WT_Hom_B,14281281.130139103,Particulate,1,Homarine,7.556818181818182,112.051087
Cytosine,240304_Smp_WT_Hom_C,16327665.405712385,Particulate,1,Homarine,7.556818181818182,112.051087
Cytosine,240304_Smp_WT_Mix_A,36543324.89419853,Particulate,1,Glucose and homarine,7.556818181818182,112.051087
Cytosine,240304_Smp_WT_Mix_B,31171384.97286026,Particulate,1,Glucose and homarine,7.556818181818182,112.051087
Cytosine,240304_Smp_WT_Mix_C,39360993.961116746,Particulate,1,Glucose and homarine,7.556818181818182,112.051087
Deoxyadenosine,240304_Smp_WT_Gluc_A,8355317,Particulate,1,Glucose,3.751,252.109665
Deoxyadenosine,240304_Smp_WT_Gluc_B,29855266,Particulate,1,Glucose,3.751,252.109665
Deoxyadenosine,240304_Smp_WT_Gluc_C,19332334,Particulate,1,Glucose,3.751,252.109665
Deoxyadenosine,240304_Smp_WT_Hom_A,18920866,Particulate,1,Homarine,3.751,252.109665
Deoxyadenosine,240304_Smp_WT_Hom_B,42082012,Particulate,1,Homarine,3.751,252.109665
Deoxyadenosine,240304_Smp_WT_Hom_C,49193192,Particulate,1,Homarine,3.751,252.109665
Deoxyadenosine,240304_Smp_WT_Mix_A,21511496,Particulate,1,Glucose and homarine,3.751,252.109665
Deoxyadenosine,240304_Smp_WT_Mix_B,7318782,Particulate,1,Glucose and homarine,3.751,252.109665
Deoxyadenosine,240304_Smp_WT_Mix_C,15172290,Particulate,1,Glucose and homarine,3.751,252.109665
Glutathione disulfide,240304_Smp_WT_Gluc_A,61916104,Particulate,1,Glucose,14.090526315789472,613.159793
Glutathione disulfide,240304_Smp_WT_Gluc_B,27843994,Particulate,1,Glucose,14.090526315789472,613.159793
Glutathione disulfide,240304_Smp_WT_Gluc_C,34688796,Particulate,1,Glucose,14.090526315789472,613.159793
Glutathione disulfide,240304_Smp_WT_Hom_A,12343380,Particulate,1,Homarine,14.090526315789472,613.159793
Glutathione disulfide,240304_Smp_WT_Hom_B,11552900,Particulate,1,Homarine,14.090526315789472,613.159793
Glutathione disulfide,240304_Smp_WT_Hom_C,13298436,Particulate,1,Homarine,14.090526315789472,613.159793
Glutathione disulfide,240304_Smp_WT_Mix_A,13952863,Particulate,1,Glucose and homarine,14.090526315789472,613.159793
Glutathione disulfide,240304_Smp_WT_Mix_B,NA,Particulate,1,Glucose and homarine,14.090526315789472,613.159793
Glutathione disulfide,240304_Smp_WT_Mix_C,17898136,Particulate,1,Glucose and homarine,14.090526315789472,613.159793
Guanosine,240304_Smp_WT_Gluc_A,3727388,Particulate,1,Glucose,9.522923076923076,284.099495
Guanosine,240304_Smp_WT_Gluc_B,14662301,Particulate,1,Glucose,9.522923076923076,284.099495
Guanosine,240304_Smp_WT_Gluc_C,10010976,Particulate,1,Glucose,9.522923076923076,284.099495
Guanosine,240304_Smp_WT_Hom_A,12715829,Particulate,1,Homarine,9.522923076923076,284.099495
Guanosine,240304_Smp_WT_Hom_B,24977812,Particulate,1,Homarine,9.522923076923076,284.099495
Guanosine,240304_Smp_WT_Hom_C,32561568,Particulate,1,Homarine,9.522923076923076,284.099495
