replicate_name,treatment,sample_fraction,"AMP, 15N5",Adenine,Adenosine,Adenosine monophosphate,Citrulline,Cytosine,"DL-Alanine, 2H3","DL-Proline, 2H7","DL-Valine, 2H8",Deoxyadenosine,"GMP, 15N5",Glutathione disulfide,Guanosine,Homarine,L-Arginine,L-Asparagine,L-Cysteic acid,L-Glutamic acid,L-Homoserine,L-Lysine,L-Phenylalanine,L-Proline,L-Serine,L-Tryptophan,L-Tyrosine,N-Methyl-L-glutamic acid,"Sucrose, 13C","Trehalose, 13C",UDP-N-acetylglucosamine,n-methyl glutamine,unknown_C6H9NO3_1_neg,unknown_C6H9NO3_2_neg,unknown_C6H9NO3_3_neg,unknown_C6H9NO4_neg,unknown_C6H9NO4_pos,unknown_C6H9NO4_pos_early,unknown_C7H9NO5_pos,"DL-Histidine, 15N","Nitrate, 15N"
240304_Smp_Gluc_16_A,Glucose 16 h,Particulate,104563152.39569676,53294680.64278292,115443495.18158068,1723783.5609179155,27584958.283076297,NA,124293672.65608944,184255680,98831049.41122508,1201899.060833722,17798457.893820956,9329728.680529028,536891.7195115063,6469471.642224815,24300611.803621724,1087189.3566003458,490764.4808693661,5291681928.790825,2790311.609971237,2201138.0711218584,61614245.243446626,29275114,16595016.052260073,1616277.8629559292,2523339.6259426847,4086460.988924297,158931154.5487639,135259917.34346387,NA,7778625.475248005,NA,NA,61671,NA,NA,NA,NA,NA,NA
240304_Smp_Gluc_16_B,Glucose 16 h,Particulate,110618699.1974527,178685703.8997528,669282025.2212821,21539078.61507092,72271698.13156472,16474332.495009588,104019052.56934816,185122064,117053813.71786796,5910159.05821306,18872429.768659662,39510154.20051743,5514375.144053601,3364043.344896085,181115174.9923751,2962871.2267964943,2688502.167049162,13505882972.579752,2413944.7873952435,9386218.078709075,412964391.4039868,131477056,63705651.70061153,16030238.725961627,13323158.94886519,5278646.305251407,133044487.14540592,141014346.15783212,598743.1856288161,21785486.80971295,NA,NA,107499,NA,NA,NA,466641,NA,NA
240304_Smp_Gluc_16_C,Glucose 16 h,Particulate,104451440.19368827,215867090.87385103,1637714040.9227517,11403862.853384096,57915135.01630716,16524159.919414377,111624060.46544318,163073792,117938984.26980646,10515246.61726353,17772634.182706438,22748066.527942725,14057868.911172956,9888112.245090976,99285096.09631649,2785362.854146037,1556876.652938094,8373053422.373141,2304267.213442801,7426859.099774219,192982985.6119029,70270112,51698576.93649206,9053238.122295965,7266828.780891082,4195807.752755107,150118622.10548672,136659855.30909836,177861.31907235592,17075199.063221645,NA,NA,NA,NA,NA,NA,215431,NA,NA
240304_Smp_Hom_16_A,Homarine 16 h,Particulate,113713462.12123127,264550977.5051738,2189381934.8817415,3893761.6980013833,12019302.489076477,18739381.290360417,141056570.52373645,236212048,130538929.92369394,23442626.006117698,20335669.604741905,10073279.65916943,14044439.103066169,14733643.502662929,35921891.82609678,2311362.82261499,5323498.406687262,6180488380.283168,3154354.074499386,2870066.994387791,98579437.47069149,38330556,28184698.5494647,4383077.278463302,4360526.4462025175,1014062918.9416672,155197318.64317355,153238621.18253917,1070570.611881779,7999901431.759249,42880052.84572503,63364808.53927704,14427561,63896228,9403275,7132519,17011910,NA,NA
240304_Smp_Hom_16_B,Homarine 16 h,Particulate,111776814.17609286,141188353.38703826,1010312953.9119728,4451418.083430948,7747869.878196953,NA,113161135.82926013,204289680,97386591.889117,12673256.921184346,19227925.741262555,7385605.148063264,6257421.787339772,5748536.338757946,28415129.953601856,1682900.509888912,1189088.7784964952,6143124018.429963,3129644.246319773,2526937.9802266094,87511645.20690654,27818176,32854661.46955461,2333062.4831844917,2043459.9969211672,1353359924.1948645,149329822.19624636,137682666.97779006,1425333.516927632,4982655767.816263,58314258.15050364,58651084.57587683,12012307,60869292,9290565,8228367,17063190,NA,NA
240304_Smp_Hom_16_C,Homarine 16 h,Particulate,99762617.57951276,148308919.63280207,1253850443.3519957,1424172.4367996582,3680678.9483657666,NA,153618802.64526388,199863600,124771133.0538536,13055672.53207296,18247749.05727928,1986281.8099588356,7331282.518444626,NA,19563718.01612755,2700756.9795326125,1494840.4571720848,2813636704.666496,NA,2398794.4514248664,34662968.47940346,17292720,8527334.503051398,1584974.0025943352,1525906.0099040945,194273682.64181495,170396662.98480552,157043639.6584823,56606.50406993287,2653069681.86766,7122695.3029790325,24758293.87987342,5765672,32102616,4214394,4215712,6897630,NA,NA
240304_Smp_WT_Gluc_A,Glucose,Particulate,127991661.95449856,263062649.32287663,397184504.27751666,22234698.086137865,3855410.5444433033,42323422.99947487,136140214.1482863,200857792,117366972.0903716,8189221.405169141,21884250.573688395,57165067.82270419,4125151.1183555713,2050645605.8132436,400928552.6281133,5002063.037289706,1222988.4760399277,17875256051.02259,4314114.184547655,48061320.67356071,71119628.95597236,178917792,18307219.970552824,7062583.203853015,12518414.7508448,6353242.522416147,126512129.0355909,165089517.5033445,557591.1725464228,45348802.193521336,361276.1839254154,NA,119913,NA,NA,NA,304455,NA,NA
240304_Smp_WT_Gluc_B,Glucose,Particulate,101862894.13493188,296156678.66630286,1542419271.72079,12235037.45185508,32055666.22108508,29065668.75201696,147220119.43610743,157843776,95479017.9380108,26677977.527551893,15561168.383128077,25020354.582286857,12598533.158804534,161946639.93391758,394876177.50675446,5632248.30420905,1171383.0110978135,12446040965.56043,NA,39055583.47941644,136872424.1321154,149035216,19111872.662378613,14011073.54612236,24986956.423377685,10671345.249319533,126719706.82277496,110249443.98911949,NA,42903847.15151643,528429.2489743138,NA,NA,NA,NA,NA,424479,NA,NA
240304_Smp_WT_Gluc_C,Glucose,Particulate,117466713.1366022,307420589.8659045,954409863.5453106,11183046.423580948,5165246.448418219,26839008.755992953,120071594.65642072,171815888,113690838.63988578,17043351.91239258,19143031.64536428,34649410.129118524,9759638.149088187,29940116.55972373,399140950.2817123,3613564.187720337,1353320.3470441771,15993840570.110704,NA,31155554.408299457,165253677.6617225,178752144,11097126.304723352,13843862.032921376,31655763.639100533,6233413.299054862,134939674.44141674,147119440.85161272,NA,38721720.74814429,284527.67511635035,NA,NA,NA,NA,NA,1118400,NA,NA
240304_Smp_WT_Hom_A,Homarine,Particulate,109985817.90555832,239526376.85705036,1941950169.192544,2737593.8261854355,11552004.351396332,11495636.622125486,130149753.42781512,215851088,127371269.8332319,17947747.024750873,19015179.372406825,11155085.888867078,12424104.354881668,2611197125.5880527,34200828.869831614,3289955.8256143723,4369228.53432122,5504889851.984282,2967359.0909994747,2637391.6336665987,65256448.7631224,27283098,21801563.204020225,2537768.0345535967,2680816.314707432,2810245773.6917963,154437781.67380065,145657577.8181136,260883.80237188455,7076868638.371584,117493294.90189464,44283033.34600809,10189437,50190140,7166969,6633664,12770341,NA,NA
