mass_feature,retention_time,mz,z
Adenine,5.21125,136.06232,1
Adenosine,5.018817204301075,268.10458,1
"Arsenobetaine, 13C2",7.764565217391304,181.0114,1
Citrulline,12.180340909090908,176.103517,1
Cytosine,7.556818181818182,112.051087,1
"Cytosine, 13C2, 15N3",7.558522727272727,117.0489,1
"DL-Alanine, 2H3",11.096590909090908,NA,1
"DL-Histidine, 15N",17.32486842105263,NA,1
"DL-Proline, 2H7",9.506477272727272,NA,1
"DL-Valine, 2H8",8.658522727272727,NA,1
Deoxyadenosine,3.751,252.109665,1
Glutathione disulfide,14.090526315789473,613.159793,1
"Glycine betaine, 13C5, 15N",7.917840909090909,124.1006,1
"Guanine, 13C, 15N2",8.885340909090909,155.0547,1
Guanosine,9.522923076923076,284.099495,1
Homarine,6.224352941176471,138.055503,1
"Homarine, 2H3",6.219545454545455,141.0743,1
L-Arginine,20.551704545454545,175.119501,1
"L-Arginine, 13C6, 15N4",20.601794871794873,185.1274,1
L-Asparagine,11.015581395348837,133.061318,1
L-Glutamic acid,11.61590909090909,148.060984,1
L-Homoserine,11.212197802197803,120.066069,1
"L-Isoleucine, 15N",7.483370786516854,133.0989,1
L-Lysine,19.61,147.113353,1
"L-Methionine, 2H3",7.4735000000000005,153.0771,1
L-Phenylalanine,5.370533333333333,NA,1
"L-Phenylalanine, 2H8",5.5205,NA,1
L-Proline,9.46625,116.071154,1
L-Serine,11.546136363636364,106.050419,1
L-Tryptophan,8.05913043478261,NA,1
"L-Tryptophan, 2H3",7.9265625,NA,1
L-Tyrosine,9.104941176470588,182.081719,1
N-Methyl-L-glutamic acid,9.8590625,162.076634,1
"Trimethylamine N-oxide, 2H9",7.317368421052632,85.1327,1
n-methyl glutamine,9.330689655172414,NA,1
unknown_C6H9NO4_pos,12.011129032258065,NA,1
unknown_C7H9NO5_pos,12.039090909090909,NA,1
NA,10.296477064220182,NA,-1
