family,genomes
Porticoccaceae,565
Vibrionaceae,33619
Phyllobacteriaceae,2134
Halieaceae,955
Campylobacteraceae,134843
Paracoccaceae,4330
Pseudomonadaceae,51713
Natrialbaceae,198
Burkholderiaceae,12052
Moraxellaceae,41817
Oceanospirillaceae,932
Pseudonocardiaceae,1118
Halomonadaceae,985
Candidatus Pelagibacteraceae,4209
Roseobacteraceae,3383
Alcaligenaceae,3796
Candidatus Persebacteraceae,3
Hyphomicrobiaceae,725
Dongiaceae,98
Xanthobacteraceae,677
Rhizobiaceae,4206
Marinobacteraceae,721
Roseiarcaceae,39
Beijerinckiaceae,264
Solirubrobacteraceae,964
Vulcanimicrobiaceae,130
Acetobacteraceae,1857
Casimicrobiaceae,173
Colwelliaceae,291
Woeseiaceae,524
Arcobacteraceae,733
Rhodospirillaceae,1056
Robiginitomaculaceae,165
Granulosicoccaceae,149
Hyphomonadaceae,595
Shewanellaceae,999
Rhodobiaceae,227
Candidatus Puniceispirillaceae,79
Micrococcaceae,2887
Methylobacteriaceae,725
Comamonadaceae,4556
Geminicoccaceae,132
Oleiphilaceae,70
Rhodocyclaceae,585
Arenicellaceae,54
Cardiobacteriaceae,89
Nocardioidaceae,1233
Saccharospirillaceae,80
Intrasporangiaceae,420
Propionibacteriaceae,3068
Litorivicinaceae,65
Flavobacteriaceae,9700
Acidimicrobiaceae,2361
Salinisphaeraceae,47
Paenibacillaceae,2505
Haloarculaceae,319
Actinomycetaceae,1608
Ectothiorhodospiraceae,445
Microbacteriaceae,4351
Endozoicomonadaceae,67
Candidatus Competibacteraceae,220
Aeromonadaceae,3376
Haloferacaceae,487
Psychromonadaceae,69
Alteromonadaceae,1044
Flammeovirgaceae,168
Magnetovibrionaceae,32
Thalassobaculaceae,65
Moritellaceae,42
Bacillaceae,17726
Staphylococcaceae,120553
Francisellaceae,1346
Thiotrichaceae,325
Planococcaceae,631
Stappiaceae,295
Brevibacteriaceae,294
Streptosporangiaceae,958
Haladaptataceae,54
Pseudoalteromonadaceae,943
Kiloniellaceae,87
Rhodovibrionaceae,50
Erythrobacteraceae,937
Sphaerotilaceae,796
Sneathiellaceae,55
Aurantimonadaceae,150
Ornithinimicrobiaceae,62
Streptomycetaceae,12345
Zooshikellaceae,9
Amorphaceae,12
Azospirillaceae,340
Nocardiaceae,2301
Natronospirillaceae,4
Neisseriaceae,58219
Balneatrichaceae,10
Geodermatophilaceae,212
Cohaesibacteraceae,38
Sporolactobacillaceae,68
Rhodoligotrophaceae,3
Ostreibacteriaceae,1
