order,genomes
Cellvibrionales,2217
Vibrionales,33621
Hyphomicrobiales,17590
Campylobacterales,145046
Rhodobacterales,8481
Pseudomonadales,53979
Halobacteriales,1479
Burkholderiales,27226
Moraxellales,41817
Oceanospirillales,2715
Pseudonocardiales,1209
Candidatus Pelagibacterales,4425
Candidatus Tethybacterales,6
Rhodospirillales,2958
Solirubrobacterales,2595
Arenicellales,178
Vulcanimicrobiales,135
Terriglobales,2707
Alteromonadales,3687
Woeseiales,524
Maricaulales,314
Chromatiales,2311
Acidimicrobiales,5386
Hyphomonadales,595
Candidatus Puniceispirillales,85
Micrococcales,9561
Geminicoccales,132
Rhodocyclales,1281
Acidiferrobacterales,261
Cardiobacteriales,168
Propionibacteriales,4522
Candidatus Nanopelagicales,1086
Minwuiales,15
Frankiales,246
Flavobacteriales,16778
Salinisphaerales,70
Bacillales,211145
Actinomycetales,1805
Gaiellales,1066
Aeromonadales,3925
Cytophagales,2885
Thiotrichales,2389
Streptosporangiales,1514
Sphingomonadales,5484
Sneathiellales,66
Kitasatosporales,12352
Mycobacteriales,21156
Neisseriales,58616
Geodermatophilales,216
Verrucomicrobiales,4444
Lysobacterales,10756
