taxon_id,assembly_accession,isolation_source,geo_loc_name,lat_lon,env_broad_scale,env_local_scale,env_medium,geographic location (latitude),geographic location (longitude),geographic location (region and locality)
1062,GCA_003445535.1,marine,not applicable,NA,NA,NA,NA,NA,NA,NA
1062,GCA_003477325.1,marine,not applicable,NA,NA,NA,NA,NA,NA,NA
1062,GCA_003519265.1,marine,not applicable,NA,NA,NA,NA,NA,NA,NA
1062,GCA_003529785.1,marine,not applicable,NA,NA,NA,NA,NA,NA,NA
1062,GCA_003536295.1,marine,not applicable,NA,NA,NA,NA,NA,NA,NA
1062,GCA_003538565.1,sediment,not applicable,NA,NA,NA,NA,NA,NA,NA
1062,GCA_013204485.1,High-Arctic meromictic Lake A,"Canada:Ellesmere Island, Lake A",82.59 N 75.26 W,aquatic ecosystems [ENVO:00002030],saline lake [ENVO:00000019],not applicable,NA,NA,NA
1062,GCA_013821825.1,drinking water system-WM,"USA: Illinois, Champaign",40.12 N 88.22 W,drinking water system-WM,oligotrophic fast flowing,water,NA,NA,NA
1062,GCA_013824045.1,drinking water system-before chlorination,"USA: Illinois, Champaign",40.13 N 88.36 W,drinking water system-before chlorination,oligotrophic fast flowing,water,NA,NA,NA
1062,GCA_013824055.1,drinking water system-before chlorination,"USA: Illinois, Champaign",40.13 N 88.36 W,drinking water system-before chlorination,oligotrophic fast flowing,water,NA,NA,NA
1062,GCA_016704435.1,activated sludge from AalW_18-Q3-R10-53,Denmark: Aalborg W,57.049513 N 9.864788 E,aquatic biome [ENVO:00002030],Waste Water [ENVO:00002001],Activated Sludge [ENVO:00002046],NA,NA,NA
1062,GCA_016711185.1,activated sludge from Hirt_18-Q3-R61-65,Denmark: Hirtshals,57.577275 N 9.992971 E,aquatic biome [ENVO:00002030],Waste Water [ENVO:00002001],Activated Sludge [ENVO:00002046],NA,NA,NA
1062,GCA_020250125.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250135.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250145.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250175.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250265.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250305.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250345.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250365.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250385.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250405.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250445.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250465.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250485.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250505.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250515.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250545.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250555.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250585.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250625.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250635.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250655.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250785.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",19.919167 S 43.946389 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250795.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250825.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",19.919167 S 43.946389 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250835.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",19.919167 S 43.946389 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250845.1,Microcystis colony from freshwater lake,"Canada:Quebec,Champlain Lake",45.045833 N 73.132778 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250925.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",19.919167 S 43.946389 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250945.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",19.919167 S 43.946389 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250965.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",19.919167 S 43.946389 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020250985.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",19.919167 S 43.946389 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
1062,GCA_020251005.1,Microcystis colony from freshwater lake,"Brazil:Belo Horizonte,Pampulha Lake",19.919167 S 43.946389 W,Freshwater,not collected,Microcystis colony,NA,NA,NA
