dataset,file,assembly_accession,biosample_id,bioproject_accession,biosample_package,alternative_identifiers,env_broad_scale,env_local_scale,env_medium,geo_loc_name,lat_lon,isolation_source,geographic location (latitude),geographic location (longitude),geographic location (region and locality)
1,/Users/heal742/LOCAL/07_UW/Homarine_Catabolism_MS/data/raw/genomes/ncbi_metadata/missing_accession_downloads/GCA_000238815.2/ncbi_dataset/data/assembly_data_report.jsonl,GCA_000238815.2,SAMN02471789,PRJNA56093,Generic.1.0,AFXB,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,/Users/heal742/LOCAL/07_UW/Homarine_Catabolism_MS/data/raw/genomes/ncbi_metadata/missing_accession_downloads/GCA_000583735.1/ncbi_dataset/data/assembly_data_report.jsonl,GCA_000583735.1,SAMD00041784,PRJDB307,MIGS.ba.6.0,NA,not applicable,not applicable,not applicable,not applicable,not applicable,NA,NA,NA,NA
3,/Users/heal742/LOCAL/07_UW/Homarine_Catabolism_MS/data/raw/genomes/ncbi_metadata/missing_accession_downloads/GCA_000987305.1/ncbi_dataset/data/assembly_data_report.jsonl,GCA_000987305.1,SAMN03002196,PRJNA259156,MIMS.me.sediment.6.0,Loki_GC14_75_MG | SRS687932,sea floor,Hydrothermal impacted sediments,marine sediment,Arctic Ocean: Gakkel Ridge,73.763167 N 8.464000 E,Loki non-amplified sample from Loki's castle hydrothermal vent sediment,NA,NA,NA
4,/Users/heal742/LOCAL/07_UW/Homarine_Catabolism_MS/data/raw/genomes/ncbi_metadata/missing_accession_downloads/GCA_001651785.1/ncbi_dataset/data/assembly_data_report.jsonl,GCA_001651785.1,SAMN04600898,PRJNA317178,Microbe.1.0,Amycolatopsis sp. M39 | SRS2169028,NA,NA,NA,South Africa,NA,tissue,NA,NA,NA
5,/Users/heal742/LOCAL/07_UW/Homarine_Catabolism_MS/data/raw/genomes/ncbi_metadata/missing_accession_downloads/GCA_001897115.1/ncbi_dataset/data/assembly_data_report.jsonl,GCA_001897115.1,SAMN05660518,PRJNA279279,MIMS.me.wastewater.6.0,Genome for Rhizobiales bacterium 63-7 from Thiocyanate ramp bioreactor biofilm metagenome,Bioreactor,Thiocyanate ramp bioreactor,biofilm,South Africa: University of Cape Town,33.9575 S 18.4606 E,Thiocyanate ramp bioreactor,NA,NA,NA
6,/Users/heal742/LOCAL/07_UW/Homarine_Catabolism_MS/data/raw/genomes/ncbi_metadata/missing_accession_downloads/GCA_002171595.1/ncbi_dataset/data/assembly_data_report.jsonl,GCA_002171595.1,SAMN06971933,PRJNA385857,Microbe.1.0,Gammaproteobacteria bacterium TMED79,marine photic zone,NA,NA,Mediterranean Sea,NA,seawater,NA,NA,NA
7,/Users/heal742/LOCAL/07_UW/Homarine_Catabolism_MS/data/raw/genomes/ncbi_metadata/missing_accession_downloads/GCA_002171705.1/ncbi_dataset/data/assembly_data_report.jsonl,GCA_002171705.1,SAMN06971918,PRJNA385857,Microbe.1.0,Pelagibacteraceae bacterium TMED64,marine photic zone,NA,NA,Mediterranean Sea,NA,seawater,NA,NA,NA
8,/Users/heal742/LOCAL/07_UW/Homarine_Catabolism_MS/data/raw/genomes/ncbi_metadata/missing_accession_downloads/GCA_002172075.1/ncbi_dataset/data/assembly_data_report.jsonl,GCA_002172075.1,SAMN06972037,PRJNA385857,Microbe.1.0,Gammaproteobacteria bacterium TMED183,marine photic zone,NA,NA,Mediterranean Sea,NA,seawater,NA,NA,NA
9,/Users/heal742/LOCAL/07_UW/Homarine_Catabolism_MS/data/raw/genomes/ncbi_metadata/missing_accession_downloads/GCA_002172615.1/ncbi_dataset/data/assembly_data_report.jsonl,GCA_002172615.1,SAMN06971949,PRJNA385857,Microbe.1.0,Gammaproteobacteria bacterium TMED95,marine photic zone,NA,NA,Mediterranean Sea,NA,seawater,NA,NA,NA
10,/Users/heal742/LOCAL/07_UW/Homarine_Catabolism_MS/data/raw/genomes/ncbi_metadata/missing_accession_downloads/GCA_002690925.1/ncbi_dataset/data/assembly_data_report.jsonl,GCA_002690925.1,SAMN07619951,PRJNA391943,Microbe.1.0,Rhodopirellula sp. MED697,marine pelagic biome,NA,NA,Mediterranean Sea,NA,marine water sample,NA,NA,NA
