assembly_accession,biosample_id,bioproject_accession,geo_loc_name,isolation_source,geographic location (latitude),geographic location (longitude),lat_lon,isolation_source_mapped,environmental_source_mapped,lat,lon,notes
GCA_900168255.1,SAMEA3731239,PRJEB12380,Norway,NA,77.83,16.83,NA,unknown,NA,77.83,16.83,NA
GCF_900168255.1,SAMEA3731239,PRJEB12380,Norway,NA,77.83,16.83,NA,unknown,NA,77.83,16.83,NA
GCA_008630635.1,SAMN12684172,PRJNA563618,Korea: Gang-jin bay,a dead ark clam,NA,NA,34.8 N 127.9 E,unknown,NA,34.8,127.9,NA
GCF_008630635.1,SAMN12684172,PRJNA563618,Korea: Gang-jin bay,a dead ark clam,NA,NA,34.8 N 127.9 E,unknown,NA,34.8,127.9,NA
GCA_009711885.1,SAMN11897332,PRJNA545216,Saudi Arabia: KAUST,mes reactor inoculated with red sea brine pool sample,NA,NA,22.309347 N 39.104976 E,environmental,marine,22.309347,39.104976,NA
GCA_013393465.1,SAMN14491393,PRJNA613738,South Korea,"ganjang, korean traditional soy sauce",NA,NA,37.505448 N 126.956017 E,unknown,NA,37.505448,126.956017,NA
GCA_900184825.1,SAMEA104098305,PRJEB21020,Japan,NA,24.4,124.1,NA,unknown,NA,24.4,124.1,NA
GCF_900184825.1,SAMEA104098305,PRJEB21020,Japan,NA,24.4,124.1,NA,unknown,NA,24.4,124.1,NA
GCF_000427725.1,SAMN02440597,PRJNA162985,South Africa,NA,NA,NA,33.68 S 18.69 E,unknown,NA,-33.68,18.69,NA
GCF_016082375.1,SAMN04095071,PRJNA295945,China: a coastal area of Qingdao (Yellow Sea),NA,NA,NA,35.8 N 120.0 E,unknown,NA,35.8,120,NA
GCA_030689305.1,SAMN36510920,PRJNA319196,"USA:Canoe Beach, Nahant, MA",NA,NA,NA,42.420 N 70.907 W,unknown,NA,42.42,-70.907,NA
GCF_030689305.1,SAMN36510920,PRJNA319196,"USA:Canoe Beach, Nahant, MA",NA,NA,NA,42.420 N 70.907 W,unknown,NA,42.42,-70.907,NA
GCA_030547885.1,SAMN36510969,PRJNA478695,"USA:Canoe Beach, Nahant, MA",NA,NA,NA,42.420 N 70.907 W,environmental,marine,42.42,-70.907,isolation source derived from bioproject information
GCA_030549035.1,SAMN36510930,PRJNA478695,"USA:Canoe Beach, Nahant, MA",NA,NA,NA,42.420 N 70.907 W,environmental,marine,42.42,-70.907,isolation source derived from bioproject information
GCF_030547885.1,SAMN36510969,PRJNA478695,"USA:Canoe Beach, Nahant, MA",NA,NA,NA,42.420 N 70.907 W,environmental,marine,42.42,-70.907,isolation source derived from bioproject information
GCF_030549035.1,SAMN36510930,PRJNA478695,"USA:Canoe Beach, Nahant, MA",NA,NA,NA,42.420 N 70.907 W,environmental,marine,42.42,-70.907,isolation source derived from bioproject information
GCF_947493925.1,SAMEA112157182,PRJEB57783,China,NA,37.562,122.121,NA,environmental,marine,37.562,122.121,isolation source derived from bioproject information
GCA_016704435.1,SAMN16425547,PRJNA629478,Denmark: Aalborg W,activated sludge from aalw_18-q3-r10-53,NA,NA,57.049513 N 9.864788 E,environmental,other,57.049513,9.864788,NA
GCA_016711185.1,SAMN16426080,PRJNA629478,Denmark: Hirtshals,activated sludge from hirt_18-q3-r61-65,NA,NA,57.577275 N 9.992971 E,environmental,other,57.577275,9.992971,NA
GCA_037619735.1,SAMN32981257,PRJNA929556,"Canada: Chesterfield Inlet, Nunavut",pristine subarctic bottom seawater sample mj-ci1h1-bsw-11m,NA,NA,63.33463333 N 90.69091667 W,environmental,marine,63.33463333,-90.690916669999993,NA
GCA_003243455.1,SAMN07426511,PRJNA376580,"USA: Pittsburgh, Pennsylvania Magee Womens Hospital",hospital nicu surfaces and sink samples,NA,NA,40.43682860 N 79.96068800 W,non-environmental,other,40.4368286,-79.960688,NA
GCA_035481855.1,SAMN38931262,PRJNA1054743,China: Huangshi,farmland,NA,NA,29.98 N 115.25 E,unknown,NA,29.98,115.25,NA
GCF_035481855.1,SAMN38931262,PRJNA1054743,China: Huangshi,farmland,NA,NA,29.98 N 115.25 E,unknown,NA,29.98,115.25,NA
GCA_048058775.1,SAMN39255712,PRJNA1061128,"Denmark: Roskilde Fjord, Jyllinge harbor",NA,NA,NA,55.744906 N 12.094889 E,unknown,NA,55.744906,12.094889,NA
GCF_048058775.1,SAMN39255712,PRJNA1061128,"Denmark: Roskilde Fjord, Jyllinge harbor",NA,NA,NA,55.744906 N 12.094889 E,unknown,NA,55.744906,12.094889,NA
GCA_048058575.1,SAMN39255713,PRJNA1061128,"Denmark: Roskilde Fjord, Jyllinge harbor",NA,NA,NA,55.744906 N 12.094889 E,unknown,NA,55.744906,12.094889,NA
GCF_048058575.1,SAMN39255713,PRJNA1061128,"Denmark: Roskilde Fjord, Jyllinge harbor",NA,NA,NA,55.744906 N 12.094889 E,unknown,NA,55.744906,12.094889,NA
GCA_048058435.1,SAMN39255716,PRJNA1061128,"Denmark: Roskilde Fjord, Jyllinge harbor",NA,NA,NA,55.744906 N 12.094889 E,unknown,NA,55.744906,12.094889,NA
GCF_048058435.1,SAMN39255716,PRJNA1061128,"Denmark: Roskilde Fjord, Jyllinge harbor",NA,NA,NA,55.744906 N 12.094889 E,unknown,NA,55.744906,12.094889,NA
GCA_048058455.1,SAMN39255718,PRJNA1061128,"Denmark: Roskilde Fjord, Jyllinge harbor",NA,NA,NA,55.744906 N 12.094889 E,unknown,NA,55.744906,12.094889,NA
GCF_048058455.1,SAMN39255718,PRJNA1061128,"Denmark: Roskilde Fjord, Jyllinge harbor",NA,NA,NA,55.744906 N 12.094889 E,unknown,NA,55.744906,12.094889,NA
GCA_048058295.1,SAMN39255719,PRJNA1061128,"Denmark: Roskilde Fjord, Jyllinge harbor",NA,NA,NA,55.744906 N 12.094889 E,unknown,NA,55.744906,12.094889,NA
GCF_048058295.1,SAMN39255719,PRJNA1061128,"Denmark: Roskilde Fjord, Jyllinge harbor",NA,NA,NA,55.744906 N 12.094889 E,unknown,NA,55.744906,12.094889,NA
GCF_000259875.1,SAMN02469786,PRJNA73409,NA,open ocean water sample collected over the continental slope off the west coast of africa between the cape verde and canary islands,NA,NA,20.68 N 24.23 W,environmental,marine,20.68,-24.23,NA
GCA_008933605.1,SAMN12878382,PRJNA573876,Netherlands:Ooijpolder,biomass on anode of bioreactor after 21 days,NA,NA,51.862558 N 5.904996 E,non-environmental,other,51.862558,5.904996,NA
GCA_039830135.1,SAMN39948491,PRJNA1076670,India: Goa,NA,NA,NA,15.5130 N 73.8704 E,unknown,NA,15.513,73.8704,NA
GCA_041397265.1,SAMN37790365,PRJNA974210,China:Hong Kong,wastewater treatment plant,NA,NA,22.2827 N 114.1368 E,environmental,other,22.2827,114.1368,NA
GCA_900302475.1,SAMEA104628688,PRJEB25129,South Korea,NA,33.25,126.62,NA,unknown,NA,33.25,126.62,NA
GCF_008933605.1,SAMN12878382,PRJNA573876,Netherlands:Ooijpolder,biomass on anode of bioreactor after 21 days,NA,NA,51.862558 N 5.904996 E,non-environmental,other,51.862558,5.904996,NA
GCF_039830135.1,SAMN39948491,PRJNA1076670,India: Goa,NA,NA,NA,15.5130 N 73.8704 E,unknown,NA,15.513,73.8704,NA
GCF_041397265.1,SAMN37790365,PRJNA974210,China:Hong Kong,wastewater treatment plant,NA,NA,22.2827 N 114.1368 E,environmental,other,22.2827,114.1368,NA
GCF_900302475.1,SAMEA104628688,PRJEB25129,South Korea,NA,33.25,126.62,NA,unknown,NA,33.25,126.62,NA
GCF_000374525.1,SAMN02440442,PRJNA174976,Israel,NA,NA,NA,29.533661 N 34.998221 E,unknown,NA,29.533661,34.998221,NA
GCF_000621165.1,SAMN02743982,PRJNA221036,"Mediterranean Sea: coast of Corsica, France",NA,NA,NA,42.570 N 8.759 E,unknown,NA,42.57,8.759,NA
GCF_000423545.1,SAMN02441499,PRJNA185651,France,NA,NA,NA,45.5289 N 4.87429 E,unknown,NA,45.5289,4.87429,NA
GCF_036864515.1,SAMN39606784,PRJNA1068984,"Spain:Blanes,Blanes Bay Microbial Observatory",NA,NA,NA,41.40 N 2.48 E,unknown,NA,41.4,2.48,NA
GCF_947500925.1,SAMEA112157357,PRJEB57783,China,NA,37.562,122.121,NA,environmental,marine,37.562,122.121,isolation source derived from bioproject information
GCF_963976385.1,SAMEA115300625,PRJEB47400,not provided,marine metagenome,71.8895,-154.9101,NA,environmental,marine,71.8895,-154.9101,NA
GCF_963665105.2,SAMEA114407023,PRJEB69036 | PRJEB65638 | PRJEB43743 | PRJEB43745 | PRJNA533106,USA,ciliate: metopus sp. strain f25b,41.49,-71.42,NA,unknown,NA,41.49,-71.42,NA
GCF_943846705.1,SAMEA110055893,PRJEB52999,North Sea,marine water,54.19,7.9,NA,environmental,marine,54.19,7.9,NA
GCF_963973725.1,SAMEA115325405,PRJEB46046,not provided,marine metagenome,-62.2231,-49.2139,NA,environmental,marine,-62.2231,-49.2139,NA
GCF_947488185.1,SAMEA112157557,PRJEB57783,China,NA,37.562,122.121,NA,environmental,marine,37.562,122.121,isolation source derived from bioproject information
GCF_947491795.1,SAMEA112157549,PRJEB57783,China,NA,37.562,122.121,NA,environmental,marine,37.562,122.121,isolation source derived from bioproject information
GCF_947492555.1,SAMEA112157558,PRJEB57783,China,NA,37.562,122.121,NA,environmental,marine,37.562,122.121,isolation source derived from bioproject information
GCF_947495275.1,SAMEA112157559,PRJEB57783,China,NA,37.562,122.121,NA,environmental,marine,37.562,122.121,isolation source derived from bioproject information
GCF_947501255.1,SAMEA112157556,PRJEB57783,China,NA,37.562,122.121,NA,environmental,marine,37.562,122.121,isolation source derived from bioproject information
GCA_001767335.1,SAMN05290347,PRJNA84349,Czech Republic: dumpsite Lhenice,pcb contaminated soil,NA,NA,48.99 N 14.15999999 E,environmental,soil,48.99,14.15999999,NA
GCF_001767335.1,SAMN05290347,PRJNA84349,Czech Republic: dumpsite Lhenice,pcb contaminated soil,NA,NA,48.99 N 14.15999999 E,environmental,soil,48.99,14.15999999,NA
GCA_900102795.1,SAMN04488118,PRJEB16117,missing,NA,NA,NA,33.850798 S 151.265985 E,unknown,NA,-33.850798,151.265985,NA
GCF_900102795.1,SAMN04488118,PRJEB16117,missing,NA,NA,NA,33.850798 S 151.265985 E,unknown,NA,-33.850798,151.265985,NA
GCF_947489465.1,SAMEA112157478,PRJEB57783,China,NA,37.562,122.121,NA,environmental,marine,37.562,122.121,isolation source derived from bioproject information
GCF_947497685.1,SAMEA112157480,PRJEB57783,China,NA,37.562,122.121,NA,environmental,marine,37.562,122.121,isolation source derived from bioproject information
GCA_027563465.1,SAMN31580696,PRJNA897817,"Portugal: Jales, Vila Pouca de Aguiar",NA,NA,NA,41.46582 N 7.586575 W,unknown,NA,41.46582,-7.586575,NA
GCF_027563465.1,SAMN31580696,PRJNA897817,"Portugal: Jales, Vila Pouca de Aguiar",NA,NA,NA,41.46582 N 7.586575 W,unknown,NA,41.46582,-7.586575,NA
GCA_019801065.1,SAMN19953108,PRJNA682484,China:Shenzhen,NA,NA,NA,22.572 N 114.508 E,environmental,marine,22.572,114.508,isolation source derived from bioproject information
GCA_900185035.1,SAMEA104102142,PRJEB21021,South Korea,NA,34.51,128.37,NA,unknown,NA,34.51,128.37,NA
GCF_019801065.1,SAMN19953108,PRJNA682484,China:Shenzhen,NA,NA,NA,22.572 N 114.508 E,environmental,marine,22.572,114.508,isolation source derived from bioproject information
GCF_020524825.1,SAMN21557919,PRJNA682484,China:Shenzhen,NA,NA,NA,22.473 N 114.473 E,environmental,marine,22.473,114.473,isolation source derived from bioproject information
GCF_900185035.1,SAMEA104102142,PRJEB21021,South Korea,NA,34.51,128.37,NA,unknown,NA,34.51,128.37,NA
GCF_000731955.1,SAMN02741068,PRJNA234075,"Atlantic Ocean: South Atlantic, Mid-Ocean Ridge",deep-sea sediment samples,NA,NA,13.60 S 14.52 W,environmental,marine,-13.6,-14.52,NA
GCA_002215215.1,SAMN06112367,PRJNA167143,Antarctica: King George Island,seawater,NA,NA,62.233 S 58.783 W,environmental,marine,-62.233,-58.783,NA
GCF_002215215.1,SAMN06112367,PRJNA167143,Antarctica: King George Island,seawater,NA,NA,62.233 S 58.783 W,environmental,marine,-62.233,-58.783,NA
GCA_025000125.1,SAMN30622614,PRJNA875593,China: Beibu Gulf in the South China Sea,NA,NA,NA,20.33 N 109.8 E,unknown,NA,20.33,109.8,NA
GCF_025000125.1,SAMN30622614,PRJNA875593,China: Beibu Gulf in the South China Sea,NA,NA,NA,20.33 N 109.8 E,unknown,NA,20.33,109.8,NA
GCA_900089765.1,SAMEA4016015,PRJEB14181,Spain,NA,42.34692,-8.63582,NA,unknown,NA,42.34692,-8.63582,NA
GCA_900302455.1,SAMEA104614313,PRJEB25132,Spain,NA,39.28,-0.19,NA,unknown,NA,39.28,-0.19,NA
GCF_900302455.1,SAMEA104614313,PRJEB25132,Spain,NA,39.28,-0.19,NA,unknown,NA,39.28,-0.19,NA
GCA_900172225.1,SAMEA103892645,PRJEB19729,Spain,NA,39.28,0.19,NA,unknown,NA,39.28,0.19,NA
GCF_900172225.1,SAMEA103892645,PRJEB19729,Spain,NA,39.28,0.19,NA,unknown,NA,39.28,0.19,NA
GCA_020859525.1,SAMN14915810,PRJNA169678,Mexico: Sonora,seawater from broodstock tank,NA,NA,31.4209 N 114.3122 W,environmental,marine,31.4209,-114.3122,NA
GCF_020859525.1,SAMN14915810,PRJNA169678,Mexico: Sonora,seawater from broodstock tank,NA,NA,31.4209 N 114.3122 W,environmental,marine,31.4209,-114.3122,NA
GCA_001294455.1,SAMN03996103,PRJNA293018,"Spain: Andratx Harbor, Mallorca Island, Balearic Islands",NA,NA,NA,39.5447 N 2.3872 E,unknown,NA,39.5447,2.3872,NA
GCF_001294455.1,SAMN03996103,PRJNA293018,"Spain: Andratx Harbor, Mallorca Island, Balearic Islands",NA,NA,NA,39.5447 N 2.3872 E,unknown,NA,39.5447,2.3872,NA
GCF_001238295.1,SAMN03891582,PRJNA290424,"Spain: Palma de Mallorca harbor, Mallorca Island, Balearic Islands",NA,NA,NA,39.567 N 2.642 E,unknown,NA,39.567,2.642,NA
GCF_947495765.1,SAMEA112157340,PRJEB57783,China,NA,37.562,122.121,NA,environmental,marine,37.562,122.121,isolation source derived from bioproject information
GCA_002910975.1,SAMN08123256,PRJNA420877,China: Huangshi,high-arsenic soil,NA,NA,30.17876 N 114.958674 E,environmental,soil,30.17876,114.958674,NA
