geo_loc_name,n,lat,lon,
Antarctica,11,,,1168
Antarctica: Larsemann Hills,2,S 69¡ 24_ 0'',E 76¡ 13_ 0'',1511
"Antarctica: Terra Nova Bay, Victoria Land",8,S 74¡ 50_ 0'',E 164¡ 30_ 0'',1247
Arctic Ocean,11,N 85¡ 0_ 0'',E 0¡ 0_ 0'',1179
Arctic Ocean: Canadian Basin,2,N 85¡ 0_ 0'',E 0¡ 0_ 0'',1513
Atlantic Ocean,17,N 10¡ 0_ 0'',W 25¡ 0_ 0'',1084
Atlantic Ocean: North Pond,1,,,1640
Atlantic Ocean: South Atlantic Ocean,1,S 45¡ 0_ 0'',W 15¡ 0_ 0'',1641
Australia,4,,,1379
"Australia: Port Phillip Bay, Heron Island and Pacific Ocean, Munida Microbial Observatory Time Series",1,S 38¡ 3_ 39'',E 144¡ 51_ 12'',1642
Australia: Torrens River,5,S 34¡ 56_ 0'',E 138¡ 30_ 0'',1335
Belgium,2,N 50¡ 45_ 0'',E 4¡ 30_ 0'',1515
Brazil,2,S 10¡ 0_ 0'',W 55¡ 0_ 0'',1517
Brazil: Rio de Janeiro,10,S 22¡ 54_ 23'',W 43¡ 10_ 56'',1211
Brazil: Sao Paulo,2,S 23¡ 32_ 51'',W 46¡ 38_ 10'',1519
Canada,2,N 60¡ 6_ 31'',W 113¡ 38_ 33'',1521
Canada: Alberta,1,N 52¡ 17_ 0'',W 117¡ 28_ 8'',1643
China,28,,,951
China: Beijing,1,N 39¡ 54_ 27'',E 116¡ 23_ 50'',1644
China: Bohai Gulf,1,N 38¡ 52_ 26'',E 119¡ 48_ 21'',1645
China: Bohai Sea,1,N 38¡ 52_ 26'',E 119¡ 48_ 21'',1646
China: coastal region of Qingdao,4,N 36¡ 3_ 53'',E 120¡ 22_ 49'',1395
China: East China Sea,2,N 29¡ 0_ 0'',E 125¡ 0_ 0'',1523
China: eastern marginal seas,1,,,1651
China: Fu Zhou,2,N 26¡ 3_ 41'',E 119¡ 18_ 22'',1525
"China: Fujian, Xiamen",4,N 24¡ 28_ 47'',E 118¡ 4_ 54'',1383
"China: Guangdong, Zhanjiang",2,N 21¡ 14_ 2'',E 110¡ 23_ 15'',1527
China: Guangxi,5,N 24¡ 0_ 0'',E 109¡ 0_ 0'',1340
"China: Guangxi, Beihai",2,N 21¡ 29_ 0'',E 109¡ 6_ 55'',1529
"China: Hainan, Wenchang",2,N 19¡ 33_ 5'',E 110¡ 48_ 10'',1531
"China: Haizhou Bay Resort, Haitou Town, Ganyu District, Lianyungang City, Jiangsu Province",3,,,1470
"China: Hebei, Qinhuangdao",1,N 39¡ 56_ 27'',E 119¡ 35_ 21'',1647
China: Hong Kong SAR,2,N 22¡ 15_ 0'',E 114¡ 10_ 0'',1533
China: Huizhou,1,N 23¡ 6_ 41'',E 114¡ 24_ 54'',1648
"China: Jiangsu Province, Yancheng City",2,N 33¡ 21_ 27'',E 120¡ 9_ 26'',1535
China: Jilin,2,N 43¡ 50_ 47'',E 126¡ 33_ 38'',1537
China: Kunshan,2,N 31¡ 22_ 39'',E 120¡ 57_ 15'',1539
"China: Laizhou Bay, Bohai Sea",2,N 37¡ 18_ 38'',E 119¡ 21_ 36'',1541
China: Linyi,4,N 35¡ 3_ 47'',E 118¡ 20_ 34'',1387
China: Nanjing,2,N 32¡ 3_ 42'',E 118¡ 46_ 40'',1543
"China: North Linhai Port, Taizhou City, Zhejiang Province",2,,,1545
"China: Port of Yangkou, Rudong County, Nantong City, Jiangsu Province",2,,,1547
China: Qingdao,2,N 36¡ 3_ 53'',E 120¡ 22_ 49'',1549
China: seagrass sediment of the South China Sea,5,,,1345
China: Shandong Province,2,N 36¡ 20_ 0'',E 118¡ 15_ 0'',1551
China: Shanghai,2,N 31¡ 13_ 20'',E 121¡ 27_ 29'',1553
"China: Shantou, Guangdong",4,N 23¡ 21_ 17'',E 116¡ 40_ 43'',1391
China: Shanxi Province,1,N 37¡ 40_ 0'',E 112¡ 15_ 0'',1649
China: Shenzhen,3,N 22¡ 32_ 43'',E 114¡ 4_ 5'',1473
China: South China Sea,2,N 15¡ 0_ 0'',E 115¡ 0_ 0'',1555
China: South China sea,1,N 15¡ 0_ 0'',E 115¡ 0_ 0'',1650
China: The Jiulong River,2,,,1557
China: wastewater treatment plant,1,,,1652
China: Weihai,8,N 37¡ 30_ 32'',E 122¡ 6_ 48'',1255
China: Xiamen,2,N 24¡ 28_ 47'',E 118¡ 4_ 54',1559
China: Yellow Sea,2,N 36¡ 0_ 0'',E 124¡ 0_ 0'',1561
China:Black Soil,3,,,1476
China:Bohai Sea,2,N 38¡ 52_ 26'',E 119¡ 48_ 21'',1563
China:Chongqing,2,N 29¡ 33_ 36'',E 106¡ 33_ 27'',1565
China:Guangxi,6,N 24¡ 0_ 0'',E 109¡ 0_ 0'',1306
China:Haikou,1,N 20¡ 2_ 3'',E 110¡ 20_ 47'',1653
China:Hangzhou,6,N 30¡ 0_ 0'',E 119¡ 36_ 0'',1312
China:Heilongjiang,2,N 29¡ 33_ 36'',E 106¡ 33_ 27'',1567
