time,lat,lon,depth,Chlorophyll
42492.84169,26.356,-158.156,3,0.0943
42492.84169,26.356,-158.156,4,0.0947
42492.84169,26.356,-158.156,5,0.0943
42492.84169,26.356,-158.156,6,0.0941
42492.84169,26.356,-158.156,7,0.0948
42492.84169,26.356,-158.156,7.9,0.0952
42492.84169,26.356,-158.156,8.9,0.0972
42492.84169,26.356,-158.156,9.9,0.0958
42492.84169,26.356,-158.156,10.9,0.0972
42492.84169,26.356,-158.156,11.9,0.0971
42492.84169,26.356,-158.156,12.9,0.0989
42492.84169,26.356,-158.156,13.9,0.1007
42492.84169,26.356,-158.156,14.9,0.1008
42492.84169,26.356,-158.156,15.9,0.1011
42492.84169,26.356,-158.156,16.9,0.1051
42492.84169,26.356,-158.156,17.9,0.1029
42492.84169,26.356,-158.156,18.9,0.1036
42492.84169,26.356,-158.156,19.9,0.1038
42492.84169,26.356,-158.156,20.9,0.1031
42492.84169,26.356,-158.156,21.9,0.1036
42492.84169,26.356,-158.156,22.8,0.1044
42492.84169,26.356,-158.156,23.8,0.1053
42492.84169,26.356,-158.156,24.8,0.1066
42492.84169,26.356,-158.156,25.8,0.105
42492.84169,26.356,-158.156,26.8,0.1046
42492.84169,26.356,-158.156,27.8,0.1053
42492.84169,26.356,-158.156,28.8,0.1066
42492.84169,26.356,-158.156,29.8,0.1048
42492.84169,26.356,-158.156,30.8,0.1062
42492.84169,26.356,-158.156,31.8,0.1053
42492.84169,26.356,-158.156,32.8,0.1055
42492.84169,26.356,-158.156,33.8,0.1064
42492.84169,26.356,-158.156,34.8,0.1063
42492.84169,26.356,-158.156,35.8,0.1063
42492.84169,26.356,-158.156,36.8,0.1067
42492.84169,26.356,-158.156,37.7,0.1059
42492.84169,26.356,-158.156,38.7,0.1065
42492.84169,26.356,-158.156,39.7,0.108
42492.84169,26.356,-158.156,40.7,0.1078
42492.84169,26.356,-158.156,41.7,0.1102
42492.84169,26.356,-158.156,42.7,0.1093
42492.84169,26.356,-158.156,43.7,0.1103
42492.84169,26.356,-158.156,45.7,0.1125
42492.84169,26.356,-158.156,46.7,0.1128
42492.84169,26.356,-158.156,47.7,0.1151
42492.84169,26.356,-158.156,48.7,0.1151
42492.84169,26.356,-158.156,49.7,0.1184
42492.84169,26.356,-158.156,50.7,0.119
42492.84169,26.356,-158.156,51.7,0.1195
42492.84169,26.356,-158.156,52.6,0.1194
42492.84169,26.356,-158.156,53.6,0.1207
42492.84169,26.356,-158.156,54.6,0.1204
42492.84169,26.356,-158.156,55.6,0.1209
42492.84169,26.356,-158.156,56.6,0.1241
42492.84169,26.356,-158.156,57.6,0.1228
42492.84169,26.356,-158.156,58.6,0.1241
42492.84169,26.356,-158.156,59.6,0.1321
42492.84169,26.356,-158.156,60.6,0.1318
42492.84169,26.356,-158.156,61.6,0.1345
42492.84169,26.356,-158.156,62.6,0.1353
42492.84169,26.356,-158.156,63.6,0.1341
42492.84169,26.356,-158.156,64.6,0.1991
42492.84169,26.356,-158.156,65.6,0.1476
42492.84169,26.356,-158.156,66.6,0.1566
42492.84169,26.356,-158.156,67.5,0.1626
42492.84169,26.356,-158.156,68.5,0.1694
42492.84169,26.356,-158.156,69.5,0.1762
42492.84169,26.356,-158.156,70.5,0.1835
42492.84169,26.356,-158.156,71.5,0.1991
42492.84169,26.356,-158.156,72.5,0.2167
42492.84169,26.356,-158.156,73.5,0.2347
42492.84169,26.356,-158.156,74.5,0.2412
42492.84169,26.356,-158.156,75.5,0.3013
42492.84169,26.356,-158.156,76.5,0.3407
42492.84169,26.356,-158.156,77.5,0.3702
42492.84169,26.356,-158.156,78.5,0.3639
42492.84169,26.356,-158.156,80.5,0.3707
42492.84169,26.356,-158.156,81.4,0.3904
42492.84169,26.356,-158.156,82.4,0.3712
42492.84169,26.356,-158.156,83.4,0.346
42492.84169,26.356,-158.156,84.4,0.3508
42492.84169,26.356,-158.156,85.4,0.3425
42492.84169,26.356,-158.156,86.4,0.3297
42492.84169,26.356,-158.156,87.4,0.3347
42492.84169,26.356,-158.156,88.4,0.3537
42492.84169,26.356,-158.156,89.4,0.3396
42492.84169,26.356,-158.156,90.4,0.3381
42492.84169,26.356,-158.156,91.4,0.337
42492.84169,26.356,-158.156,92.4,0.3326
42492.84169,26.356,-158.156,93.4,0.3174
42492.84169,26.356,-158.156,94.4,0.3284
42492.84169,26.356,-158.156,95.4,0.3326
42492.84169,26.356,-158.156,96.3,0.3114
42492.84169,26.356,-158.156,97.3,0.3464
42492.84169,26.356,-158.156,98.3,0.3137
42492.84169,26.356,-158.156,99.3,0.3098
42492.84169,26.356,-158.156,100.3,0.2983
42492.84169,26.356,-158.156,101.3,0.2983
42492.84169,26.356,-158.156,102.3,0.3178
42492.84169,26.356,-158.156,103.3,0.2906
42492.84169,26.356,-158.156,104.3,0.2848
42492.84169,26.356,-158.156,105.3,0.266
42492.84169,26.356,-158.156,106.3,0.2604
42492.84169,26.356,-158.156,108.3,0.2532
42492.84169,26.356,-158.156,109.3,0.279
42492.84169,26.356,-158.156,110.2,0.2709
42492.84169,26.356,-158.156,111.2,0.2682
42492.84169,26.356,-158.156,112.2,0.2769
42492.84169,26.356,-158.156,113.2,0.287
42492.84169,26.356,-158.156,114.2,0.2742
42492.84169,26.356,-158.156,115.2,0.2711
42492.84169,26.356,-158.156,116.2,0.2733
42492.84169,26.356,-158.156,117.2,0.2686
42492.84169,26.356,-158.156,119.2,0.2734
42492.84169,26.356,-158.156,121.2,0.2337
42492.84169,26.356,-158.156,122.2,0.2532
42492.84169,26.356,-158.156,123.2,0.2687
42492.84169,26.356,-158.156,124.1,0.2472
42492.84169,26.356,-158.156,125.1,0.2391
42492.84169,26.356,-158.156,126.1,0.2399
42492.84169,26.356,-158.156,127.1,0.2213
42492.84169,26.356,-158.156,128.1,0.2121
42492.84169,26.356,-158.156,129.1,0.2076
42492.84169,26.356,-158.156,130.1,0.1968
42492.84169,26.356,-158.156,131.1,0.1919
42492.84169,26.356,-158.156,132.1,0.1965
42492.84169,26.356,-158.156,133.1,0.1985
42492.84169,26.356,-158.156,134.1,0.1933
42492.84169,26.356,-158.156,135.1,0.1897
42492.84169,26.356,-158.156,136.1,0.1837
42492.84169,26.356,-158.156,137.1,0.1623
42492.84169,26.356,-158.156,138,0.1512
42492.84169,26.356,-158.156,139,0.1392
42492.84169,26.356,-158.156,140,0.1322
42492.84169,26.356,-158.156,141,0.1262
42492.84169,26.356,-158.156,142,0.1307
42492.84169,26.356,-158.156,143,0.1288
42492.84169,26.356,-158.156,144,0.1284
42492.84169,26.356,-158.156,145,0.1213
42492.84169,26.356,-158.156,146,0.1192
42492.84169,26.356,-158.156,147,0.1176
42492.84169,26.356,-158.156,148,0.116
42492.84169,26.356,-158.156,149,0.1151
42492.84169,26.356,-158.156,150,0.1142
42492.84169,26.356,-158.156,151,0.1089
42492.84169,26.356,-158.156,151.9,0.1059
42492.84169,26.356,-158.156,152.9,0.107
42492.84169,26.356,-158.156,153.9,0.1048
42492.84169,26.356,-158.156,154.9,0.104
42492.84169,26.356,-158.156,155.9,0.104
42492.84169,26.356,-158.156,156.9,0.1018
42492.84169,26.356,-158.156,157.9,0.1006
42492.84169,26.356,-158.156,158.9,0.0991
42492.84169,26.356,-158.156,159.9,0.0972
42492.84169,26.356,-158.156,160.9,0.0993
42492.84169,26.356,-158.156,161.9,0.0956
42492.84169,26.356,-158.156,162.9,0.0944
42492.84169,26.356,-158.156,163.9,0.0958
42492.84169,26.356,-158.156,164.9,0.0958
42492.84169,26.356,-158.156,165.8,0.0952
42492.84169,26.356,-158.156,166.8,0.0939
42492.84169,26.356,-158.156,167.8,0.0939
42492.84169,26.356,-158.156,168.8,0.0946
42492.84169,26.356,-158.156,169.8,0.0935
42492.84169,26.356,-158.156,170.8,0.0935
42492.84169,26.356,-158.156,171.8,0.0931
42492.84169,26.356,-158.156,172.8,0.092
42492.84169,26.356,-158.156,173.8,0.092
42492.84169,26.356,-158.156,174.8,0.0916
42492.84169,26.356,-158.156,175.8,0.0914
42492.84169,26.356,-158.156,176.8,0.0909
42492.84169,26.356,-158.156,178.7,0.0901
42492.84169,26.356,-158.156,179.7,0.0901
42492.84169,26.356,-158.156,180.7,0.0901
42492.84169,26.356,-158.156,181.7,0.0905
42492.84169,26.356,-158.156,182.7,0.1051
42492.84169,26.356,-158.156,183.7,0.0909
42492.84169,26.356,-158.156,184.7,0.0897
42492.84169,26.356,-158.156,185.7,0.0894
42492.84169,26.356,-158.156,186.7,0.0894
42492.84169,26.356,-158.156,187.7,0.0897
42492.84169,26.356,-158.156,188.7,0.089
42492.84169,26.356,-158.156,189.7,0.0875
42492.84169,26.356,-158.156,190.7,0.0882
42492.84169,26.356,-158.156,191.7,0.0882
42492.84169,26.356,-158.156,192.6,0.0884
42492.84169,26.356,-158.156,193.6,0.088
42492.84169,26.356,-158.156,194.6,0.0875
42492.84169,26.356,-158.156,196.6,0.0875
42492.84169,26.356,-158.156,197.6,0.0875
42492.84169,26.356,-158.156,198.6,0.0877
42492.84169,26.356,-158.156,199.6,0.0886
42492.84169,26.356,-158.156,200.6,0.0869
42492.84169,26.356,-158.156,202.6,0.0867
42492.84169,26.356,-158.156,203.6,0.0871
42492.84169,26.356,-158.156,205.5,0.0871
42492.84169,26.356,-158.156,206.5,0.0867
42492.84169,26.356,-158.156,207.5,0.087
42492.84169,26.356,-158.156,208.5,0.0867
42492.84169,26.356,-158.156,209.5,0.0867
42492.84169,26.356,-158.156,210.5,0.0871
42492.84169,26.356,-158.156,211.5,0.0863
42492.84169,26.356,-158.156,212.5,0.0867
42492.84169,26.356,-158.156,214.5,0.0875
42492.84169,26.356,-158.156,215.5,0.0867
42492.84169,26.356,-158.156,216.5,0.0867
42492.84169,26.356,-158.156,217.5,0.0863
42492.84169,26.356,-158.156,218.4,0.0871
42492.84169,26.356,-158.156,219.4,0.086
42492.84169,26.356,-158.156,221.4,0.0871
42492.84169,26.356,-158.156,222.4,0.0867
42492.84169,26.356,-158.156,223.4,0.0865
42492.84169,26.356,-158.156,224.4,0.0865
42492.84169,26.356,-158.156,225.4,0.0863
42492.84169,26.356,-158.156,226.4,0.0863
42492.84169,26.356,-158.156,228.4,0.0863
42492.84169,26.356,-158.156,229.4,0.0863
42492.84169,26.356,-158.156,230.4,0.0863
42492.84169,26.356,-158.156,231.3,0.0871
42492.84169,26.356,-158.156,232.3,0.0863
42492.84169,26.356,-158.156,233.3,0.0863
42492.84169,26.356,-158.156,234.3,0.0867
42492.84169,26.356,-158.156,235.3,0.0863
42492.84169,26.356,-158.156,236.3,0.0863
42492.84169,26.356,-158.156,237.3,0.0863
42492.84169,26.356,-158.156,238.3,0.0862
42492.84169,26.356,-158.156,239.3,0.086
42492.84169,26.356,-158.156,240.3,0.0863
42492.84169,26.356,-158.156,241.3,0.086
42492.84169,26.356,-158.156,242.3,0.0863
42492.84169,26.356,-158.156,243.3,0.086
42492.84169,26.356,-158.156,244.2,0.086
42492.84169,26.356,-158.156,246.2,0.0863
42492.84169,26.356,-158.156,247.2,0.086
42492.84169,26.356,-158.156,248.2,0.086
42492.84169,26.356,-158.156,249.2,0.0862
42492.84169,26.356,-158.156,250.2,0.0863
42492.84169,26.356,-158.156,251.2,0.086
42492.84169,26.356,-158.156,253.2,0.086
42492.84169,26.356,-158.156,254.2,0.0863
42492.84169,26.356,-158.156,255.2,0.0863
42492.84169,26.356,-158.156,256.2,0.0863
42492.84169,26.356,-158.156,257.1,0.0867
42492.84169,26.356,-158.156,258.1,0.0871
42492.84169,26.356,-158.156,259.1,0.0863
42492.84169,26.356,-158.156,260.1,0.086
42492.84169,26.356,-158.156,261.1,0.0863
42492.84169,26.356,-158.156,262.1,0.0863
42492.84169,26.356,-158.156,263.1,0.086
42492.84169,26.356,-158.156,264.1,0.0867
42492.84169,26.356,-158.156,265.1,0.0863
42492.84169,26.356,-158.156,266.1,0.0867
42492.84169,26.356,-158.156,267.1,0.086
42492.84169,26.356,-158.156,268.1,0.0863
42492.84169,26.356,-158.156,269.1,0.0863
42492.84169,26.356,-158.156,270,0.0863
42492.84169,26.356,-158.156,271,0.0863
42492.84169,26.356,-158.156,272,0.086
42492.84169,26.356,-158.156,273,0.0863
42492.84169,26.356,-158.156,274,0.0863
42492.84169,26.356,-158.156,276,0.0863
42492.84169,26.356,-158.156,277,0.0863
42492.84169,26.356,-158.156,278,0.0863
42492.84169,26.356,-158.156,279,0.0863
42492.84169,26.356,-158.156,280,0.0863
42492.84169,26.356,-158.156,282,0.0863
42492.84169,26.356,-158.156,282.9,0.0863
42492.84169,26.356,-158.156,283.9,0.0863
42492.84169,26.356,-158.156,284.9,0.0863
42492.84169,26.356,-158.156,285.9,0.0863
42492.84169,26.356,-158.156,286.9,0.0863
42492.84169,26.356,-158.156,287.9,0.0863
42492.84169,26.356,-158.156,288.9,0.086
42492.84169,26.356,-158.156,289.9,0.0867
42492.84169,26.356,-158.156,290.9,0.0867
42492.84169,26.356,-158.156,291.9,0.0863
42492.84169,26.356,-158.156,292.9,0.0863
42492.84169,26.356,-158.156,293.9,0.0863
42492.84169,26.356,-158.156,294.8,0.0867
42492.84169,26.356,-158.156,295.8,0.0863
42492.84169,26.356,-158.156,296.8,0.0863
42492.84169,26.356,-158.156,297.8,0.0863
42492.84169,26.356,-158.156,299.8,0.0863
42492.84169,26.356,-158.156,300.8,0.0863
42492.84169,26.356,-158.156,302.8,0.0863
42492.84169,26.356,-158.156,304.8,0.0865
42492.84169,26.356,-158.156,305.8,0.0863
42492.84169,26.356,-158.156,306.8,0.0865
42492.84169,26.356,-158.156,307.7,0.0863
42492.84169,26.356,-158.156,308.7,0.0863
42492.84169,26.356,-158.156,310.7,0.0867
42492.84169,26.356,-158.156,311.7,0.0863
42492.84169,26.356,-158.156,312.7,0.0863
42492.84169,26.356,-158.156,313.7,0.0871
42492.84169,26.356,-158.156,314.7,0.0867
42492.84169,26.356,-158.156,315.7,0.0863
42492.84169,26.356,-158.156,316.7,0.0867
42492.84169,26.356,-158.156,317.7,0.0867
42492.84169,26.356,-158.156,318.7,0.0867
42492.84169,26.356,-158.156,319.6,0.0867
42492.84169,26.356,-158.156,320.6,0.0867
42492.84169,26.356,-158.156,321.6,0.0867
42492.84169,26.356,-158.156,322.6,0.0863
42492.84169,26.356,-158.156,323.6,0.0867
42492.84169,26.356,-158.156,324.6,0.0867
