isolate,group,Lat,Lon,Depth_Feature,Depth_m,Date
G4i01,G4,-2.4876,-140.0189,surface,4,10-Dec-21
G4i10,G4,0.099,-141.9116,surface,15,8-Dec-21
G4i12,G4,0.099,-141.9116,DCM,45,8-Dec-21
G4i13,G4,0.122,-141.9363,surface,15,8-Dec-21
G4i14,G4,0.122,-141.9363,surface,15,8-Dec-21
G4i51,G4,0.099,-141.9116,DCM,45,8-Dec-21
G4i49,G4,0.099,-141.9116,surface,15,8-Dec-21
G4i54,G4,0.122,-141.9363,surface,15,8-Dec-21
G4i55,G4,3.527,-144.449,DCM,75,9-Dec-21
G4i59,G4,3.527,-144.449,DCM,75,9-Dec-21
G4i56,G4,3.527,-144.449,DCM,75,9-Dec-21
G4i60,G4,3.527,-144.449,surface,15,9-Dec-21
G4i16,G4,3.527,-144.449,DCM,75,9-Dec-21
G4i18,G4,3.527,-144.449,surface,15,9-Dec-21
G4i19,G4,3.527,-144.449,surface,15,9-Dec-21
G4i20,G4,3.527,-144.449,surface,15,9-Dec-21
G4i21,G4,3.527,-144.449,DCM,75,9-Dec-21
G4i22,G4,3.527,-144.449,DCM,75,9-Dec-21
G4i23,G4,3.527,-144.449,surface,15,9-Dec-21
G4i24,G4,3.527,-144.449,surface,15,9-Dec-21
G4i29,G4,6.4997,-146.6512,surface,15,10-Dec-21
G4i61,G4,6.4997,-146.6512,DCM,100,10-Dec-21
G4i62,G4,6.4997,-146.6512,DCM,100,10-Dec-21
G4i63,G4,6.4997,-146.6512,surface,15,10-Dec-21
G4i66,G4,9.2499,-148.6965,DCM,100,11-Dec-21
G4i67,G4,9.2499,-148.6965,surface,15,11-Dec-21
G4i68,G4,11.9194,-150.6949,DCM,70,12-Dec-21
G4i69,G4,11.9194,-150.6949,surface,15,12-Dec-21
G4i70,G4,14.772,-152.8641,DCM,105,13-Dec-21
G4i71,G4,14.772,-152.8641,surface,15,13-Dec-21
G4i72,G4,14.772,-152.8641,surface,15,13-Dec-21
G4i02,G4,0.2,-139.9167,DCM,50,8-Dec-21
G4i03,G4,0.2,-139.9167,DCM,50,8-Dec-21
G4i04,G4,0.2,-139.9167,DCM,50,8-Dec-21
G4i05,G4,0.099,-141.9116,DCM,45,8-Dec-21
G4i07,G4,0.099,-141.9116,DCM,45,8-Dec-21
G4i08,G4,0.099,-141.9116,surface,15,8-Dec-21
G4i09,G4,0.099,-141.9116,surface,15,8-Dec-21
G4i11,G4,0.099,-141.9116,DCM,45,8-Dec-21
G4i15,G4,3.527,-144.449,DCM,75,9-Dec-21
G4i17,G4,3.527,-144.449,DCM,75,9-Dec-21
G4i25,G4,6.4997,-146.6512,DCM,100,10-Dec-21
G4i26,G4,6.4997,-146.6512,DCM,100,10-Dec-21
G4i27,G4,6.4997,-146.6512,DCM,100,10-Dec-21
G4i28,G4,6.4997,-146.6512,surface,15,10-Dec-21
G4i30,G4,6.4997,-146.6512,surface,15,10-Dec-21
G4i31,G4,6.4997,-146.6512,DCM,100,10-Dec-21
G4i32,G4,6.4997,-146.6512,DCM,100,10-Dec-21
G4i33,G4,9.2499,-148.6965,DCM,85,11-Dec-21
G4i34,G4,9.2499,-148.6965,DCM,85,11-Dec-21
G4i35,G4,9.2499,-148.6965,surface,15,11-Dec-21
G4i36,G4,9.2499,-148.6965,surface,15,11-Dec-21
G4i37,G4,11.9194,-150.6949,DCM,70,12-Dec-21
G4i38,G4,11.9194,-150.6949,DCM,70,12-Dec-21
G4i39,G4,11.9194,-150.6949,surface,15,12-Dec-21
G4i40,G4,11.9194,-150.6949,surface,15,12-Dec-21
G4i42,G4,14.772,-152.8641,DCM,105,13-Dec-21
G4i43,G4,14.772,-152.8641,surface,15,13-Dec-21
G4i44,G4,14.772,-152.8641,surface,15,13-Dec-21
G4i45,G4,0.2,-139.9167,DCM,50,8-Dec-21
G4i47,G4,0.099,-141.9116,DCM,45,8-Dec-21
G4i50,G4,0.099,-141.9116,surface,15,8-Dec-21
G4i52,G4,0.099,-141.9116,DCM,45,8-Dec-21
G4i53,G4,0.122,-141.9363,surface,15,8-Dec-21
G4i57,G4,3.527,-144.449,surface,15,9-Dec-21
G4i58,G4,3.527,-144.449,surface,15,9-Dec-21
BHi05,BH,31.67,-64.167,surface,5,NA
BHi07,BH,31.67,-64.167,surface,5,NA
BHi08,BH,31.67,-64.167,surface,5,NA
BHi10,BH,31.67,-64.167,surface,5,NA
PSi01,PS,47.31,-122.53,surface,1,NA
PSi02,PS,47.31,-122.53,surface,1,NA
PSi03,PS,47.31,-122.53,surface,1,NA
PSi05,PS,47.31,-122.53,surface,1,NA
PSi06,PS,47.31,-122.53,surface,1,NA
PSi07,PS,47.31,-122.53,surface,1,NA
PSi08,PS,47.31,-122.53,surface,1,NA
PSi09,PS,47.31,-122.53,surface,1,NA
PSi10,PS,47.31,-122.53,surface,1,NA
PSi11,PS,47.31,-122.53,surface,1,NA
PSi12,PS,47.31,-122.53,surface,1,NA
PSi14,PS,47.31,-122.53,surface,1,NA
PSi17,PS,47.31,-122.53,surface,1,NA
PSi19,PS,47.31,-122.53,surface,1,NA
PSi20,PS,47.31,-122.53,surface,1,NA
PSi21,PS,47.31,-122.53,surface,1,NA
PSi22,PS,47.31,-122.53,surface,1,NA
PSi24,PS,47.31,-122.53,surface,1,NA
PSi26,PS,47.31,-122.53,surface,1,NA
PSi27,PS,47.31,-122.53,surface,1,NA
PSi28,PS,47.31,-122.53,surface,1,NA
PSi29,PS,47.31,-122.53,surface,1,NA
PSi30,PS,47.31,-122.53,surface,1,NA
PSi31,PS,47.31,-122.53,surface,1,NA
PSi33,PS,47.31,-122.53,surface,1,NA
PSi35,PS,47.31,-122.53,surface,1,NA
PSi36,PS,47.31,-122.53,surface,1,NA
PSi37,PS,47.31,-122.53,surface,1,NA
PSi38,PS,47.31,-122.53,surface,1,NA
OBi1,PS,47.31,-122.53,surface,1,NA
Rpom,DBS,31.93,-81.05,surface,1,NA
RWi01,RW,47.29,-122.5,surface,1,NA
RWi02,RW,47.29,-122.5,surface,1,NA
RWi03,RW,47.29,-122.5,surface,1,NA
RWi04,RW,47.29,-122.5,surface,1,NA
RWi05,RW,47.29,-122.5,surface,1,NA
RWi06,RW,47.29,-122.5,surface,1,NA
RWi07,RW,47.29,-122.5,surface,1,NA
RWi08,RW,47.29,-122.5,surface,1,NA
RWi09,RW,47.29,-122.5,surface,1,NA
RWi10,RW,47.29,-122.5,surface,1,NA
RWi11,RW,47.29,-122.5,surface,1,NA
RWi12,RW,47.29,-122.5,surface,1,NA
RWi13,RW,47.29,-122.5,surface,1,NA
PSi01,PS,47.31,-122.53,surface,1,NA
PSi05,PS,47.31,-122.53,surface,1,NA
PSi09,PS,47.31,-122.53,surface,1,NA
PSi02,PS,47.31,-122.53,surface,1,NA
PSi06,PS,47.31,-122.53,surface,1,NA
PSi10,PS,47.31,-122.53,surface,1,NA
PSi03,PS,47.31,-122.53,surface,1,NA
PSi07,PS,47.31,-122.53,surface,1,NA
PSi11,PS,47.31,-122.53,surface,1,NA
PSi04,PS,47.31,-122.53,surface,1,NA
PSi08,PS,47.31,-122.53,surface,1,NA
PSi12,PS,47.31,-122.53,surface,1,NA
PSi13,PS,47.31,-122.53,surface,1,NA
PSi17,PS,47.31,-122.53,surface,1,NA
PSi21,PS,47.31,-122.53,surface,1,NA
PSi19,PS,47.31,-122.53,surface,1,NA
PSi18,PS,47.31,-122.53,surface,1,NA
PSi22,PS,47.31,-122.53,surface,1,NA
PSi15,PS,47.31,-122.53,surface,1,NA
PSi23,PS,47.31,-122.53,surface,1,NA
PSi16,PS,47.31,-122.53,surface,1,NA
PSi20,PS,47.31,-122.53,surface,1,NA
PSi24,PS,47.31,-122.53,surface,1,NA
PSi25,PS,47.31,-122.53,surface,1,NA
PSi29,PS,47.31,-122.53,surface,1,NA
PSi33,PS,47.31,-122.53,surface,1,NA
PSi26,PS,47.31,-122.53,surface,1,NA
PSi30,PS,47.31,-122.53,surface,1,NA
PSi34,PS,47.31,-122.53,surface,1,NA
PSi27,PS,47.31,-122.53,surface,1,NA
PSi31,PS,47.31,-122.53,surface,1,NA
PSi35,PS,47.31,-122.53,surface,1,NA
PSi28,PS,47.31,-122.53,surface,1,NA
PSi32,PS,47.31,-122.53,surface,1,NA
PSi36,PS,47.31,-122.53,surface,1,NA
PSi37,PS,47.31,-122.53,surface,1,NA
PSi38,PS,47.31,-122.53,surface,1,NA
PSi39,PS,47.31,-122.53,surface,1,NA
