time,lat,lon,depth,chla_acs
42896.38431,32,-158,5,0.10608059
42896.38361,32,-158,5,0.122207553
42896.38292,32,-158,5,0.107628033
42896.38222,32,-158,5,0.091579223
42896.38153,32,-158,5,0.107826491
42896.38083,32,-158,5,0.096307752
42896.38014,32,-158,5,0.102820264
42896.37944,32,-158,5,0.110120844
42896.37875,32,-158,5,0.081539778
42896.37806,32,-158,5,0.133522027
42896.37736,32,-158,5,0.118319604
42896.37667,32,-158,5,0.118319604
42896.37597,32,-158,5,0.156319395
42896.37528,32,-158,5,0.156319395
42896.37458,32,-158,5,0.14618681
42896.37389,32,-158,5,0.14618681
42896.37319,32,-158,5,0.163844395
42896.3725,32,-158,5,0.163844395
42896.37181,32,-158,5,0.151141497
42896.37111,32,-158,5,0.154880292
42896.37042,32,-158,5,0.154880292
42896.36972,32,-158,5,0.124985473
42896.36903,32,-158,5,0.166164756
42896.36833,32,-158,5,0.096084688
42896.36764,32,-158,5,0.088206727
42896.36694,32,-158,5,0.09183709
42896.36625,32,-158,5,0.106924471
42896.36556,32,-158,5,0.111958297
42896.36486,32,-158,5,0.088960456
42896.36417,32,-158,5,0.0985845
42896.36347,31.99,-158,5,0.103775039
42896.36278,31.99,-158,5,0.103775039
42896.36208,31.99,-158,5,0.098186928
42896.36139,31.99,-158,5,0.098186928
42896.36069,31.99,-158,5,0.104051489
42896.36,31.99,-158,5,0.090412835
42896.35931,31.98,-158,5,0.08932115
42896.35861,31.98,-158,5,0.083325215
42896.35792,31.98,-158,5,0.083325215
42896.35722,31.98,-158,5,0.081153959
42896.35653,31.97,-158,5,0.081153959
42896.35583,31.97,-158,5,0.100456462
42896.35514,31.97,-158,5,0.083634014
42896.35444,31.96,-158,5,0.083634014
42896.35375,31.96,-158,5,0.079796468
42896.35306,31.96,-158,5,0.079796468
42896.35236,31.95,-158,5,0.085842138
42896.35167,31.95,-158,5,0.085842138
42896.34125,31.91,-158,5,0.076094724
42896.33986,31.9,-158,5,0.08151867
42896.33917,31.9,-158,5,0.075316637
42896.33847,31.9,-158,5,0.079570823
42896.33778,31.89,-158,5,0.079570823
42896.33708,31.89,-158,5,0.0769375
42896.33431,31.88,-158,5,0.084039583
42896.33361,31.88,-158,5,0.084039583
42896.33222,31.87,-158,5,0.08814088
42896.33153,31.87,-158,5,0.08776165
42896.33083,31.86,-158,5,0.080096617
42896.33014,31.86,-158,5,0.082908033
42896.32944,31.86,-158,5,0.082908033
42896.32875,31.85,-158,5,0.080301938
42896.32806,31.85,-158,5,0.08107918
42896.32736,31.85,-158,5,0.090441574
42896.32667,31.85,-158,5,0.083196634
42896.32597,31.84,-158,5,0.083196634
42896.32528,31.84,-158,5,0.088103695
42896.32458,31.84,-158,5,0.083366587
42896.32389,31.83,-158,5,0.087117435
42896.32319,31.83,-158,5,0.079981403
42896.3225,31.83,-158,5,0.091196336
42896.32181,31.83,-158,5,0.088211345
42896.32111,31.83,-158,5,0.08516717
42896.32042,31.84,-158,5,0.08516717
42896.31972,31.84,-158,5,0.088558962
42896.31903,31.84,-158,5,0.095120816
42896.31833,31.85,-158,5,0.087684291
42896.31764,31.85,-158,5,0.075987563
42896.31694,31.85,-158,5,0.076934638
42896.31208,31.87,-158,5,0.07747766
42896.31069,31.88,-158,5,0.078640069
42896.30236,31.91,-158,5,0.100453426
42896.30167,31.92,-158,5,0.085640059
42896.30097,31.92,-158,5,0.099028892
42896.30028,31.92,-158,5,0.099028892
42896.29958,31.92,-158,5,0.111868843
42896.29889,31.93,-158,5,0.099680243
42896.29819,31.93,-158,5,0.094354988
42896.2975,31.93,-158,5,0.110962052
42896.29681,31.94,-158,5,0.092347538
42896.29611,31.94,-158,5,0.092347538
42896.29542,31.94,-158,5,0.081658314
42896.29472,31.94,-158,5,0.081658314
42896.29403,31.95,-158,5,0.090949561
42896.29333,31.95,-158,5,0.090949561
42896.29264,31.95,-158,5,0.107319704
42896.29194,31.96,-158,5,0.102546171
42896.29125,31.96,-158,5,0.096866983
42896.29056,31.96,-158,5,0.096866983
42896.28986,31.96,-158,5,0.096089837
42896.28917,31.97,-158,5,0.096089837
42896.28847,31.97,-158,5,0.101782479
42896.28778,31.97,-158,5,0.091836368
42896.28708,31.98,-158,5,0.101094213
42896.28639,31.98,-158,5,0.101094213
42896.28569,31.98,-158,5,0.102888185
42896.285,31.98,-158,5,0.102888185
42896.28431,31.99,-158,5,0.114201559
42896.28361,31.99,-158,5,0.096316655
42896.28292,31.99,-158,5,0.095904715
42896.28222,32,-158,5,0.095666759
42896.28153,32,-158,5,0.109000222
42896.28083,32,-158,5,0.109000222
42896.28014,32.01,-158,5,0.104553535
42896.27944,32.01,-158,5,0.098249778
42896.27875,32.01,-158,5,0.101230577
42896.27806,32.01,-158,5,0.101230577
42896.27736,32.02,-158,5,0.102554646
42896.27667,32.02,-158,5,0.102554646
42896.27597,32.02,-158,5,0.105145252
42896.27528,32.03,-158,5,0.105145252
42896.27458,32.03,-158,5,0.114313209
42896.27389,32.03,-158,5,0.114313209
42896.27319,32.03,-158,5,0.097693025
42896.2725,32.04,-158,5,0.099391973
42896.27181,32.04,-158,5,0.099288055
42896.27111,32.04,-158,5,0.099288055
42896.27042,32.05,-158,5,0.101947151
42896.26972,32.05,-158,5,0.1120999
42896.26069,32.09,-158,5,0.080393797
42896.26,32.09,-158,5,0.080393797
42896.25931,32.09,-158,5,0.076436522
42896.25861,32.09,-158,5,0.080617417
42896.25792,32.1,-158,5,0.080617417
42896.25167,32.12,-158,5,0.087773623
42896.25028,32.13,-158,5,0.079917376
42896.24819,32.14,-158,5,0.075382592
42896.24542,32.15,-158,5,0.078167985
42896.24472,32.15,-158,5,0.080037331
42896.24125,32.17,-158,5,0.077411755
42896.23986,32.17,-158,5,0.07763427
42896.23708,32.18,-158,5,0.094120447
42896.23569,32.19,-158,5,0.081309172
42896.235,32.19,-158,5,0.083547606
42896.23431,32.2,-158,5,0.090147812
42896.23361,32.2,-158,5,0.090147812
42896.23292,32.2,-158,5,0.078024875
42896.23222,32.2,-158,5,0.082406559
42896.23153,32.21,-158,5,0.088096437
42896.23083,32.21,-158,5,0.087771991
42896.23014,32.21,-158,5,0.085584164
42896.22944,32.22,-158,5,0.08809082
42896.22875,32.22,-158,5,0.079312034
42896.22806,32.22,-158,5,0.079312034
42896.16556,32.48,-158,5,0.077137977
42896.16139,32.49,-158,5,0.076392638
42896.15792,32.51,-158,5,0.081383807
42896.15514,32.52,-158,5,0.076339002
42896.14889,32.54,-158,5,0.080077126
42896.14819,32.55,-158,5,0.080077126
42896.13847,32.59,-158,5,0.092166615
42896.13778,32.59,-158,5,0.082626256
42896.13708,32.59,-158,5,0.082626256
42896.13639,32.6,-158,5,0.084769049
42896.13569,32.6,-158,5,0.084769049
42896.13153,32.62,-158,5,0.085870987
42896.12736,32.63,-158,5,0.08575864
42896.12667,32.64,-158,5,0.08575864
42896.12528,32.64,-158,5,0.088122251
42896.12458,32.64,-158,5,0.088122251
42896.12319,32.65,-158,5,0.079653194
42896.1225,32.65,-158,5,0.090517251
42896.12181,32.66,-158,5,0.090517251
42896.12111,32.66,-158,5,0.088782505
42896.12042,32.66,-158,5,0.090993693
42896.11972,32.67,-158,5,0.090993693
