Compound,Cruise,SampID,replicate,Local_Date,Local_Time,Lat,Long,Part.Conc.nM,Diss.Conc.nM,Total_nM,Perc_Diss
Homarine,KM1906,MU1,A,4/10/19,05:30:00,22.24,-158,0.0061790761200183,0.09237470176147336,0.09855377788149167,0.9373024935944263
Homarine,KM1906,MU1,B,4/10/19,05:30:00,22.24,-158,0.00936475632959817,0.113378539491383,0.12274329582098117,0.9237045390792138
Homarine,KM1906,MU1,C,4/10/19,05:30:00,22.24,-158,0.01019411870733816,0.23281551247429547,0.24300963118163363,0.9580505568533672
Homarine,KM1906,MU2,A,4/10/19,18:40:00,24.1,-158,0.00720270068893008,0.2095774153167785,0.2167801160057086,0.9667741635088875
Homarine,KM1906,MU2,B,4/10/19,18:40:00,24.1,-158,0.0110329516340035,0.4292644197353429,0.4402973713693464,0.9749420451916612
Homarine,KM1906,MU2,C,4/10/19,18:40:00,24.1,-158,0.01256914215645916,0.390323663047819,0.40289280520427817,0.9688027634296268
Homarine,KM1906,MU3,A,4/11/19,05:45:00,25.55,-158,0.00914577901732442,0.06823462935689252,0.07738040837421695,0.8818075633163525
Homarine,KM1906,MU3,B,4/11/19,05:45:00,25.55,-158,0.01235005359528623,0.17659204771304884,0.18894210130833508,0.9346357772578587
Homarine,KM1906,MU3,C,4/11/19,05:45:00,25.55,-158,0.01131228494612924,0.6133386725498172,0.6246509574959465,0.981890230359244
Homarine,KM1906,MU4,A,4/11/19,18:40:00,27.47,-158,0.01061416538211274,0.2432302577596129,0.2538444231417257,0.9581863361394917
Homarine,KM1906,MU4,B,4/11/19,18:40:00,27.47,-158,0.01369226724473623,0.11548734904478576,0.129179616289522,0.8940059768094633
Homarine,KM1906,MU4,C,4/11/19,18:40:00,27.47,-158,0.01290971208365784,0.11688320659119966,0.1297929186748575,0.9005360830508959
Homarine,KM1906,MU5,A,4/12/19,05:40:00,29.28,-158,0.01130583890711554,0.0837195142788445,0.09502535318596003,0.8810229214829588
Homarine,KM1906,MU5,B,4/12/19,05:40:00,29.28,-158,0.01391303254079006,0.1317541760108489,0.14566720855163898,0.9044875461050803
Homarine,KM1906,MU5,C,4/12/19,05:40:00,29.28,-158,0.01143750430197263,0.20643625818370695,0.21787376248567958,0.9475039850072613
Homarine,KM1906,MU6,A,4/12/19,18:20:00,31.1,-158,0.01555180594117567,0.10190991351490236,0.11746171945607803,0.8676010702619512
Homarine,KM1906,MU6,B,4/12/19,18:20:00,31.1,-158,0.01937027119398542,0.11605084952886303,0.13542112072284845,0.8569627020468363
Homarine,KM1906,MU6,C,4/12/19,18:20:00,31.1,-158,0.01105949038998787,0.10057124350462508,0.11163073389461295,0.9009279075381804
Homarine,KM1906,MU7,A,4/13/19,05:45:00,32.18,-158,0.02191238654415533,0.23403617787069023,0.25594856441484554,0.9143875387843967
Homarine,KM1906,MU7,B,4/13/19,05:45:00,32.18,-158,0.02274993560622376,0.18059082865476783,0.2033407642609916,0.8881191595354495
Homarine,KM1906,MU7,C,4/13/19,05:45:00,32.18,-158,0.02410801351853256,0.2021236262243171,0.22623163974284966,0.893436596463981
Homarine,KM1906,MU8,A,4/13/19,18:45:00,34.16,-158,0.06530491637859916,1.9825326183752583,2.0478375347538575,0.9681103040303202
Homarine,KM1906,MU8,B,4/13/19,18:45:00,34.16,-158,0.06876682277689102,0.5659336880307767,0.6347005108076678,0.8916546912978154
Homarine,KM1906,MU8,C,4/13/19,18:45:00,34.16,-158,0.08026637405658849,0.6555519282069601,0.7358183022635485,0.8909154966522709
