mass_feature	211202_Smp_OBi1_1	211202_Smp_OBi1_2	211202_Smp_OBi1_3	211202_Smp_OBi1_4	211202_Smp_OBi1_5	211202_Smp_OBi1_6	211202_Smp_OBi1_7	211202_Smp_OBi1_8	211202_Smp_OBi1_9	220302_Smp_OBi1_1	220302_Smp_OBi1_2	220302_Smp_OBi1_3	220302_Smp_OBi1_4	220302_Smp_OBi1_5	220302_Smp_OBi1_6	220302_Smp_OBi1_7	220302_Smp_OBi1_8	220302_Smp_OBi1_9
2-Hydroxy-4-(methylthio)butyric acid	179593	116270	133076	225334	143885	207379	141116	128101	148369	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adenosine diphosphate	1264633	3328658	1228335	NA	2770472	3223078	1010396	2929693	5066863	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adenosine monophosphate	1593471	6425140	2018471	NA	5433902	7743475	1392695	9480275	15553344	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adenosine triphosphate	100905.6333876767	204788.90725193013	NA	NA	146865.10391557802	268197.5092137311	61438.1908118463	68543.83365707839	180211.06411893855	NA	NA	NA	NA	NA	NA	NA	NA	NA
D-Glucose 6-phosphate	26234409.18457359	18586621.338187955	19282914.36345043	6804574.656141963	5561496.9954463085	3822253.782609552	17196039.50084433	19374725.957627885	13751561.73744479	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glycerophosphoric acid	16283273	17552712	26651968	10253338	4913386	6109368	14164889	15651891	12849753	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guanosine monophosphate	326031	1191745	342701	NA	799695	523197	203139	1944896	4618819	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inosine	11753295.470988533	5846059.974368996	8153535.515374873	147380.115847549	270425.85987054225	NA	7732616.132000366	5374313.522667248	4197296.881847137	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Cysteic acid	246518	302501	269134	168427	85731	61736	130698	59195	48736	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malic acid	80193672	89435784	88128864	44320824	26884548	55143312	80488904	92688744	77595408	NA	NA	NA	NA	NA	NA	NA	NA	NA
N-Acetyl-L-glutamic acid	129755760	130319744	126733760	3628926	5948816	4067639	103714304	110088304	100278992	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAD	8081089.876600362	7844841.360040998	6209987.287955824	46840.79575156759	6118540.803263701	3840738.3664765754	4960045.846833011	8238369.653393901	5026421.0328660775	NA	NA	NA	NA	NA	NA	NA	NA	NA
NADH	1093043	NA	NA	NA	752084	NA	NA	NA	913786	NA	NA	NA	NA	NA	NA	NA	NA	NA
NADP	68832	51193	138436	NA	NA	60002	46243	94232	121077	NA	NA	NA	NA	NA	NA	NA	NA	NA
NADPH	573042.7088532498	492021.47393274505	347336.37592633796	47463.22848148994	NA	NA	260934.67056474744	533024.024081368	61279.386946977495	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phosphoenolpyruvic acid	1510745.8811583	1621482.8242864253	1927754.295266207	703553.9887144344	400983.33344092313	633025.4305541652	1382086.3125751668	1268371.0670338206	829348.8261185202	NA	NA	NA	NA	NA	NA	NA	NA	NA
Propionylglycine	4632796.409321473	3898907.823032477	3830661.120529627	2326716.9553741664	2413076.2515579583	2223649.875732646	3812323.281914183	3899275.741788164	3127747.433915833	NA	NA	NA	NA	NA	NA	NA	NA	NA
Taurine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UDP-N-acetylglucosamine	5093319.740459093	4930128.4432482375	4844995.444341788	415501.8860678566	2553070.8889711048	1643769.8480756574	4772280.201450041	4924073.6886897525	4183803.0023995577	NA	NA	NA	NA	NA	NA	NA	NA	NA
UDP-glucose	7490825.164524135	6561890.067444082	4803537.115240482	570110.5661775297	2431168.0813244106	1820897.7346284855	3840299.2674201974	4751292.428897117	2502656.9998669596	NA	NA	NA	NA	NA	NA	NA	NA	NA
cis-Aconitic acid	2096345.5924181603	1863759.5914058	1503772.8181697852	714060.681636713	901919.5983806864	718333.8381139268	1282761.6878915897	1264152.9014987936	1183878.0729727005	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thymidine	9925175	7130846	10436034	5487190	3243111	2514666	8485321	6016284	5351046	NA	NA	NA	NA	NA	NA	NA	NA	NA
Uracil	12208926	33677744	46669584	24470088	4673360	32344576	18201190	22918740	15553607	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fumaric acid	4689516.682968481	6445240.195229976	5432720.393271913	16344104.75380481	11653929.040313864	13441296.51255089	22155052.427192975	25964450.339899138	17295269.914753363	NA	NA	NA	NA	NA	NA	NA	NA	NA
Succinic acid	142391600	108036552	153378688	58541936	52394984	36363508	129822352	141560800	143403792	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thymine	58862600	41261012	57655368	32707688	18608176	16032521	49601312	37835228	32849014	NA	NA	NA	NA	NA	NA	NA	NA	NA
5-Oxoproline	72770846.11609592	51890032.861415274	59251699.41174127	21155067.613378387	19081396.14652285	18639030.588756375	55597027.094393246	65249150.25406806	55880994.30205382	NA	NA	NA	NA	NA	NA	NA	NA	NA
2-Ketoglutaric acid	35703288	51563072	38981516	17446634	14462896	32865838	42568576	41247588	31743020	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orotic acid	8894019	13856842	11470589	105005	86188	43596	9383700	8296196	5919054	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dihydroxyacetone phosphate	2718597	3202471	3057831	294955	199185	135434	2073475	2122898	1780497	NA	NA	NA	NA	NA	NA	NA	NA	NA
3-Phosphoglycerate	2710229.1641258947	2067609.7519818072	2649468.284014387	275433.38209253026	308408.1762611533	251578.67962712652	2374147.918587681	1625775.749505306	1438631.6175809584	NA	NA	NA	NA	NA	NA	NA	NA	NA
Citric acid	58065585.80139633	55926703.24714834	63742740.25770495	83859900.54335015	105678421.90924203	45287903.53545819	54789862.52299295	52573912.48397991	38256817.018242486	NA	NA	NA	NA	NA	NA	NA	NA	NA
D-Gluconic acid	178625141.37517262	295796380.1177227	305776742.84643584	4873913.8008928625	4640537.705123862	5195306.024000461	764290386.869915	844031060.4305638	886127247.8363518	NA	NA	NA	NA	NA	NA	NA	NA	NA
D-Ribose 5-phosphate	3137248	4474872	4405642	2515558	754760	2019297	3261666	3142808	2997147	NA	NA	NA	NA	NA	NA	NA	NA	NA
Uridine	203954453.9065241	105847740.38412462	198215196.9282588	81643587.71998233	33846403.30810745	17676615.389206648	150455269.27236244	84583326.77646467	57037060.70229113	NA	NA	NA	NA	NA	NA	NA	NA	NA
D-Fructose 6-phosphate	13525130.89335453	11222025.64584178	13025018.199669637	12914688.5347648	8144497.46243815	6884866.303634601	10790043.619244352	11003161.342581676	7500690.58708584	NA	NA	NA	NA	NA	NA	NA	NA	NA
