mass_feature	211202_Smp_OBi1_1	211202_Smp_OBi1_2	211202_Smp_OBi1_3	211202_Smp_OBi1_4	211202_Smp_OBi1_5	211202_Smp_OBi1_6	211202_Smp_OBi1_7	211202_Smp_OBi1_8	211202_Smp_OBi1_9	220302_Smp_OBi1_1	220302_Smp_OBi1_2	220302_Smp_OBi1_3	220302_Smp_OBi1_4	220302_Smp_OBi1_5	220302_Smp_OBi1_6	220302_Smp_OBi1_7	220302_Smp_OBi1_8	220302_Smp_OBi1_9
5-Hydroxyectoine	7385974000.273148	7415437039.415463	7069163385.8702965	1755776625.134244	2032956747.317629	1813413449.6766665	6280253220.975462	6096294962.615648	4915932626.707573	75865160	84060360	91350264	101914128	103045072	98302352	79572088	85839192	160505856
Adenine	738169536	664260032	722788992	713691968	144095008	772798848	843665984	670674304	249466160	NA	NA	NA	NA	NA	NA	NA	NA	NA
Creatine	1557110.385658287	358415.5601116157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dimethylsulfoniopropionate	819221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ectoine	19705216139.25993	16893708319.33375	18635152059.298805	10094191317.603764	10783679878.870792	8086966212.710329	36084140011.45796	36973712027.65725	29563654436.344425	1187975168	1567202176	1781899392	295942368	287789248	267820192	767026112	682682880	1427683072
Glucosamine	1191906.7922015914	1580299.313672308	1191210.2615188991	6694857.755460148	5962261.621690639	6095883.078733853	5158484.349345178	5336972.743974321	2988565.5618820246	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glutamylphenylalanine	471607.4510294433	501076.5732325953	331763.90061051043	NA	NA	NA	374185.7044700302	248551.25550912647	146496.2119067519	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glutathione	6615193.697380081	1507080.087509904	602409.3433970035	NA	5621657.7399739055	NA	11597786.388931664	NA	295962.47236494056	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glycerophosphocholine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glycine	4851746.718189726	5997902.796941725	4864490.427508793	3344907.777035167	1590128.5600254815	4007396.561700922	2941508.507154063	3732575.962156018	3033598.1750676963	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gonyol	340641	246869	297647	124972	120774	137694	NA	NA	51311	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydroxyproline	550721.3465940941	531730.9948248916	484794.78562874935	515697.3278698928	525277.6115113512	468940.4244308742	372497.82709415705	411850.87110920734	247390.0986558035	1903279	1462099	2018273	2693833	NA	1335685	1430083	1793185	1851489
L-Alanine	140765821.96015847	126678036.06237216	146612056.46543595	19986109.59321703	20622578.911066696	21090449.305275857	111447968.89482944	114350682.4164128	96710356.60102087	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Arginosuccinic acid	1133292.481050491	1267903.5336287937	1063908.7548445617	85583.51720230079	95403.0164592086	81804.57994011987	756788.0183681264	775352.4657087048	588121.3663689534	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Aspartic acid	49678812	50483192	43244168	8487434	8748151	8847333	30738808	29656290	27591790	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Cystathionine	153294.79714028063	144810.8827118637	171782.07364167212	NA	NA	NA	89290.2998902258	91859.98151621234	81281.78122396804	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Glutamine	725744953.8649317	681631010.3179001	659301919.6379917	57330771.98517192	180501029.3826151	147195993.5503216	1988211489.1870265	2207338457.2291307	1957531484.493076	13385659.176255789	18670910.126437377	22409762.806993105	3116127.165530029	1618391.1803940376	2131879.292549427	18255766.8155481	40891713.87754868	36817627.95029078
L-Methionine	27490392	28766374	27932634	10361659	9074712	9413792	20716618	20922208	19157482	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Methionine S-oxide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Serine	13119912.342917116	8970411.211130196	12352025.680960745	3597625.0314348717	3811183.809148726	3358040.144093672	9073897.558637464	8172021.487353676	7732356.733280418	NA	NA	NA	NA	NA	NA	NA	NA	NA
N-Acetyl-D-glucosamine	2379574	2142352	2257269	618518	608745	526040	1995437	1899973	2203724	NA	NA	NA	NA	NA	NA	NA	NA	NA
N-Acetylmuramic acid	2066117	2026063	2164622	261582	235704	207792	1775095	1640697	2019020	NA	NA	NA	NA	NA	NA	NA	NA	NA
N6-Methyladenine	238042.84269528603	332230.655245255	341225.95600169187	145743.27879170628	65037.148722373706	115860.24377353788	262639.5639468096	312585.5373660835	196629.0453829455	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pipecolic acid	55330640.48986119	46310322.29869075	51910535.46527753	23961073.31768688	23840476.89905818	21635261.792615317	39819450.87208075	40800505.10630703	32814790.940446783	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thiamine diphosphate	2207492.2259982717	1598186.5621170113	1603575.3991977058	1177564.669501492	1428537.4095386616	989569.6328360745	1710812.8568786054	1461945.9758976432	1308506.2497931146	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hypoxanthine	31619362	209196096	303521856	199413296	15480982	28064924	61409108	110271168	102499816	NA	NA	NA	16160859.305065814	24261859.023021106	10428042.98739135	5610243.51461517	7534720.931396281	2899486.5689438824
Cytosine	83168024	102633864	120938208	62171400	43867024	62812656	110313168	77612944	99996136	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Proline	70846184.16538064	56818725.95317501	67591268.54633783	16366287.03570612	19742112.420673504	14908785.600121448	63271300.985447966	63552978.666859075	60024849.22998	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Threonine	51277303.10636696	40158759.35528077	51466235.40920253	10875409.687857457	10681463.960439635	7771445.190799617	34177941.103203215	33539101.146234468	32152700.457885053	NA	NA	NA	NA	NA	NA	NA	NA	NA
L-Homoserine	15054816.205618626	17216992.851978377	17071492.72078062	28505444.99612764	25796664.326331865	20936110.52995691	59520578.73855038	64376475.03535482	55772130.8244634	NA	NA	NA	NA	NA	NA	NA	NA	NA
