sample_id,sample_fraction,analytical_batch_id,metabolomics_workbench_id,isolate_id,cruise,experiment_id,treatment,timepoint,station,lat,lon,date
211202_Smp_OBi1_1,Particulate,OBi1,ST004324,OBi1,NA,NA,Glucose,NA,NA,NA,NA,NA
211202_Smp_OBi1_2,Particulate,OBi1,ST004324,OBi1,NA,NA,Glucose,NA,NA,NA,NA,NA
211202_Smp_OBi1_3,Particulate,OBi1,ST004324,OBi1,NA,NA,Glucose,NA,NA,NA,NA,NA
211202_Smp_OBi1_4,Particulate,OBi1,ST004324,OBi1,NA,NA,Homarine,NA,NA,NA,NA,NA
211202_Smp_OBi1_5,Particulate,OBi1,ST004324,OBi1,NA,NA,Homarine,NA,NA,NA,NA,NA
211202_Smp_OBi1_6,Particulate,OBi1,ST004324,OBi1,NA,NA,Homarine,NA,NA,NA,NA,NA
211202_Smp_OBi1_7,Particulate,OBi1,ST004324,OBi1,NA,NA,Glucose + homarine,NA,NA,NA,NA,NA
211202_Smp_OBi1_8,Particulate,OBi1,ST004324,OBi1,NA,NA,Glucose + homarine,NA,NA,NA,NA,NA
211202_Smp_OBi1_9,Particulate,OBi1,ST004324,OBi1,NA,NA,Glucose + homarine,NA,NA,NA,NA,NA
220302_Smp_OBi1_1,Dissolved,OBi1,ST004324,OBi1,NA,NA,Glucose,NA,NA,NA,NA,NA
220302_Smp_OBi1_2,Dissolved,OBi1,ST004324,OBi1,NA,NA,Glucose,NA,NA,NA,NA,NA
220302_Smp_OBi1_3,Dissolved,OBi1,ST004324,OBi1,NA,NA,Glucose,NA,NA,NA,NA,NA
220302_Smp_OBi1_4,Dissolved,OBi1,ST004324,OBi1,NA,NA,Homarine,NA,NA,NA,NA,NA
220302_Smp_OBi1_5,Dissolved,OBi1,ST004324,OBi1,NA,NA,Homarine,NA,NA,NA,NA,NA
220302_Smp_OBi1_6,Dissolved,OBi1,ST004324,OBi1,NA,NA,Homarine,NA,NA,NA,NA,NA
220302_Smp_OBi1_7,Dissolved,OBi1,ST004324,OBi1,NA,NA,Glucose + homarine,NA,NA,NA,NA,NA
