mass_feature,molecule_id,stable_isotope_version,retention_time,mz,z,core,studies_used,230724_Smp_G4_1_C-H_t0_A,230724_Smp_G4_1_C-H_t0_B,230724_Smp_G4_1_C-H_t0_C,230724_Smp_G4_1_C-H_t2_A,230724_Smp_G4_1_C-H_t2_B,230724_Smp_G4_1_C-H_t2_C,230724_Smp_G4_1_C-H_t24_A,230724_Smp_G4_1_C-H_t24_B,230724_Smp_G4_1_C-H_t24_C,230724_Smp_G4_1_C-H_t48_A,230724_Smp_G4_1_C-H_t48_B,230724_Smp_G4_1_C-H_t48_C,230724_Smp_G4_1_H_t2_A,230724_Smp_G4_1_H_t2_B,230724_Smp_G4_1_H_t2_C,230724_Smp_G4_1_H_t24_A,230724_Smp_G4_1_H_t24_B,230724_Smp_G4_1_H_t24_C,230724_Smp_G4_1_H_t48_A,230724_Smp_G4_1_H_t48_B,230724_Smp_G4_1_H_t48_C,230724_Smp_G4_2_C-H_t0_A,230724_Smp_G4_2_C-H_t0_B,230724_Smp_G4_2_C-H_t0_C,230724_Smp_G4_2_C-H_t2_A,230724_Smp_G4_2_C-H_t2_B,230724_Smp_G4_2_C-H_t2_C,230724_Smp_G4_2_C-H_t24_A,230724_Smp_G4_2_C-H_t24_B,230724_Smp_G4_2_C-H_t24_C,230724_Smp_G4_2_C-H_t48_A,230724_Smp_G4_2_C-H_t48_B,230724_Smp_G4_2_C-H_t48_C,230724_Smp_G4_2_H_t2_A,230724_Smp_G4_2_H_t2_B,230724_Smp_G4_2_H_t2_C,230724_Smp_G4_2_H_t24_A,230724_Smp_G4_2_H_t24_B,230724_Smp_G4_2_H_t24_C,230724_Smp_G4_2_H_t48_A,230724_Smp_G4_2_H_t48_B,230724_Smp_G4_2_H_t48_C,230717_Smp_G5_Hom1_C_A,230717_Smp_G5_Hom1_C_B,230717_Smp_G5_Hom1_C_C,230717_Smp_G5_Hom1_T0_A,230717_Smp_G5_Hom1_T0_B,230717_Smp_G5_Hom1_T0_C,230717_Smp_G5_Hom1_T6_A,230717_Smp_G5_Hom1_T6_B,230717_Smp_G5_Hom1_T6_C,230717_Smp_G5_Hom1_T12_A,230717_Smp_G5_Hom1_T12_B,230717_Smp_G5_Hom1_T12_C,230717_Smp_G5_Hom1_T24_A,230717_Smp_G5_Hom1_T24_B,230717_Smp_G5_Hom1_T24_C,230717_Smp_G5_Hom1_T48_A,230717_Smp_G5_Hom1_T48_B,230717_Smp_G5_Hom1_T48_C,230717_Smp_G5_Hom1_T96_A,230717_Smp_G5_Hom1_T96_B,230717_Smp_G5_Hom1_T96_C,230717_Smp_G5_Hom2_C_A,230717_Smp_G5_Hom2_C_B,230717_Smp_G5_Hom2_C_C,230717_Smp_G5_Hom2_T0_A,230717_Smp_G5_Hom2_T0_B,230717_Smp_G5_Hom2_T0_C,230717_Smp_G5_Hom2_T6_A,230717_Smp_G5_Hom2_T6_B,230717_Smp_G5_Hom2_T6_C,230717_Smp_G5_Hom2_T12_A,230717_Smp_G5_Hom2_T12_B,230717_Smp_G5_Hom2_T12_C,230717_Smp_G5_Hom2_T24_A,230717_Smp_G5_Hom2_T24_B,230717_Smp_G5_Hom2_T24_C,230717_Smp_G5_Hom2_T48_A,230717_Smp_G5_Hom2_T48_B,230717_Smp_G5_Hom2_T48_C,230717_Smp_G5_Hom2_T96_A,230717_Smp_G5_Hom2_T96_B,230717_Smp_G5_Hom2_T96_C,240926_Smp_RC104_HomFate_Con_A_posDDA,240926_Smp_RC104_HomFate_Con_B_posDDA,240926_Smp_RC104_HomFate_Con_C_posDDA,240926_Smp_RC104_HomFate_T0_A_posDDA,240926_Smp_RC104_HomFate_T0_B_posDDA,240926_Smp_RC104_HomFate_T0_C_posDDA,240926_Smp_RC104_HomFate_T6_A_posDDA,240926_Smp_RC104_HomFate_T6_B_posDDA,240926_Smp_RC104_HomFate_T6_C_posDDA,240926_Smp_RC104_HomFate_T12_A_posDDA,240926_Smp_RC104_HomFate_T12_B_posDDA,240926_Smp_RC104_HomFate_T12_C_posDDA,240926_Smp_RC104_HomFate_T24_A_posDDA,240926_Smp_RC104_HomFate_T24_B_posDDA,240926_Smp_RC104_HomFate_T24_C_posDDA,240926_Smp_RC104_HomFate_T48_A_posDDA,240926_Smp_RC104_HomFate_T48_B_posDDA,240926_Smp_RC104_HomFate_T48_C_posDDA,240926_Smp_RC104_HomFate_T96_A_posDDA,240926_Smp_RC104_HomFate_T96_B_posDDA,240926_Smp_RC104_HomFate_T96_C_posDDA,240926_Smp_RC104_HomFate_Con_A_negDDA,240926_Smp_RC104_HomFate_Con_B_negDDA,240926_Smp_RC104_HomFate_Con_C_negDDA,240926_Smp_RC104_HomFate_T0_A_negDDA,240926_Smp_RC104_HomFate_T0_B_negDDA,240926_Smp_RC104_HomFate_T0_C_negDDA,240926_Smp_RC104_HomFate_T6_A_negDDA,240926_Smp_RC104_HomFate_T6_B_negDDA,240926_Smp_RC104_HomFate_T6_C_negDDA,240926_Smp_RC104_HomFate_T12_A_negDDA,240926_Smp_RC104_HomFate_T12_B_negDDA,240926_Smp_RC104_HomFate_T12_C_negDDA,240926_Smp_RC104_HomFate_T24_A_negDDA,240926_Smp_RC104_HomFate_T24_B_negDDA,240926_Smp_RC104_HomFate_T24_C_negDDA,240926_Smp_RC104_HomFate_T48_A_negDDA,240926_Smp_RC104_HomFate_T48_B_negDDA,240926_Smp_RC104_HomFate_T48_C_negDDA,240926_Smp_RC104_HomFate_T96_A_negDDA,240926_Smp_RC104_HomFate_T96_B_negDDA,240926_Smp_RC104_HomFate_T96_C_negDDA,240304_Smp_WT_Gluc_A,240304_Smp_WT_Gluc_B,240304_Smp_WT_Gluc_C,240304_Smp_WT_Hom_A,240304_Smp_WT_Hom_B,240304_Smp_WT_Hom_C,240304_Smp_WT_Mix_A,240304_Smp_WT_Mix_B,240304_Smp_WT_Mix_C
Adenine,Adenine,,5.25,136.0623,1,core,DSS3; OBi1; TN397; TN412; RC104,137806304,166471824,107722504,117461032,87090904,130367280,79714864,30146096,143916272,140575888,91530080,127711944,76371000,115812696,48187092,102141248,74321104,181330016,174400848,109164864,101882304,318601408,110580016,222427456,318012576,228048192,242842032,275323104,273087136,266838560,439624800,342096992,465747424,221385648,210984800,348830816,311151616,419539136,472897920,452506912,507978944,523981248,75969552,58054948,72935576,72835368,95571520,85787464,51598152,44702060,41916612,60690092,71727080,38871712,75540216,68665408,43965408,56220080,66325232,72853608,137598256,51646868,99558280,112353328,104639192,153212560,169748336,152530224,172310096,93734768,125745840,137481280,120954712,147701248,165886432,113088864,185297152,141967312,227156208,47520440,110512776,198028320,160010016,236762208,828414464,295846144,406546592,411181888,968990144,243125216,269796992,48041616,99898000,342686688,152346928,565503040,804003968,270455936,1884706048,1062670464,1443562496,2628069120,2697674752,2232317952,5164254208,,,,,,,,,,,,,,,,,,,,,,263062649.32287663,296156678.66630286,307420589.8659045,239526376.85705036,286409168.2175333,381732819.4789112,379444601.3877231,282075612.97467273,241313340.31544444
Adenosine,Adenosine,,5.04,268.1046,1,core,DSS3; OBi1; TN397; TN412,85963896,72849104,65458004,60800920,39475780,69157424,93644392,45820412,73616968,59814168,54586468,51803692,73048592,54452212,38486884,108010472,127133736,106127208,68037872,69462352,45776688,245912288,230411216,173370688,171084752,136240320,196194128,289273632,276973952,312652608,408885280,284298144,322805504,291870464,247121504,231366480,326970464,250856832,315722080,428662368,403423552,315864480,16579814,11331508,30318792,34007684,17672732,35513008,49469604,18052174,23744524,27342840,19135300,11458706,18623340,9657163,17263492,24601962,14845813,23890612,115224896,42006316,89190416,123755008,117501840,126212408,149340864,123164864,158368096,64987908,120747176,109882552,130784184,66986620,144564208,70956056,177545456,63819840,115508848,78433448,83238640,117359168,96416368,290272288,166473088,142824688,81013544,74691080,99442192,71067720,68458344,8199271,15688428,101402856,82044360,145093728,193966288,42568336,280313888,202571216,470253344,260249616,156656752,154836336,253869440,,,,,,,,,,,,,,,,,,,,,,397184504.27751666,1542419271.72079,954409863.5453106,1941950169.192544,2769343803.0601354,3773390095.923965,1147807614.7729814,357447956.791102,519012675.59293
Adenosine monophosphate,Adenosine monophosphate,,11.59,346.055,1,core,DSS3; OBi1; TN397; RC104,1136419,1798556,991119,1256985,580373,1395091,814152,1408690,1325453,1261946,1676350,1425739,750476,1362398,788524,1186444,1653134,1474546,854684,1382837,1292931,6065188,6398297,5179551,7474529,7227146,6865480,6312477,7899201,6312620,6237765,7174557,5598058,5943872,7920909,7633069,5370147,6370954,7981131,3524732,5803234,4137366,843725,95074,634077,896386,957616,532492,490400,1111394,407081,664149,211301,337916,82716,367615,321590,776156,890979,1334096,,1097744,71344,1088316,755451,1409411,1560699,1287911,766405,1884523,1890647,1138983,2224707,1425375,1902480,1297220,1235196,1485017,1155080,115820,1931734,2155610,3364630,6354439,,,,,,,,,,,,,,,,,,,,,,1280282,1970644,1069248,1280830,1986509,227335,1370506,,,1429309,435363,2178302,1834645,984822,2118574,1043364,1720203,1738105,3564371,5185472,4360909,22234698.086137865,12235037.45185508,11183046.423580948,2737593.8261854355,4908268.761553557,6739852.732517135,34279271.16329464,17082834.379946586,14951122.881968755
L-Arginine,Arginine,,19.78,175.1195,1,core,OBi1; TN397; TN412; RC104,10233345,8579615,7737880,9310569,6241020,7881213,6581298,6624434,8964363,14676019,13960475,8677980,6005276,10378278,7426441,10412474,20522864,10981836,9917423,11930129,8533498,41342160,29416370,40785348,47167696,33775052,39514864,45613548,71817536,61620820,140912224,108912944,111861032,63823128,59450716,43308496,51543508,54542044,67028176,150052256,139614992,54789160,12504497.37088219,5654314.497178987,7106702.117211912,6325533.453047912,6394916.923459964,5595170.398034129,9419173.064775106,12378216.065018823,7017006.583943017,15198928.50615248,6659341.6861665165,6447409.260182745,5072908.370244398,6967120.514713189,6176862.277046663,12196386.1269563,9150686.289680256,23732410.70339841,48790155.34629015,18672550.683018435,41395969.46161206,14466850.777954835,20552810.62118955,30217496.805278063,40297965.87726829,22380241.9382683,22513915.203868024,33613257.73112413,28550669.121817585,24160076.31842314,42450318.51843949,23374799.41623937,32741892.6177819,21547421.173092708,39463106.474831454,19380411.243228357,29632325.663938064,19468496.788601305,36984573.485833846,101037268.8656476,86757506.78685106,215623782.96219364,31264798,22471122,14056305,21531446,37040824,18408434,49665096,15598582,28618906,36408972,17130984,105804864,44072032,46631720,275810368,44804652,97982080,172885952,97966048,142818224,125349104,,,,,,,,,,,,,,,,,,,,,,400928552.6281133,394876177.50675446,399140950.2817123,34200828.869831614,77014177.34496465,50302266.18824117,263804548.39271075,184536313.35673425,239464942.18987983
Citrulline,Citrulline,,12.43,176.1035,1,core,DSS3; OBi1; TN397; TN412; RC104,6730712,6783389,5759662,6149159,2493034,5886595,3794401,4345832,3560214,5145692,6459519,3793425,3968492,8067585,4287999,5892503,12601195,6854027,4910022,5961006,4741798,12793110,13172076,17334232,25418950,20019592,19845614,14186470,25128216,25807042,22559286,17608084,15021607,19048266,21962948,21657208,15289835,18506114,25126804,24568208,22988754,14308789,10890255.998069456,4061218.6195107894,2448875.7325545345,2699737.8187809815,2223985.2827966614,1737272.0633647975,5463346.083470218,4741546.5491910735,5426974.328119128,18170367.435176853,2874132.237000589,1764888.8288385756,1829564.83791761,3717542.4021938033,1772981.888718368,6600584.016130898,2161359.327914187,8097096.493854167,2976494.5384407924,2701400.895231187,2729294.643625684,1852158.0922517064,6584918.269956359,2819203.884351284,3141717.430744392,3067177.0942095923,2549413.337783782,9233170.738393648,7849917.87618815,4238956.336383374,6495098.234146606,4538335.759996131,7619860.354516512,2975856.2407811545,4839745.415730578,2408796.1211783616,5178865.634319211,1288617.9839281314,4458191.931063995,7245715.957023091,8633733.0598981,17132505.57709145,3562698,2786515,2128497,5609863,4523260,3818637,13640088,15725640,8919207,6212647,3107490,6998211,3994547,5209240,10352401,6753040,9243076,10622665,8590296,5925123,10862579,,,,,,,,,,,,,,,,,,,,,,3855410.5444433033,32055666.22108508,5165246.448418219,11552004.351396332,17205198.504498396,18230869.051319953,8434087.27841684,17423505.27232003,15794178.639418188
L-Cysteic acid,Cysteic acid,,12.15,167.9967,-1,core,DSS3,,74340,43684,,,69331,,71383,48072,97496,,68196,142124,89607,73055,125895,178838,129767,52071,202613,73696,958714,914160,844601,992792,904234,838837,1767737,1878656,2328518,3663385,2862927,3357297,1193931,1303540,901808,1920775,1856256,1897580,6519472,5029075,2002001,92008,,73568,96096,158694,,,41170,,158853,,64062,,,,115626,113242,254467,1114534,294432,464419,86403,71547,121373,170108,180906,196854,67225,121341,40126,,,63127,,150828,105234,276628,,174649,1347466,1463470,2134720,,,,,,,,,,,,,,,,,,,,,,5581100,3173321,2126887,3693699,4368997,2594727,2428381,1571229,1911049,3140132,1719387,4267654,4492363,4114836,11466377,4269419,8530205,8741777,14691083,17350050,18812582,1222988.4760399277,1171383.0110978135,1353320.3470441771,4369228.53432122,12777411.396116065,5854030.664546611,767500.2625711982,390502.36581643927,813594.9958990235
Cytosine,Cytosine,,7.57,112.0511,1,core,DSS3; OBi1; TN412; RC104,41995164,33403944,36818956,20871596,31445294,18178838,26631190,7966777,36233064,50629728,31144644,28142794,22150750,38369608,10208797,24049110,16377052,53635012,33988872,34696792,28330996,116824216,23776886,87603992,111756416,55364512,71030000,59589188,51445244,100083504,54957532,116701936,120534248,63406788,38710844,113635256,98943488,83519208,84650600,73671920,66567376,137796880,23367173.868909024,17685487.377406508,25825026.560319103,25643445.626665454,29038373.25383534,28691878.75409841,19620505.913302515,12268886.787259027,13098435.073780917,19739093.332116365,27798304.2013739,11556787.956489189,29389847.447733052,23105222.67716457,14989568.314018808,20067565.8586821,27640446.38835606,31285939.232351147,30647774.924823154,16374079.129056703,32825980.297668085,26522117.250621945,29473599.166104022,44227006.45377445,71360880.38734463,70561949.16889949,58128215.733571336,40803127.81180114,53678181.35050483,47988555.00044817,43878272.21336202,41432026.11557423,55098628.378869474,40317344.8009571,70382440.7638484,49043535.32351054,83308372.2913157,7150254.307314796,49990652.87552232,49822713.54793804,47478403.02493469,59570522.56813129,94144488,39746612,57992500,38399340,52351268,33845668,57734380,26608962,41510296,32997486,51795176,82841712,118419792,50175928,251967664,225712880,126251832,267473248,92899440,136378864,148913600,,,,,,,,,,,,,,,,,,,,,,42323422.99947487,29065668.75201696,26839008.755992953,11495636.622125486,14699351.61578952,15850946.633819578,42131484.23418347,36930955.93455931,38351323.51537908
Deoxyadenosine,Deoxyadenosine,,3.85,252.1097,1,core,DSS3; OBi1; TN397; TN412,8709438,8741426,7001644,6752142,4310239,5542615,11016455,3366739,9607255,8569632,5619058,6517457,7074216,5710697,2898537,11626214,12028138,13321897,15310845,9733894,6106586,26066974,11361066,9810459,26631634,15511237,27951194,39878816,31561834,57316324,109713136,42527896,61570288,52807464,26094932,39258328,60145836,50697480,61907264,207277744,92639448,61560732,2625927,2242644,2901479,3735314,3503176,4394895,8031465,3263935,3374842,4834324,4326617,2591804,6195845,2885693,2865896,3039385,4071529,3345182,34468856,4126347,19893476,13630474,14152442,11776917,16473185,16198473,17876732,7047691,14215322,14187110,19585140,11872711,27326894,15336886,37309068,15315955,17041266,14731365,10413110,16348019,7686445,27694416,56932832,17484288,16346839,9762271,26827448,5293435,9670068,1250989,1258495,9840207,7299677,21880432,60727400,15190359,269789632,63392392,107223280,286240288,52479824,151710304,127509800,,,,,,,,,,,,,,,,,,,,,,8189221.405169141,26677977.527551893,17043351.91239258,17947747.024750873,38056035.57778971,46961175.12624361,21973715.43195867,7792733.339679408,13328244.374116035
L-Glutamic acid,Glutamic acid,,12.18,148.061,1,core,DSS3; OBi1; TN397; TN412; RC104,173815936,200592448,154178560,230120704,104957048,209947472,115251544,127629688,132237112,154202496,231143840,127608704,142222528,194297808,160784288,183558592,283599456,188385312,210685600,224401616,150743488,657578944,603753664,506672096,648621248,751763264,699158528,575843328,737483008,618657600,916149760,694089920,611683200,594581952,779535488,754183680,483576480,654515264,720589696,1413657856,1002260096,620736448,92031571.942135185,47847674.91701757,74923560.05762722,79251545.46565369,84532724.19982365,64605986.91543216,90354053.77344067,104712981.13025856,84417639.08388211,97202029.43026446,50642503.89190805,50718219.51248741,42560560.97407062,50406335.969883755,45117091.909294,52397401.23068054,49392105.88886559,72140489.34413718,123779542.49943396,80265724.17328615,103370124.87189046,150826901.29105735,124346646.0933369,134799035.73409197,152028197.3527209,177280817.80590138,132002982.24934286,178598356.20165554,172971142.1516143,148978536.34682357,193969713.29214177,116723272.70778868,206229791.04903933,130130605.33365358,196157234.4144765,128652429.90624917,152272570.33332416,72338556.60403137,169909434.55437478,403843837.0044088,409294208.9243254,662074082.3766325,231116400,171324608,127739240,185533328,266533488,153850416,229827280,147431552,90356488,245893168,164541744,327687040,281486112,339122560,742921088,225579328,569914112,597241088,710672448,956347776,1000910848,,,,,,,,,,,,,,,,,,,,,,17875256051.02259,12446040965.56043,15993840570.110704,5504889851.984282,7338453736.819024,8162298435.401269,16407818257.411428,13664232242.529709,13279007453.28972
Guanosine,Guanosine,,9.65,284.0995,1,core,DSS3; OBi1; TN397; RC104,637061,510372,483698,317553,263025,374802,631734,393543,633826,522618,414013,481521,553131,416252,223871,806731,844453,921633,443542,510896,334926,3742689,3002710,2391341,2745532,2104014,2695851,4541939,4565390,5948245,15748480,9728890,10384796,4593817,3106843,3231560,4685922,4491711,4777096,12263391,10335590,9009182,374821.27587427065,,412392.6191137845,576208.6937698805,278821.45654401067,255538.76610621868,423200.2274116613,349093.78137108334,188076.2431150264,554974.3576993648,145726.68630966634,173970.60452846627,216771.02693437503,232600.92880941843,300488.0166834325,338046.11928003136,349338.5842411594,495978.251952778,2003984.686837793,742408.9299753376,1606684.2904290345,1919729.4474595624,1215228.1497181116,1427602.429990806,3012109.5513959825,1910848.943596718,1650203.5798509533,968505.05639953,1822856.0744678408,1755088.174500157,2272575.7319121105,1320696.738115628,2897488.405361239,1251159.3617994566,3683338.234778957,947417.0705486548,2052513.7640718296,1569125.3181223797,1703776.3770790428,3616132.8394061704,2173937.873404076,12479995.1818809,2801434.7412675135,2254462.737257274,1254295.086082665,738738.7089111267,1859563.2631587344,1310256.7971445282,2606546.805902405,737988.7319066369,1083700.26752207,1460835.258125292,1499847.6570836152,5002509.26631063,4423604.762622863,3347356.3324783314,29246784.25245206,4333355.55632971,12447904.7956112,9172528.345631478,3531177.2605298804,10649278.539247513,7962932.65744876,,,,,,,,,,,,,,,,,,,,,,4125151.1183555713,12598533.158804534,9759638.149088187,12424104.354881668,21506381.223990597,30419352.19553123,7766039.02383586,1584934.443782368,2348547.7367270594
L-Homoserine,Homoserine,,11.58,120.0661,1,core,DSS3; OBi1,1856266,1701689,1684035,,1381709,,2613890,2729040,3145146,3748044,3098511,2072325,1622306,2137639,1517207,2087299,3652202,2571837,,3388991,2310155,5406329,4350568,4063778,5792517,5449124,5696580,5667899,9132321,6740287,10820945,8799878,9766633,7573713,6509734,5838952,5038098,5219401,5368544,8446079,9079554,5637053,,648702,,1467621,,893974,991430,,,,920588,856190,655802,,,1401702,,,1263358,1481850,,1118111,,,1642085,,,,2775666,1942433,4477121,2275671,4105472,1873909,3323287,,3065377,,3746920,4769648,5444051,5881185,6336433,4197646,4090230,5187977,7496378,4773560,19077056,5016232,16969282,12660430,6776393,21575730,4776402,4949253,13668226,,7338758,10076362,,5819197,4371571,,,,,,,,,,,,,,,,,,,,,,4314114.184547655,,,2967359.0909994747,3490068.994820535,4867476.780948039,6198330.5395367555,6440367.94531093,4149965.433648589
L-Lysine,Lysine,,18.9,147.1134,1,core,OBi1; TN397; TN412; RC104,1147667,1100935,1101584,1187748,632684,882716,942243,811190,833052,1097561,1382418,905520,781815,1218595,765592,1355701,1857156,1411194,1551530,1592251,782010,5078436,3744644,4216161,5810720,4814655,5460562,6302916,8943470,7196223,21214832,16493951,16197731,7879414,7222645,5962114,7075854,7487679,9246196,20049394,16882780,7429842,1879601.8259886808,617909.306155075,819202.0465320154,667465.3779270726,747440.1508430511,404861.3321892897,1093348.219899853,1422338.123170551,908657.245522956,2680413.006507995,767516.034001295,500206.88487361814,468569.6224886485,1015096.1186863062,660924.5601940388,1664202.2989503038,822886.1576920167,2662170.3181848135,4719612.587468165,1676527.1764122029,3421491.664632839,977718.126422084,1412151.228145765,1573825.703150267,2387945.1416070927,1417928.7641892824,1328602.5799773354,2889433.711336592,2462447.2784062005,2201934.9144899007,3753955.7472752337,1968666.5684887816,3440582.3349062167,1441920.4550699764,2826197.1250783796,1580983.8038485,2165830.6860223347,1352298.3419606246,2278161.0545430314,8484747.300077181,6920657.410587631,17002293.925318804,4924292,4428010,3079624,4666290,5799325,3851332,8787672,5135056,6042681,5129846,3041199,12782263,7615735,5588177,29647472,8964242,15512556,24685404,13048796,22599632,20585572,,,,,,,,,,,,,,,,,,,,,,48061320.67356071,39055583.47941644,31155554.408299457,2637391.6336665987,7243342.517599266,3682881.236219349,24230717.78766854,20278417.99001114,25843261.129678413
L-Proline,Proline,,9.58,116.0712,1,core,DSS3; OBi1; TN412; RC104,11714525,13417904,13514757,9937592,11176279,10028344,12511370,10522487,11908006,23871038,18441640,19185238,12233940,13151791,9261717,16439502,25744466,20650960,22441346,15915714,12641942,71903696,54928468,72950216,92057192,60491092,77652312,89823824,111123000,108744272,305793504,424250624,309578208,123115256,80580832,76186224,125752408,85200440,96185568,212745952,186262288,186106112,72004368,31657768,23761170,26227040,20956846,21635050,41419884,32918458,32905430,75025440,33697916,17819150,22012602,32715106,15579675,75047544,33287952,66298904,46077224,39759544,45322880,54211808,71836816,70790592,81756432,77281920,66218244,106012384,114080560,78147520,135875264,114280800,120591504,77865104,138211104,65297888,98905904,60489668,103937984,190537952,221918800,389174368,329975168,301233632,216131696,401994240,455411264,357139200,525398848,316644128,474747456,397994496,234771024,647378752,424999648,458523456,970851648,460387072,778554112,1034918208,1437732224,1742752640,1610709888,,,,,,,,,,,,,,,,,,,,,,178917792,149035216,178752144,27283098,89747168,71818504,331793568,279292416,303104448
L-Serine,Serine,,12,106.0504,1,core,DSS3; OBi1; TN397; TN412; RC104,5340508,6138773,3938793,3264419,1968237,2963450,4141143,3299797,2362883,2221615,3237904,2013225,2412914,3376615,2392473,2777938,4496131,3127238,3410821,4118564,2014153,11289961,9776145,14237602,19547212,14837686,17109264,10332586,12149138,12137049,17943484,16506049,15438990,18652266,17295582,18194028,12464999,11455064,11240242,15368411,12179802,11834147,16029762.585244616,5817507.838664903,2633200.926584838,2280803.910480305,1881704.0056291996,1775945.6207405955,8531361.40006073,4366048.051715473,6686852.994427276,20757962.55650442,3884154.872933156,1797322.1611141171,3345535.3052152074,5387062.323747159,2256065.9207676114,12588586.435746375,3190552.728156602,14047446.10156812,5023580.434419825,2514885.930964309,4207527.123019407,3494179.3211171883,8626555.657414827,4274764.004658811,5703789.3412129395,4901612.560718554,3389492.944151917,9360971.1401154,9317410.329471514,5345444.657029472,6475343.85304371,3809285.8512416705,5931004.510894435,4005431.1674588113,4842194.969017965,3087822.1116404934,5492124.214774135,2228445.7101273085,5072342.671439845,9173223.681826148,9638733.39547199,20530711.68967194,3360378,3272496,3200228,10361907,5572320,5938972,19043234,29328824,18260200,7086851,3502884,7512285,5589081,4754384,13992740,11156934,15402212,22258358,17292324,18214878,24793656,,,,,,,,,,,,,,,,,,,,,,18307219.970552824,19111872.662378613,11097126.304723352,21801563.204020225,27549098.298876707,27319699.96059308,20777493.40006555,13500917.563330162,8929284.345043056
L-Tyrosine,Tyrosine,,9.83,182.0817,1,core,DSS3; OBi1; TN397; TN412; RC104,3236568,4312332,2859102,3243345,2332827,3352491,2717293,2275032,2968574,2753590,3465078,3100754,2557795,2595781,2216528,3927777,4186689,4194982,4082631,4024555,2610538,12164667,9792311,10633092,13223571,10100768,11098152,14722274,20634680,12107964,44457176,19181788,25478568,16653092,14226284,12673196,12703844,16582989,21363010,33093498,32257328,19614698,6508001.163734353,3422531.2614768064,2571849.161581053,3025459.1425071037,2391457.1922684964,2992643.6688051755,3617118.399132276,2773332.529471371,2918053.7051675213,6077538.227558442,2222180.694982068,1414254.618151646,1906869.1770353052,2179657.6267978745,1274906.71752928,5599916.655306805,2093978.1579035677,5650313.002089367,12324772.386218123,3755965.821884718,10552858.128767377,5370819.623533455,5827161.581111823,6521236.87013932,9697495.83238267,6769797.613274521,5095539.405857211,5736957.401317704,5978784.729025452,5077162.413440877,7127978.451073347,4061995.239481482,5741253.295609313,3724818.096686128,7172062.081992395,3120210.7679386116,6246645.659121813,2789608.029739937,6466194.239453956,31728084.92348759,17425564.95623772,31836142.22767441,17004986,16171970,8928605,18132440,21175726,11825397,16610814,12085627,13608955,10511611,6508503,20597748,17874864,11825271,50900464,21429972,52630184,65196152,23295852,46389096,34919560,,,,,,,,,,,,,,,,,,,,,,12518414.7508448,24986956.423377685,31655763.639100533,2680816.314707432,8221782.490675614,6033904.65104799,31326714.763738994,30993082.53317589,28523719.71384552
glutamic_acid_13C_15N,Glutamic acid,"13C6, 15N1",12.18,154.0748,1,non-core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693218.0667556707,891934.7453404001,486874.8062084944,16593746.975992778,17213664.93198431,15754561.320171386,10244854.296276487,9206427.185454411,9391939.73401958,11957266.384229414,14034821.888885956,13395749.318422096,4188723.5079276087,4677153.534597361,4925323.51569168,32706234.274822693,13549508.880816536,27371935.83320952,,,,1383668.4476728,1675757.6064488054,1350009.5671919505,18869295.259117503,20435208.282227505,16520655.925462022,19076296.106621817,8186978.806959197,18763256.896672636,8875065.669149743,19903652.22710915,9272817.727373118,14822609.038445404,11523551.679257452,29854638.603306036,844448.8355951465,491785.01379830734,2217227.796003102,,,,2036748,4358174,2548540,42649072,21933872,20375994,34031348,39159580,56446748,78077920,102402312,73534056,19118380,21508956,18295256,,88714,53003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
