Protein	ncbi.taxid	Organism	Start	Stop	Strand	Nucleotide.Accession	Assembly	gene.length	protein.length	cluster.representative	query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	protein.function	distance.to.min
EAS46325.1	314287	gamma proteobacterium HTCC2207	27064	28509	+	AAPI01000007.1	GCA_000153445.1	1446	482	EAS46325.1	OBi1_02319	64.756	471	166	0	17	487	9	479	0	632	aminoaldehyde dehydrogenase	2451
EAS46326.1	314287	gamma proteobacterium HTCC2207	28523	29518	+	AAPI01000007.1	GCA_000153445.1	996	332	MBT5106463.1	OBi1_02318	61.25	320	124	0	5	324	1	320	5.76e-149	432	aminohydrolase	992
EAS46327.1	314287	gamma proteobacterium HTCC2207	29515	31056	+	AAPI01000007.1	GCA_000153445.1	1542	514	MBT6115136.1	OBi1_02317	52.505	499	230	3	25	521	14	507	1.8e-175	514	permease	0
EAS46328.1	314287	gamma proteobacterium HTCC2207	31131	32882	+	AAPI01000007.1	GCA_000153445.1	1752	584	EAS46328.1	OBi1_02316	45.913	575	294	5	11	575	13	580	6.12e-169	503	hydroxylase	1616
EAS46329.1	314287	gamma proteobacterium HTCC2207	32888	33622	+	AAPI01000007.1	GCA_000153445.1	735	245	EAS46329.1	OBi1_02315	33.852	257	153	6	1	255	1	242	2.56e-32	129	dehydrogenase	3373
EAW40486.1	247639	marine gamma proteobacterium HTCC2080	111992	113434	-	AAVV01000008.1	GCA_000169115.1	1443	481	EAW40486.1	OBi1_02319	74.16	476	122	1	14	488	5	480	0	719	aminoaldehyde dehydrogenase	3538
EAW40485.1	247639	marine gamma proteobacterium HTCC2080	110956	111975	-	AAVV01000008.1	GCA_000169115.1	1020	340	MBT6038128.1	OBi1_02318	66.867	332	110	0	1	332	1	332	9.58e-171	487	aminohydrolase	2502
EAW40483.1	247639	marine gamma proteobacterium HTCC2080	108454	109209	-	AAVV01000008.1	GCA_000169115.1	756	252	EAW40483.1	OBi1_02315	66.275	255	79	1	1	255	1	248	3.42e-103	310	dehydrogenase	0
EAW40484.1	247639	marine gamma proteobacterium HTCC2080	109193	110959	-	AAVV01000008.1	GCA_000169115.1	1767	589	EAW40484.1	OBi1_02316	62.523	555	208	0	19	573	15	569	0	725	hydroxylase	739
EAW40482.1	247639	marine gamma proteobacterium HTCC2080	106813	108339	-	AAVV01000008.1	GCA_000169115.1	1527	509	MBT5889877.1	OBi1_02317	45.61	467	246	3	35	495	22	486	1.63e-135	412	permease	1641
