Assembly,Nucleotide Accesion,homA_location,homB_location,homC_location,homD_location,homE_location,gene_arrangement,Kingdom,Phylum,Class,Order,Family,Genus,Species,Biosample ID,Bioproject Accession,Geographic Location,Isolation Source,Isolation Source Standardized,Environmental Source Standardized,Latitude,Longitude,Notes
GCA_000169115.1,AAVV01000008.1,108454-109209,109193-110959,110956-111975,111992-113434,NA,homABCD,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,marine gamma proteobacterium HTCC2080,SAMN02436101,PRJNA18487,NA,NA,unknown,NA,NA,NA,NA
GCA_015741395.1,AAXMJA010000003.1,352782-353513,351049-352785,348247-349236,346717-348177,346245-346643,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN16836869,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015745625.1,AAXMJW010000002.1,368854-369585,367121-368857,364319-365308,362789-364249,362317-362715,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN16567321,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015745765.1,AAXMKA010000001.1,822197-822928,822925-824661,826474-827463,827533-828993,829069-829467,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN16392371,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015746125.1,AAXMKO010000005.1,97602-98333,95869-97605,93067-94056,91537-92997,91065-91463,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN15924742,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015746105.1,AAXMKT010000005.1,78527-79258,76794-78530,73992-74981,72462-73922,71988-72386,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,SAMN15900789,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015746405.1,AAXMKZ010000001.1,1087224-1087955,1087952-1089688,1091501-1092490,1092560-1094020,1094094-1094492,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN15723398,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015774755.1,AAXMLM010000002.1,139140-139871,139868-141604,143417-144406,144476-145936,146010-146408,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN15074963,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
GCA_015955145.1,AAXMLR010000007.1,145420-146151,146148-147884,149697-150686,150756-152216,152290-152688,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN14689474,PRJNA616123 | PRJNA245885 | PRJNA593772,USA:TX,estuarine water,environmental,other,NA,NA,NA
GCA_015960025.1,AAXMLS010000002.1,32021-32752,32749-34485,36298-37287,37357-38817,38891-39289,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,SAMN14983611,PRJNA266293,USA,missing,unknown,NA,NA,NA,NA
