Assembly_Accession,Accession,Genome_Size_bp
GCA_000169115.1,GCA_000169115.1,3576081
GCA_015741395.1,GCA_015741395.1,5528092
GCA_015745625.1,GCA_015745625.1,5500614
GCA_015745765.1,GCA_015745765.1,5578838
GCA_015746125.1,GCA_015746125.1,5594454
GCA_015746105.1,GCA_015746105.1,5030725
GCA_015746405.1,GCA_015746405.1,5425491
GCA_015774755.1,GCA_015774755.1,5371342
GCA_015955145.1,GCA_015955145.1,5340646
GCA_015960025.1,GCA_015960025.1,5459248
GCA_015960085.1,GCA_015960085.1,5340546
GCA_015960205.1,GCA_015960205.1,5147245
GCA_015775015.1,GCA_015775015.1,5117402
GCA_015775815.1,GCA_015775815.1,5227411
GCA_015776215.1,GCA_015776215.1,5167699
GCA_015776135.1,GCA_015776135.1,5163966
GCA_015778785.1,GCA_015778785.1,5227494
GCA_015780635.1,GCA_015780635.1,5218000
GCA_015780435.1,GCA_015780435.1,4979868
GCA_015780655.1,GCA_015780655.1,5047564
GCA_015780755.1,GCA_015780755.1,5261227
GCA_015778985.1,GCA_015778985.1,5174920
GCA_015781795.1,GCA_015781795.1,6069150
GCA_015781655.1,GCA_015781655.1,5233791
GCA_015781515.1,GCA_015781515.1,5195643
GCA_015782135.1,GCA_015782135.1,5163679
GCA_015782195.1,GCA_015782195.1,5168587
GCA_015782255.1,GCA_015782255.1,5171446
GCA_015782175.1,GCA_015782175.1,5165808
GCA_015782275.1,GCA_015782275.1,5214701
GCA_015782355.1,GCA_015782355.1,5380405
GCA_015782615.1,GCA_015782615.1,5317853
GCA_015782655.1,GCA_015782655.1,5388277
GCA_015782795.1,GCA_015782795.1,5303065
GCA_015782995.1,GCA_015782995.1,5493719
GCA_015783095.1,GCA_015783095.1,5276369
GCA_015784055.1,GCA_015784055.1,5508134
GCA_015786175.1,GCA_015786175.1,5083438
GCA_015785615.1,GCA_015785615.1,5394796
GCA_015786015.1,GCA_015786015.1,5159828
GCA_015785975.1,GCA_015785975.1,5219528
GCA_015786295.1,GCA_015786295.1,5203329
GCA_015787635.1,GCA_015787635.1,5132278
GCA_015787435.1,GCA_015787435.1,5142917
GCA_015787115.1,GCA_015787115.1,5194257
GCA_015790015.1,GCA_015790015.1,5163466
GCA_015787835.1,GCA_015787835.1,5143550
GCA_015787795.1,GCA_015787795.1,5724597
GCA_015787855.1,GCA_015787855.1,5045981
GCA_015789395.1,GCA_015789395.1,5308367
GCA_015789455.1,GCA_015789455.1,5268859
GCA_015790515.1,GCA_015790515.1,5203617
GCA_015790495.1,GCA_015790495.1,5366790
GCA_015790525.1,GCA_015790525.1,5408982
GCA_015791035.1,GCA_015791035.1,5370546
GCA_015798295.1,GCA_015798295.1,5102988
GCA_015796995.1,GCA_015796995.1,5650926
GCA_015799415.1,GCA_015799415.1,5437884
GCA_015799515.1,GCA_015799515.1,5419448
GCA_015799635.1,GCA_015799635.1,5097440
