Gene of interest	Reciprocal Best Hit
ACFI7D_18340	WP_008064110.1
gene-SPO3186	ACFI7D_16685
gene-SPO3189	ACFI7D_11910
gene-SPO3190	ACFI7D_11920
gene-SPO3191	ACFI7D_11925
gene-SPO3192	ACFI7D_11935
gene-SPO3186	ACFI33_03145
ACFI4Y_03075	ACFLL8_11500
ACFI4Y_14375	ACFLL8_11510
ACFI4Y_14380	ACFLL8_11515
ACFI4Y_14385	ACFLL8_11520
gene-SPO3186	ACFI32_05360
WP_008064110.1	ACFJAB_15825
gene-SPO3186	ACFI7E_03920
gene-SPO3189	ACFI7E_12240
gene-SPO3190	ACFI7E_12250
gene-SPO3191	ACFI7E_12255
gene-SPO3192	ACFI7E_12265
gene-SPO1586	WP_012591630.1
gene-SPO1587	WP_012591629.1
gene-SPO1588	WP_012591628.1
ACFI4Y_00110	gene-SPO3186
ACFI4Y_02540	gene-SPO1588
ACFI4Y_02545	gene-SPO1587
ACFI4Y_02550	gene-SPO1586
ACFI4Y_02555	gene-SPO1585
ACFI4Y_10005	gene-SPO3192
ACFI4Y_14365	gene-SPO3188
ACFI4Y_14370	gene-SPO3189
ACFI4Y_14375	gene-SPO3190
ACFI4Y_14380	gene-SPO3191
gene-SPO3186	ACFI34_12520
ACFI7E_12235	ACFLL8_11495
ACFI7E_12240	ACFLL8_11500
ACFI7E_12250	ACFLL8_11510
ACFI7E_12255	ACFLL8_11515
ACFI7E_12260	ACFLL8_11490
ACFI7E_12265	ACFLL8_11520
ACFI6G_06270	gene-SPO3186
ACFI6G_14480	gene-SPO3192
ACFI6G_14490	gene-SPO3191
ACFI6G_14495	gene-SPO3190
ACFI6G_14505	gene-SPO3189
gene-SPO3186	ACFI9K_18570
ACFI6L_13465	gene-SPO3186
ACFI6G_14480	ACFLL8_11520
ACFI6G_14485	ACFLL8_11490
ACFI6G_14490	ACFLL8_11515
ACFI6G_14495	ACFLL8_11510
ACFI6G_14505	ACFLL8_11500
ACFI6G_14510	ACFLL8_11495
gene-SPO3186	ACFI6G_06270
gene-SPO3189	ACFI6G_14505
gene-SPO3190	ACFI6G_14495
gene-SPO3191	ACFI6G_14490
gene-SPO3192	ACFI6G_14480
gene-SPO3186	ACFI6K_05175
gene-SPO3192	ACFI6K_06480
ACFI7C_19140	WP_008064110.1
ACFLL8_11490	ACFI7E_12260
ACFLL8_11495	ACFI7E_12235
ACFLL8_11500	ACFI7E_12240
ACFLL8_11510	ACFI7E_12250
ACFLL8_11515	ACFI7E_12255
ACFLL8_11520	ACFI7E_12265
ACFLL8_07290	WP_008064110.1
ACFLL8_07295	WP_008064108.1
ACFLL8_07300	WP_008064106.1
ACFLL8_07305	WP_026187787.1
WP_008064106.1	ACFLL8_07300
WP_008064108.1	ACFLL8_07295
WP_008064110.1	ACFLL8_07290
WP_026187787.1	ACFLL8_07305
ACFI4W_17140	ACFLL8_11520
ACFI4W_17145	ACFLL8_11515
ACFI4W_17150	ACFLL8_11510
ACFI4W_17160	ACFLL8_11500
ACFI7D	WP_008064110.1
gene-SPO3186	ACFI7D
gene-SPO3189	ACFI7D
gene-SPO3190	ACFI7D
gene-SPO3191	ACFI7D
gene-SPO3192	ACFI7D
gene-SPO3186	ACFI33
gene-SPO3186	ACFI32
WP_008064110.1	ACFJAB
gene-SPO3186	ACFI7E
gene-SPO3189	ACFI7E
gene-SPO3190	ACFI7E
gene-SPO3191	ACFI7E
gene-SPO3192	ACFI7E
gene-SPO1586	WP_012591630.1
gene-SPO1587	WP_012591629.1
gene-SPO1588	WP_012591628.1
ACFI4Y	gene-SPO3186
ACFI4Y	gene-SPO1588
ACFI4Y	gene-SPO1587
ACFI4Y	gene-SPO1586
ACFI4Y	gene-SPO1585
ACFI4Y	gene-SPO3192
ACFI4Y	gene-SPO3188
ACFI4Y	gene-SPO3189
ACFI4Y	gene-SPO3190
ACFI4Y	gene-SPO3191
gene-SPO3186	ACFI34
ACFI6G	gene-SPO3186
ACFI6G	gene-SPO3192
ACFI6G	gene-SPO3191
ACFI6G	gene-SPO3190
ACFI6G	gene-SPO3189
gene-SPO3186	ACFI9K
ACFI6L	gene-SPO3186
gene-SPO3186	ACFI6G
gene-SPO3189	ACFI6G
gene-SPO3190	ACFI6G
gene-SPO3191	ACFI6G
gene-SPO3192	ACFI6G
gene-SPO3186	ACFI6K
gene-SPO3192	ACFI6K
ACFI7C	WP_008064110.1
ACFLL8	WP_008064110.1
WP_008064110.1	ACFLL8
ACFI4W	gene-SPO3186
ACFI4W	gene-SPO1585
ACFI4W	gene-SPO1586
ACFI4W	gene-SPO1587
ACFI4W	gene-SPO1588
ACFI4W	gene-SPO3192
ACFI4W	gene-SPO3191
ACFI4W	gene-SPO3190
ACFI4W	gene-SPO3189
ACFI4W	gene-SPO3188
ACFI4V	gene-SPO3186
ACFI4V	gene-SPO1588
ACFI4V	gene-SPO1587
ACFI4V	gene-SPO1586
ACFI4V	gene-SPO1585
ACFI4V	gene-SPO3192
ACFI4V	gene-SPO3191
ACFI4V	gene-SPO3190
ACFI4V	gene-SPO3189
ACFI4V	gene-SPO3188
gene-SPO3186	ACFLL8
gene-SPO3189	ACFLL8
gene-SPO3190	ACFLL8
gene-SPO3191	ACFLL8
gene-SPO3192	ACFLL8
ACFI4X	gene-SPO3186
ACFI4X	gene-SPO1588
ACFI4X	gene-SPO1587
ACFI4X	gene-SPO1586
ACFI4X	gene-SPO1585
ACFI4X	gene-SPO3192
ACFI4X	gene-SPO3191
ACFI4X	gene-SPO3190
ACFI4X	gene-SPO3189
ACFI4X	gene-SPO3188
ACFI7C	gene-SPO3188
ACFI7C	gene-SPO3189
ACFI7C	gene-SPO3190
ACFI7C	gene-SPO3191
ACFI7C	gene-SPO3192
ACFI7C	gene-SPO3186
WP_008064110.1	ACFI7C
ACFI4Z	gene-SPO3186
ACFI5Q	gene-SPO3186
ACFI5Q	gene-SPO1585
ACFI5Q	gene-SPO1586
ACFI5Q	gene-SPO1587
ACFI5Q	gene-SPO1588
ACFI5Q	gene-SPO3188
ACFI5Q	gene-SPO3189
ACFI5Q	gene-SPO3190
ACFI5Q	gene-SPO3191
ACFI5Q	gene-SPO3192
ACFI9K	gene-SPO3186
ACFI6U	gene-SPO3186
ACFI6U	gene-SPO3188
ACFI6U	gene-SPO3189
ACFI6U	gene-SPO3190
ACFI6U	gene-SPO3191
ACFI6U	gene-SPO3192
ACFI6U	gene-SPO1588
ACFI6U	gene-SPO1587
ACFI6U	gene-SPO1586
ACFI6U	gene-SPO1585
ACFI6H	gene-SPO3186
ACFI6H	gene-SPO1585
ACFI6H	gene-SPO1586
ACFI6H	gene-SPO1587
ACFI6H	gene-SPO1588
ACFI6H	gene-SPO3192
ACFI6H	gene-SPO3191
ACFI6H	gene-SPO3190
ACFI6H	gene-SPO3189
ACFI6H	gene-SPO3188
gene-SPO1585	ACFI4X
gene-SPO1586	ACFI4X
gene-SPO1587	ACFI4X
gene-SPO1588	ACFI4X
gene-SPO3186	ACFI4X
gene-SPO3188	ACFI4X
gene-SPO3189	ACFI4X
gene-SPO3190	ACFI4X
gene-SPO3191	ACFI4X
gene-SPO3192	ACFI4X
gene-SPO1585	ACFI4Y
gene-SPO1586	ACFI4Y
gene-SPO1587	ACFI4Y
gene-SPO1588	ACFI4Y
gene-SPO3186	ACFI4Y
gene-SPO3188	ACFI4Y
gene-SPO3189	ACFI4Y
gene-SPO3190	ACFI4Y
gene-SPO3191	ACFI4Y
gene-SPO3192	ACFI4Y
gene-SPO3186	ACFJAA
gene-SPO3188	ACFJAA
gene-SPO3189	ACFJAA
gene-SPO3190	ACFJAA
gene-SPO3191	ACFJAA
gene-SPO3192	ACFJAA
ACFI8U	gene-SPO1587
ACFI8U	gene-SPO1588
ACFI8U	gene-SPO3186
ACFI8U	gene-SPO3191
gene-SPO3186	ACFI8T
gene-SPO3188	ACFI8T
gene-SPO3189	ACFI8T
gene-SPO3190	ACFI8T
gene-SPO3191	ACFI8T
gene-SPO3192	ACFI8T
WP_008064110.1	ACFI7D
ACFJAB	WP_008064110.1
ACFI7D	gene-SPO3189
ACFI7D	gene-SPO3190
ACFI7D	gene-SPO3191
ACFI7D	gene-SPO3192
ACFI7D	gene-SPO3186
ACFI8T	gene-SPO3188
ACFI8T	gene-SPO3189
ACFI8T	gene-SPO3190
ACFI8T	gene-SPO3191
ACFI8T	gene-SPO3192
ACFI8T	gene-SPO3186
gene-SPO1585	ACFI4W
gene-SPO1586	ACFI4W
gene-SPO1587	ACFI4W
gene-SPO1588	ACFI4W
gene-SPO3186	ACFI4W
gene-SPO3188	ACFI4W
gene-SPO3189	ACFI4W
gene-SPO3190	ACFI4W
gene-SPO3191	ACFI4W
gene-SPO3192	ACFI4W
gene-SPO1585	ACFI4U
gene-SPO1586	ACFI4U
gene-SPO1587	ACFI4U
gene-SPO1588	ACFI4U
gene-SPO3186	ACFI4U
gene-SPO3188	ACFI4U
gene-SPO3189	ACFI4U
gene-SPO3190	ACFI4U
gene-SPO3191	ACFI4U
gene-SPO3192	ACFI4U
ACFI6J	gene-SPO3186
gene-SPO1586	WP_012591630.1
gene-SPO1587	WP_012591629.1
gene-SPO1588	WP_012591628.1
gene-SPO3186	ACFI8T
gene-SPO3188	ACFI8T
gene-SPO3189	ACFI8T
gene-SPO3190	ACFI8T
gene-SPO3191	ACFI8T
gene-SPO3192	ACFI8T
ACFI7C	WP_008064110.1
gene-SPO3186	ACFI34
gene-SPO3186	ACFI5P
WP_012591628.1	gene-SPO1588
WP_012591629.1	gene-SPO1587
WP_012591630.1	gene-SPO1586
gene-SPO3186	ACFI32
ACFI4Y	gene-SPO3186
ACFI4Y	gene-SPO1588
ACFI4Y	gene-SPO1587
ACFI4Y	gene-SPO1586
ACFI4Y	gene-SPO1585
ACFI4Y	gene-SPO3192
ACFI4Y	gene-SPO3188
ACFI4Y	gene-SPO3189
ACFI4Y	gene-SPO3190
ACFI4Y	gene-SPO3191
ACFI33	gene-SPO3186
gene-SPO1585	ACFI4X
gene-SPO1586	ACFI4X
gene-SPO1587	ACFI4X
gene-SPO1588	ACFI4X
gene-SPO3186	ACFI4X
gene-SPO3188	ACFI4X
gene-SPO3189	ACFI4X
gene-SPO3190	ACFI4X
gene-SPO3191	ACFI4X
gene-SPO3192	ACFI4X
ACFI4W	gene-SPO3186
ACFI4W	gene-SPO1585
ACFI4W	gene-SPO1586
ACFI4W	gene-SPO1587
ACFI4W	gene-SPO1588
ACFI4W	gene-SPO3192
ACFI4W	gene-SPO3191
ACFI4W	gene-SPO3190
ACFI4W	gene-SPO3189
ACFI4W	gene-SPO3188
gene-SPO3186	ACFI6J
gene-SPO3186	ACFI4Z
gene-SPO3186	ACFI6G
gene-SPO3189	ACFI6G
gene-SPO3190	ACFI6G
gene-SPO3191	ACFI6G
gene-SPO3192	ACFI6G
ACFJAA	WP_008064110.1
gene-SPO3186	ACFI7D
gene-SPO3189	ACFI7D
gene-SPO3190	ACFI7D
gene-SPO3191	ACFI7D
gene-SPO3192	ACFI7D
gene-SPO3186	ACFI7E
gene-SPO3189	ACFI7E
gene-SPO3190	ACFI7E
gene-SPO3191	ACFI7E
