assembly,core.catab.path
GCA_000153445.1,Yes
GCA_000156135.1,Yes
GCA_000158135.1,No
GCA_000161775.1,Yes
GCA_000169115.1,Yes
GCA_000169395.1,Yes
GCA_000176055.1,No
GCA_000299115.1,Yes
GCA_000337695.1,No
GCA_000416005.1,No
GCA_000416315.1,Yes
GCA_000496475.1,No
GCA_000511875.1,No
GCA_000695035.1,No
GCA_000698165.1,No
GCA_000699205.1,Yes
GCA_000824745.1,No
GCA_000824765.1,No
GCA_000824785.1,No
GCA_000953695.1,No
GCA_001298755.1,No
GCA_001314705.1,Yes
GCA_001314805.1,No
GCA_001438345.1,No
GCA_001438965.1,No
GCA_001650895.1,Yes
GCA_001729985.1,Yes
GCA_001730015.1,No
GCA_001730095.1,No
GCA_001828855.1,Yes
GCA_001874225.1,No
GCA_001874245.1,No
GCA_002163135.1,Yes
GCA_002169295.1,No
GCA_002169365.1,No
GCA_002170205.2,No
GCA_002171435.2,No
GCA_002256245.1,No
GCA_002400595.1,Yes
GCA_002456955.1,Yes
GCA_002457565.1,No
GCA_002457765.1,Yes
GCA_002683535.1,Yes
GCA_002683855.1,No
GCA_002684255.1,No
GCA_002684335.1,No
GCA_002684675.1,No
GCA_002685195.1,No
GCA_002685475.1,Yes
GCA_002685535.1,No
GCA_002685715.1,No
GCA_002685835.1,Yes
GCA_002686055.1,No
GCA_002686255.1,No
GCA_002686685.1,Yes
GCA_002687455.1,No
GCA_002688995.1,No
GCA_002689445.1,Yes
GCA_002689605.1,No
GCA_002689645.1,Yes
GCA_002689705.1,No
GCA_002689915.1,No
GCA_002689925.1,Yes
GCA_002690525.1,No
GCA_002690585.1,Yes
GCA_002690705.1,No
GCA_002691975.1,No
GCA_002692535.1,No
GCA_002693445.1,Yes
GCA_002694075.1,No
GCA_002695585.1,No
GCA_002695745.2,Yes
GCA_002696645.1,Yes
GCA_002698005.1,Yes
GCA_002699375.1,Yes
GCA_002702465.1,No
GCA_002704305.1,Yes
GCA_002704385.2,No
GCA_002705045.2,No
GCA_002705265.1,No
GCA_002708965.1,Yes
GCA_002709525.1,No
GCA_002714245.1,Yes
GCA_002715745.1,No
GCA_002715915.1,No
GCA_002717105.1,No
GCA_002717485.1,No
GCA_002721825.1,No
GCA_002722465.1,No
GCA_002722475.1,No
GCA_002722835.1,Yes
GCA_002725175.2,No
GCA_002726575.1,Yes
GCA_002727475.1,No
GCA_002727955.1,No
GCA_002728725.1,No
GCA_002729455.1,No
GCA_002730235.1,No
GCA_002731315.1,Yes
GCA_002731355.1,No
GCA_002731695.1,No
GCA_002731775.1,No
GCA_002732835.1,No
GCA_002746645.1,No
GCA_002850435.1,No
GCA_002937855.1,Yes
GCA_002937895.1,No
GCA_002938035.1,No
GCA_002938195.1,No
GCA_002938205.1,No
GCA_003021655.1,No
GCA_003021685.1,No
GCA_003241485.1,No
GCA_003243455.1,Yes
GCA_003331335.1,Yes
GCA_003331585.1,No
GCA_003331685.1,Yes
GCA_003417655.1,No
GCA_003447515.1,No
GCA_003456425.1,Yes
GCA_003485125.1,No
GCA_003487885.1,No
GCA_003497765.1,No
GCA_003505015.1,No
GCA_003507175.1,No
GCA_003520945.1,No
GCA_003521465.1,No
GCA_003521845.1,No
GCA_003523185.1,No
GCA_003539745.1,No
GCA_003540235.1,No
GCA_003541985.1,No
GCA_003693805.1,No
GCA_003696705.1,No
GCA_003973175.1,No
GCA_003973465.1,No
GCA_004021015.1,Yes
GCA_004211905.1,Yes
GCA_004212735.1,No
GCA_004213215.1,No
GCA_004213755.1,Yes
GCA_004321805.1,Yes
GCA_004322185.1,Yes
GCA_006226775.1,Yes
GCA_006227885.1,No
GCA_007694245.1,No
GCA_007694945.1,No
GCA_009363655.1,No
GCA_009694475.1,No
GCA_009711885.1,No
GCA_009836365.1,No
GCA_009836525.1,No
GCA_009838075.1,No
GCA_009838215.1,No
GCA_009838275.1,No
GCA_009841975.1,No
GCA_009843725.1,No
GCA_009845605.1,No
GCA_009856435.1,Yes
GCA_009919335.1,No
GCA_009919885.1,Yes
GCA_009919995.1,No
GCA_009920225.1,Yes
GCA_009922885.1,No
GCA_009924775.1,No
GCA_009937575.1,No
GCA_009937615.1,Yes
GCA_009937625.1,No
GCA_009938265.1,No
GCA_010024495.1,No
GCA_010025945.1,No
GCA_010025955.1,No
GCA_011043535.1,No
GCA_011771835.1,No
GCA_011772865.1,Yes
GCA_011776105.1,Yes
GCA_012103325.1,No
GCA_012103395.1,No
GCA_012103405.1,No
GCA_012103415.1,Yes
GCA_012959965.1,No
GCA_012960115.1,No
GCA_012960235.1,Yes
GCA_012960465.1,No
GCA_013001295.1,No
GCA_013001425.1,No
GCA_013001565.1,Yes
GCA_013001845.1,Yes
GCA_013002025.1,No
GCA_013002205.1,No
GCA_013002305.1,Yes
GCA_013002465.1,No
GCA_013003245.1,No
GCA_013003505.1,Yes
GCA_013003675.1,No
GCA_013042105.1,No
GCA_013042765.1,No
GCA_013042895.1,Yes
GCA_013151535.1,No
GCA_013204245.1,No
GCA_013214635.1,No
GCA_013214665.1,Yes
GCA_013214905.1,Yes
GCA_013214965.1,Yes
GCA_013215215.1,No
GCA_013215915.1,No
GCA_013215985.1,No
GCA_013372865.1,No
GCA_013373325.1,Yes
GCA_013373575.1,No
GCA_013388965.1,Yes
GCA_013911345.1,Yes
GCA_014381985.1,No
GCA_014382065.1,No
GCA_014382875.1,Yes
GCA_014653355.1,No
GCA_014653585.1,No
GCA_014653605.1,No
GCA_014653715.1,No
GCA_014653735.1,No
GCA_014653775.1,No
GCA_014653915.1,No
GCA_014653975.1,No
GCA_014653985.1,No
GCA_014654165.1,No
GCA_014654185.1,No
GCA_014654265.1,No
GCA_014654375.1,No
GCA_014654455.1,No
GCA_014872825.1,No
GCA_014872875.1,No
GCA_014977145.1,No
GCA_015659195.1,No
GCA_015680735.1,No
GCA_015689535.1,Yes
GCA_015689545.1,Yes
GCA_015689575.1,No
GCA_015689635.1,No
GCA_015689655.1,No
GCA_015689705.1,No
GCA_015689735.1,No
GCA_015689785.1,No
GCA_015689805.1,Yes
GCA_015708085.1,No
GCA_016125495.1,No
GCA_016185245.1,No
GCA_016704435.1,Yes
GCA_016711185.1,Yes
GCA_016763475.1,No
GCA_016776945.1,Yes
GCA_016777095.1,Yes
GCA_016777625.1,No
GCA_016777745.1,Yes
GCA_016778705.1,No
GCA_016778825.1,No
GCA_016779005.1,No
GCA_016779465.1,Yes
GCA_016780525.1,Yes
GCA_016780675.1,No
GCA_016780765.1,Yes
GCA_016780775.1,No
GCA_016794165.1,No
GCA_016861145.1,No
GCA_016869835.1,No
GCA_017305935.1,No
GCA_017307375.1,No
GCA_017515565.1,No
GCA_017643115.1,Yes
GCA_017643845.1,Yes
GCA_017997975.1,No
GCA_018057165.1,No
GCA_018222805.1,No
GCA_018223065.1,No
GCA_018223085.1,No
GCA_018223125.1,No
GCA_018223135.1,Yes
GCA_018223235.1,Yes
GCA_018223265.1,Yes
GCA_018263475.1,No
GCA_018326365.1,No
GCA_018334495.1,Yes
GCA_018334525.1,No
GCA_018500125.2,No
GCA_018645085.1,No
GCA_018645905.1,Yes
GCA_018647445.1,No
GCA_018647625.1,No
GCA_018647765.1,No
GCA_018647825.1,No
GCA_018651245.1,No
GCA_018651805.1,No
GCA_018652285.1,No
GCA_018653715.1,No
GCA_018653905.1,No
GCA_018654175.1,No
GCA_018654915.1,Yes
GCA_018660145.1,No
GCA_018660785.1,No
GCA_018661085.1,No
GCA_018661165.1,Yes
GCA_018663035.1,Yes
GCA_018663595.1,No
GCA_018664075.1,Yes
GCA_018664775.1,No
GCA_018665065.1,No
GCA_018665695.1,No
GCA_018666025.1,No
GCA_018668735.1,No
GCA_018670075.1,No
GCA_018673735.1,No
GCA_018674675.1,No
GCA_018677115.1,Yes
GCA_018679195.1,No
GCA_018679255.1,No
GCA_018692145.1,Yes
GCA_018699035.1,No
GCA_018699695.1,Yes
GCA_018701595.1,No
GCA_018702675.1,No
GCA_018825825.1,No
GCA_019218315.1,No
GCA_019233695.1,No
GCA_019237835.1,No
GCA_019240785.1,No
GCA_019241415.1,No
GCA_019245375.1,No
GCA_019245565.1,No
GCA_019246425.1,No
GCA_019247605.1,No
GCA_019633985.1,No
GCA_019634085.1,No
GCA_019635125.1,Yes
GCA_019649495.1,Yes
GCA_019651175.1,Yes
GCA_019652335.1,No
GCA_019652475.1,No
GCA_019652635.1,Yes
GCA_019801415.1,No
GCA_019891535.1,No
GCA_019912045.1,No
GCA_020425085.1,Yes
GCA_020425125.1,Yes
GCA_020441345.1,No
GCA_020441785.1,No
GCA_020441795.1,No
GCA_020441855.1,No
GCA_020441965.1,Yes
GCA_020445645.1,Yes
GCA_020446815.1,Yes
GCA_020447005.1,Yes
GCA_020637985.1,Yes
GCA_020682725.1,No
GCA_020832555.1,No
GCA_020832705.1,No
GCA_021296235.1,No
GCA_021296375.1,No
GCA_021401065.1,Yes
GCA_021741465.1,Yes
GCA_021741625.1,No
GCA_022340305.1,No
GCA_022360075.1,No
GCA_022361435.1,No
GCA_022424665.1,Yes
GCA_022425025.1,Yes
GCA_022425065.1,No
GCA_022425105.1,No
GCA_022425265.1,No
GCA_022425545.1,Yes
GCA_022425565.1,No
GCA_022425845.1,Yes
GCA_022426505.1,Yes
GCA_022446925.1,No
GCA_022447275.1,No
GCA_022448455.1,No
GCA_022448735.1,No
GCA_022448925.1,Yes
GCA_022449655.1,No
GCA_022450785.1,No
GCA_022565595.1,Yes
GCA_022599575.1,No
GCA_022599655.1,No
GCA_022600135.1,No
GCA_022763485.1,Yes
GCA_022818765.1,Yes
GCA_022969035.1,Yes
GCA_022969255.1,No
GCA_023540835.1,No
GCA_023708045.1,Yes
GCA_023954915.1,No
GCA_023954975.1,Yes
GCA_023955115.1,No
GCA_024223095.1,Yes
GCA_024223685.1,No
GCA_024224295.1,Yes
GCA_024224435.1,No
GCA_024226455.1,No
GCA_024227655.1,Yes
GCA_024228275.1,No
GCA_024229995.1,No
GCA_024230155.1,No
GCA_024230335.1,No
GCA_024244705.1,Yes
GCA_024742455.1,No
GCA_024742485.1,Yes
GCA_024742575.1,No
GCA_024742695.1,No
GCA_024742835.1,Yes
GCA_024743195.1,Yes
GCA_024743275.1,No
GCA_024802545.1,Yes
GCA_024960125.1,Yes
GCA_024960365.1,No
GCA_025153755.1,Yes
GCA_025153775.1,No
GCA_025210265.1,Yes
GCA_025210455.1,No
GCA_025211115.1,No
GCA_025465145.1,No
GCA_025751475.1,Yes
GCA_025800125.1,Yes
GCA_025800205.1,No
GCA_025800245.1,Yes
GCA_026421135.1,No
GCA_026706295.1,No
GCA_026706705.1,No
GCA_026706815.1,No
GCA_026707005.1,No
GCA_026708405.1,Yes
GCA_026708445.1,Yes
GCA_026708465.1,No
GCA_026708485.1,No
GCA_026708505.1,Yes
GCA_026708545.1,No
GCA_026708845.1,No
GCA_026709175.1,No
GCA_026710165.1,No
GCA_026710645.1,No
GCA_027293245.1,Yes
GCA_027293565.1,Yes
GCA_027295525.1,Yes
GCA_027296395.1,No
GCA_027296555.1,Yes
GCA_027296705.1,No
GCA_027297805.1,Yes
GCA_027493545.1,Yes
GCA_027858915.1,Yes
GCA_028030715.1,No
