Nucleotide.Accession	Organism.Name	Organism.Taxonomic.ID	BioSample	contig.length	Assembly.Accession	Assembly.Name
CH672397.1	gamma proteobacterium HTCC2207	314287	SAMN02436104	642843	GCF_000153445.1	ASM15344v1
DS995281.1	Rhodobacterales bacterium Y4I	439496	SAMN02436180	3912481	GCF_000156135.1	ASM15613v1
DS999535.1	Rhodobacteraceae bacterium KLH11	467661	SAMN02436222	80280	GCF_000158135.1	ASM15813v1
GG704596.1	Ruegeria lacuscaerulensis ITI-1157	644107	SAMN02436218	3231760	GCF_000161775.1	ASM16177v1
AAVV01000008.1	marine gamma proteobacterium HTCC2080	247639	SAMN02436101	205524	GCF_000169115.1	ASM16911v1
ACZB01000082.1	Vibrio alginolyticus 40B	674977	SAMN02470249	74612	GCF_000176055.1	ASM17605v1
AGIF02000001.1	gamma proteobacterium HIMB55	745014	SAMN00010579	2736988	GCF_000227505.1 GCA_000227505.3	ASM22750v4 ASM22750v3
CP003801.1	alpha proteobacterium HIMB59	744985	SAMN00010387	1410127	GCF_000299115.1	ASM29911v1
ASZI01000077.1	Osedax symbiont Rs2	1330035	SAMN02470759	11314	GCF_000416315.1	ASM41631v1
AZIN01000001.1	Gammaproteobacteria bacterium MOLA455	1411685	SAMN02597429	1787856	GCF_000511875.1	MOLA455_draft2
BAYR01000001.1	Vibrio sp. JCM 18904	1298599	SAMD00000560	353428	GCA_000695035.1	ASM69503v1
BAXJ01000003.1	Vibrio sp. JCM 19052	1460647	SAMD00000383	675508	GCA_000699205.1	ASM69920v1
CCMZ01000034.1	Mesorhizobium plurifarium	69974	SAMEA2677841	682064	GCF_000824745.1	ORS3356-Illumina
CCNE01000007.1	Mesorhizobium plurifarium	69974	SAMEA2677840	197582	GCF_000824765.1	Draft Genome Assembly ORS3365-1
CCNB01000046.1	Mesorhizobium plurifarium	69974	SAMEA2677839	296613	GCF_000824785.1	Mesorhizobium plurifarium STM8773 genome assembly
LN554846.1	Aliivibrio wodanis	80852	SAMEA2735904	3003353	GCF_000953695.1	AWOD1
CCND01000002.1	Mesorhizobium plurifarium	69974		372159	GCF_001298755.1	Mesorhizobium plurifarium ORS1032T genome assembly
LJSU01000018.1	Rhodobacteraceae bacterium HLUCCO07	1666914	SAMN03785505	324629	GCA_001314705.1	ASM131470v1
LXYH01000005.1	Rhodobacteraceae bacterium EhC02	1849170	SAMN04965933	312285	GCF_001650895.1	ASM165089v1
MDLD01000144.1	Endozoicomonas sp. (ex Bugula neritina AB1)	1868284	SAMN03766369	11609	GCA_001729985.1	AB1_endozoicomonas
MDLF01000036.1	Rhodobacteraceae bacterium (ex Bugula neritina AB1)	1868286	SAMN03766454	93332	GCA_001730095.1	AB1_rhodo
MHZT01000015.1	Rhodobacterales bacterium RIFCSPHIGHO2_02_FULL_62_130	1802014	SAMN04315469	88576	GCA_001828855.1	ASM182885v1
MPCY01000001.1	Roseobacter sp. MedPE-SW	1860088	SAMN05219214	119976	GCA_001874225.1	ASM187422v1
MPCZ01000002.1	Roseobacter sp. MedPE-SWchi	1860089	SAMN05219215	325165	GCA_001874245.1	ASM187424v1
CP019326.1	Halomonas sp. 1513	1883416	SAMN05417700	4129523	GCF_001971685.1	ASM197168v1
MABF01000029.1	'Osedax' symbiont bacterium Rs2_46_30_T18	1856298	SAMN05179579	24255	GCA_002163025.1	ASM216302v1
MAAN01000041.1	Alphaproteobacteria bacterium 46_93_T64	1856292	SAMN05179561	286415	GCA_002163135.1	ASM216313v1
NHLQ01000024.1	Rhodobacterales bacterium TMED271	1986637	SAMN06972125	26402	GCA_002169295.1	ASM216929v1
NHLE01000024.1	Pelagibacteraceae bacterium TMED259	1986821	SAMN06972113	13749	GCA_002169365.1	ASM216936v1
NHFC02000001.1	Alteromonadaceae bacterium TMED101	1986649	SAMN06971955	16373	GCA_002171435.2	ASM217143v2
NVQS01000013.1	Pelagibacteraceae bacterium	2026775	SAMN07569001	22718	GCA_002400595.1	ASM240059v1
NTKW01000003.1	SAR116 cluster bacterium MED-G05	1986234	SAMN06890616	83862	GCA_002457765.1	ASM245776v1
NYTO01000054.1	SAR116 cluster bacterium	2024888	SAMN07620083	17381		
NYTY01000054.1	SAR116 cluster bacterium	2024888	SAMN07620082	17183		
NYUY01000033.1	Alteromonadaceae bacterium	1916082	SAMN07618325	9042		
NYUZ01000082.1	Candidatus Puniceispirillum sp.	2026719	SAMN07618433	19255		
NYWV01000010.1	Porticoccaceae bacterium	2026782	SAMN07619768	27074		
NYXB01000050.1	Flammeovirgaceae bacterium	2026740	SAMN07618925	7899		
NYXX01000036.1	Pelagibacteraceae bacterium	2026775	SAMN07619631	17170		
NYZU01000041.1	Oceanospirillaceae bacterium	1899355	SAMN07619540	15413		
NYYG01000021.1	SAR116 cluster bacterium	2024888	SAMN07620080	47824		
NZGC01000078.1	Gammaproteobacteria bacterium	1913989	SAMN07620340	59504		
NZHO01000061.1	Candidatus Pelagibacter sp.	2024849	SAMN07619620	11139		
NZIJ01000102.1	Halieaceae bacterium	2026743	SAMN07619195	25905		
NZIO01000010.1	Candidatus Pelagibacter sp.	2024849	SAMN07619619	64782		
NZFG01000037.1	Pelagibacteraceae bacterium	2026775	SAMN07619633	8072		
NZPZ01000035.1	Gammaproteobacteria bacterium	1913989	SAMN07620407	21983		
NZPL01000053.1	SAR116 cluster bacterium	2024888	SAMN07620084	35100		
NZPY02000132.1	Rhodobacterales bacterium	1948890	SAMN07619914	32237	GCA_002695745.2	ASM269574v2
NZSA01000031.1	Rhodospirillales bacterium	2026786	SAMN07620025	120446		
NZZB01000031.1	Porticoccaceae bacterium	2026782	SAMN07619778	9724		
NZZB01000010.1	Porticoccaceae bacterium	2026782	SAMN07619778	22276		
PAAO01000045.1	Rhodospirillaceae bacterium	1898112	SAMN07620015	28012		
PAFI01000022.1	Halieaceae bacterium	2026743	SAMN07619197	26421		
PAHR01000008.1	Pelagibacteraceae bacterium	2026775	SAMN07619634	18612		
PAPQ01000008.1	Roseobacter sp.	1907202	SAMN07620058	107136		
PAWX01000073.1	Gammaproteobacteria bacterium	1913989	SAMN07619110	24025		
PBAE01000012.1	Woeseiaceae bacterium	2026806	SAMN07620247	35947		
PBAN01000001.1	Pelagibacteraceae bacterium	2026775	SAMN07619642	200391		
