Isolate,Gene,IEKGNDPE_02314,SPO3186/IEKGNDPE_02317,SPO3188/IEKGNDPE_02315,SPO3189/IEKGNDPE_02316,SPO3190/IEKGNDPE_02318,SPO3191/IEKGNDPE_02319,SPO3192/IEKGNDPE_02320,Nearest genome,Kingdom,Phylum,Class,Order,Family,Genus,Species
G4i21,AKCABPLL,0,1,0,0,0,0,0,Alteromonas marina,Bacteria, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas/Salinimonas group, Alteromonas
G4i35,CJJBGBOJ,0,1,0,0,0,0,0,Alteromonas marina,Bacteria, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas/Salinimonas group, Alteromonas
OBi1,MHFKPHMF,1,1,1,1,1,1,1,Cobetia sp.,Bacteria, Pseudomonadota, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Cobetia, Cobetia
PSi23,MFLGGFAP,1,1,1,1,1,1,1,Enterovibrio calviensis,Bacteria, Pseudomonadota, Gammaproteobacteria, Vibrionales, Vibrionaceae, Enterovibrio, Enterovibrio calviensis
RWi2,PCAELKEI,1,1,1,1,1,1,1,Leisingera caerulea,Bacteria, Pseudomonadota, Alphaproteobacteria, Rhodobacterales, Roseobacteraceae, Leisingera,
PSi08,MBADDKGK,0,1,0,0,0,0,1,Micrococcus aloeverae,Bacteria, Bacillati, Actinomycetota, Actinomycetes, Micrococcales, Micrococcaceae, Micrococcus
G4i25,LOLJDHLN,0,1,0,0,0,1,0,Nitratireductor sp.,Bacteria, Pseudomonadota, Alphaproteobacteria, Hyphomicrobiales, Phyllobacteriaceae, Nitratireductor, unclassified Nitratireductor
PSi16,MNGGBBBH,0,1,0,0,0,0,0,Paenarthrobacter ilicis,Bacteria, Bacillati, Actinomycetota, Actinomycetes, Micrococcales, Micrococcaceae, Paenarthrobacter
G4i57,IAPJLEKM,1,1,1,1,1,1,1,Phaeobacter italicus,Bacteria, Pseudomonadota, Alphaproteobacteria, Rhodobacterales, Roseobacteraceae, Phaeobacter,
RWi3,GHNJBBIA,0,1,0,0,0,0,0,Pseudoalteromonas neustonica,Bacteria, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas,
PSi26,BBHIHHLJ,0,1,0,0,0,0,0,Pseudoalteromonas sp. ,Bacteria, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas, unclassified Pseudoalteromonas
G4i12,HBPDPDMP,1,1,1,1,1,1,1,Pseudomonas alloputida,Bacteria, Pseudomonadota, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas putida group
PSi21,OPFGHDLE,0,1,0,0,0,0,0,Psychrobacter pacificensis,Bacteria, Pseudomonadota, Gammaproteobacteria, Moraxellales, Moraxellaceae, Psychrobacter,
PSi06,AFIFHNDI,0,1,0,0,0,0,0,Rhodococcoides fascians,Bacteria, Bacillati, Actinomycetota, Actinomycetes, Mycobacteriales, Nocardiaceae, Rhodococcoides
G4i09,PGMMCBFN,0,1,1,1,1,1,1,Roseovarius confluentis,Bacteria, Pseudomonadota, Alphaproteobacteria, Rhodobacterales, Roseobacteraceae, Roseovarius,
G4i52,GHFLHIOF,0,1,1,1,1,1,0,Roseovarius nubinhibens,Bacteria, Pseudomonadota, Alphaproteobacteria, Rhodobacterales, Roseobacteraceae, Roseovarius,
DSS3,SPO,0,1,1,1,1,1,1,Ruegeria pomeroyi DSS-3,Bacteria, Pseudomonadota, Alphaproteobacteria, Rhodobacterales, Roseobacteraceae, Ruegeria, Ruegeria pomeroyi
PSi01,EBJHOIFE,1,1,1,1,1,1,1,Vibrio cyclitrophicus,Bacteria, Pseudomonadota, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio,
RWi8,NPMKMCME,0,1,1,1,1,1,1,Vibrio cyclitrophicus,Bacteria, Pseudomonadota, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio,
