Protein	ncbi.taxid	Organism	Start	Stop	Strand	Nucleotide.Accession	Assembly	gene.length	protein.length	cluster.representative	query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	protein.function	distance.to.min	superkingdom	phylum	class	order	family	genus	species
EAS46325.1	314287	gamma proteobacterium HTCC2207	27064	28509	+	AAPI01000007.1	GCA_000153445.1	1446	482	EAS46325.1	OBi1_02319	64.756	471	166	0	17	487	9	479	0	632	aminoaldehyde dehydrogenase	2451	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	NA	gamma proteobacterium HTCC2207
EAS46326.1	314287	gamma proteobacterium HTCC2207	28523	29518	+	AAPI01000007.1	GCA_000153445.1	996	332	MBT5106463.1	OBi1_02318	61.25	320	124	0	5	324	1	320	5.76e-149	432	aminohydrolase	992	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	NA	gamma proteobacterium HTCC2207
EAS46327.1	314287	gamma proteobacterium HTCC2207	29515	31056	+	AAPI01000007.1	GCA_000153445.1	1542	514	MBT6115136.1	OBi1_02317	52.505	499	230	3	25	521	14	507	1.8e-175	514	permease	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	NA	gamma proteobacterium HTCC2207
EAS46328.1	314287	gamma proteobacterium HTCC2207	31131	32882	+	AAPI01000007.1	GCA_000153445.1	1752	584	EAS46328.1	OBi1_02316	45.913	575	294	5	11	575	13	580	6.12e-169	503	hydroxylase	1616	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	NA	gamma proteobacterium HTCC2207
EAS46329.1	314287	gamma proteobacterium HTCC2207	32888	33622	+	AAPI01000007.1	GCA_000153445.1	735	245	EAS46329.1	OBi1_02315	33.852	257	153	6	1	255	1	242	2.56e-32	129	dehydrogenase	3373	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	NA	gamma proteobacterium HTCC2207
WP_012549661.1	511678	Aliivibrio logei ATCC 35077	343507	343890	-	NZ_ASAH01000004.1	GCF_000390125.1	384	128	WP_218060167.1	OBi1_02314	72.727	121	33	0	3	123	8	128	3.04e-58	186	RidA	2596	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	NA
WP_012549661.1	511678	Aliivibrio logei ATCC 35077	88637	89020	-	NZ_ASAH01000008.1	GCF_000390125.1	384	128	WP_218060167.1	OBi1_02314	72.727	121	33	0	3	123	8	128	3.04e-58	186	RidA	2596	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	NA
WP_023603664.1	511678	Aliivibrio logei ATCC 35077	336702	337433	-	NZ_ASAH01000004.1	GCF_000390125.1	732	244	WP_012549656.1	OBi1_02315	32.308	260	151	8	1	255	1	240	2.74e-17	89.4	dehydrogenase	4209	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	NA
WP_023603664.1	511678	Aliivibrio logei ATCC 35077	81832	82563	-	NZ_ASAH01000008.1	GCF_000390125.1	732	244	WP_012549656.1	OBi1_02315	32.308	260	151	8	1	255	1	240	2.74e-17	89.4	dehydrogenase	4209	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	NA
WP_023603667.1	511678	Aliivibrio logei ATCC 35077	340911	341900	-	NZ_ASAH01000004.1	GCF_000390125.1	990	330	WP_122035874.1	OBi1_02318	63.58	324	118	0	1	324	1	324	4.54e-155	447	aminohydrolase	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	NA
